i should get me some clothes
      0 100.00%: 
      1 25.86%:  i should go
      2 25.07%:  i should get
      3 23.84%:  i should go home
      4 23.39%:  i could
      5 23.24%:  i should go to
      6 23.10%:  i should get some
      7 23.05%:  i should see
      8 23.02%:  i should come
      9 22.58%:  it
     10 22.46%:  this
     11 20.91%:  i could get
     12 20.61%:  i should go to the m
     13 20.23%:  the
     14 20.21%:  i do
     15 20.20%:  i got
     16 20.16%:  i sh
     17 20.16%:  i should get some clothes
     18 20.11%:  i ought
     19 20.09%:  i should go see
     20 20.02%:  i should come home
     21 19.72%:  i could get some
     22 19.63%:  i should go h
     23 19.56%:  i should go clothes
     24 19.54%:  i should go some
     25 19.52%:  i should get the
     26 19.36%:  i should get to
     27 19.15%:  i should get those
     28 19.14%:  i should get these
     29 19.12%:  i should get them
     30 19.04%:  i shoudl
     31 19.04%:  she
     32 18.99%:  i should get t
     33 18.98%:  i should get me
     34 18.97%:  i should get home
     35 18.95%:  i should get clothes
     36 18.91%:  i shoul
     37 18.89%:  he
     38 18.79%:  im
     39 18.78%:  i shou
     40 18.78%:  these
     41 18.73%:  some
     42 18.68%:  i could go
     43 18.63%:  its
     44 18.60%:  those
     45 18.59%:  
     46 18.57%:  som
     47 18.41%:  i should get some t
     48 18.40%:  i ought to do
     49 18.29%:  i should get some sh
     50 18.28%:  i should get them some
     51 18.23%:  i should get some lot
     52 18.19%:  i should get some sc
     53 18.17%:  i should get some c
     54 18.17%:  i should get some ch
     55 18.16%:  i should get some h
     56 18.15%:  i should get some th
