has one man sucked on his fingers so much for so little
         0 0* 230.25005% mind                                                                                                                          -------aacceeefhhhikllmnnooooorsssssttuu
         1 0* 173.88143%  mind                                                                                                                         -------aacceeefhhhikllmnnooooorsssssttuu
         2 0* 2.15926%  in                                                                                                                           -------aaccdeeefhhhikllmmnnooooorsssssttuu
         3 0* 2.06886% mind me                                                                                                                       -------aacceefhhhikllnnooooorsssssttuu
         4 0* 1.77979%  mind me                                                                                                                      -------aacceefhhhikllnnooooorsssssttuu
         5 0* 1.76216%  under                                                                                                                        -------aacceefhhhiikllmmnnooooosssssttu
         6 0* 1.03384%  call                                                                                                                         -------acdeeefhhhiikmmnnnooooorsssssttuu
         7 0* 2.10531%  call me                                                                                                                      -------acdeefhhhiikmnnnooooorsssssttuu
         8 0* 0.79959%  trust                                                                                                                        -------aaccdeeefhhhiikllmmnnnooooossssu
         9 0* 0.77597%  has                                                                                                                          -------accdeeefhhiikllmmnnnooooorssssttuu
        10 0* 0.74976%  let                                                                                                                          -------aaccdeefhhhiiklmmnnnooooorssssstuu
        11 0* 0.65280%  listen                                                                                                                       -------aaccdeefhhhiklmmnnooooorsssstuu
        12 0* 1.56007%  listen to                                                                                                                    -------aaccdeefhhhiklmmnnoooorssssuu
        13 0* 0.59853%  date                                                                                                                         -------acceefhhhiikllmmnnnooooorssssstuu
        14 0* 0.57379%  has there                                                                                                                    -------accdefhiikllmmnnnooooosssstuu
        15 0* 0.57283% mind man                                                                                                                      -------acceeefhhhikllnooooorsssssttuu
        16 0* 0.55162%  once                                                                                                                         -------aacdeefhhhiikllmmnnoooorsssssttuu
        17 0* 0.53976%  do                                                                                                                           -------aacceeefhhhiikllmmnnnoooorsssssttuu
        18 0* 0.55367%  do that                                                                                                                      -------acceeefhhiikllmmnnnoooorsssssuu
        19 0* 0.52647%  heard                                                                                                                        -------acceefhhiikllmmnnnooooosssssttuu
        20 0* 0.85736%  heard of                                                                                                                     -------acceehhiikllmmnnnoooosssssttuu
        21 0* 0.52129%  trust a                                                                                                                      -------accdeeefhhhiikllmmnnnooooossssu
        22 0* 0.95801%  trust a man                                                                                                                  -------ccdeeefhhhiikllmnnooooossssu
        23 0* 0.50084%  listen to me                                                                                                                 -------aaccdefhhhiklmnnoooorssssuu
        24 0* 0.45833%  call me on                                                                                                                   -------acdeefhhhiikmnnoooorsssssttuu
        25 0* 0.44057%  do this                                                                                                                      -------aacceeefhhikllmmnnnoooorsssstuu
        26 0* 0.43056%  tell                                                                                                                         -------aaccdeefhhhiikmmnnnooooorssssstuu
        27 0* 0.44336%  tell me                                                                                                                      -------aaccdefhhhiikmnnnooooorssssstuu
        28 0* 0.41258%  fear                                                                                                                         -------accdeehhhiikllmmnnnooooosssssttuu
        29 0* 0.39757%  has a                                                                                                                        -------ccdeeefhhiikllmmnnnooooorssssttuu
        30 0* 0.39655% mind that                                                                                                                     -------acceeefhhikllmnnooooorsssssuu
        31 0* 0.38252%  let it                                                                                                                       -------aaccdeefhhhiklmmnnnooooorsssssuu
        32 0* 0.37418%  kiss                                                                                                                         -------aaccdeeefhhhillmmnnnooooorsssttuu
        33 0* 0.36689%  in the                                                                                                                       -------aaccdeefhhikllmmnnooooorssssstuu
        34 0* 0.64878%  in the course                                                                                                                -------aacdefhhikllmmnnoooosssstu
        35 0* 2.79727%  in the course of                                                                                                             -------aacdehhikllmmnnooosssstu
        36 0* 12.00162%  in the course of human                                                                                                       -------acdehikllmnooosssst
        37 0* 0.57342%  in the course of human action                                                                                                -------dehkllmoossss
        38 0* 0.34633%  in a                                                                                                                         -------accdeeefhhhikllmmnnooooorsssssttuu
        39 0* 0.33865%  seen                                                                                                                         -------aaccdefhhhiikllmmnnooooorssssttuu
        40 0* 0.33298%  make                                                                                                                         -------accdeefhhhiillmnnnooooorsssssttuu
        41 0* 0.45950%  make out                                                                                                                     -------accdeefhhhiillmnnnoooorssssstu
        42 0* 0.33020%  mind man                                                                                                                     -------acceeefhhhikllnooooorsssssttuu
        43 0* 0.31294%  mind that                                                                                                                    -------acceeefhhikllmnnooooorsssssuu
        44 0* 0.31187%  in the course of this                                                                                                        -------aacdehkllmmnnooosssu
        45 0* 0.31115%  talk                                                                                                                         -------accdeeefhhhiilmmnnnooooorssssstuu
        46 0* 0.41159%  talk to                                                                                                                      -------accdeeefhhhiilmmnnnoooorsssssuu
        47 0* 1.07221%  talk to me                                                                                                                   -------accdeefhhhiilmnnnoooorsssssuu
        48 0* 0.30954%  done                                                                                                                         -------aacceefhhhiikllmmnnoooorsssssttuu
        49 0* 0.71010%  done this                                                                                                                    -------aacceefhhikllmmnnoooorsssstuu
        50 0* 0.29313%  assume                                                                                                                       -------accdeefhhhiikllmnnnooooorsssttu
        51 0* 0.28227%  has the                                                                                                                      -------accdeefhiikllmmnnnooooorsssstuu
        52 0* 0.27855%  assume that                                                                                                                  -------ccdeefhhiikllmnnnooooorsssu
        53 0* 0.27087%  tell a                                                                                                                       -------accdeefhhhiikmmnnnooooorssssstuu
        54 0* 0.26855%  in all                                                                                                                       -------accdeeefhhhikmmnnooooorsssssttuu
        55 0* 0.26794%  in the course of all                                                                                                         -------acdehhikmmnnooosssstu
        56 0* 0.26032%  tell a man                                                                                                                   -------ccdeefhhhiikmnnooooorssssstuu
        57 0* 0.24732%  ask                                                                                                                          -------accdeeefhhhiillmmnnnooooorssssttuu
        58 0* 0.24504%  kiss me                                                                                                                      -------aaccdeefhhhillmnnnooooorsssttuu
        59 0* 0.24321%  in our                                                                                                                       -------aaccdeeefhhhikllmmnnoooosssssttu
        60 0* 0.23727%  take                                                                                                                         -------accdeefhhhiillmmnnnooooorssssstuu
        61 0* 0.23469%  said                                                                                                                         -------acceeefhhhikllmmnnnooooorssssttuu
        62 0* 0.23043%  call me on the                                                                                                               -------acdefhhiikmnnoooorssssstuu
        63 0* 0.22360%  listen to a                                                                                                                  -------accdeefhhhiklmmnnoooorssssuu
        64 0* 0.22117%  had                                                                                                                          -------acceeefhhiikllmmnnnooooorsssssttuu
        65 0* 0.21999%  call me after                                                                                                                -------cdehhhiikmnnnooooossssstuu
        66 0* 0.21769%  call me after this                                                                                                           -------cdehhikmnnnooooossssuu
        67 0* 0.20919% mind the                                                                                                                      -------aacceefhhikllmnnooooorssssstuu
        68 0* 0.20560%  ask a                                                                                                                        -------ccdeeefhhhiillmmnnnooooorssssttuu
        69 0* 0.20409%  in the course of all human                                                                                                   -------cdehikmnooosssst
        70 0* 0.20164%  touch                                                                                                                        -------aacdeeefhhiikllmmnnnoooorssssstu
        71 0* 0.22438%  touch me                                                                                                                     -------aacdeefhhiikllmnnnoooorssssstu
        72 0* 0.19310%  let them                                                                                                                     -------aaccdefhhiiklmnnnooooorsssssuu
        73 0* 0.18338%  tell a man his                                                                                                               -------ccdeefhhikmnnooooorsssstuu
        74 0* 0.18227% mind then                                                                                                                     -------aacceefhhikllmnooooorssssstuu
