set 'em up, future generations knock 'em down!
Step          0 (remaining mass 50.372%): Next token is ' set', score is 0.00001% (0.008%, 0.030%, 3)
Step      1,295 (remaining mass 0.413%): Next token is ' '', score is 0.00000% (0.021%, 0.166%, 4)
Search time: 992s.  (Non-ML: 63s)  Per-step times: Score: 1ms  Advance: 0ms  Predict: 20ms  Truncate: 0ms.

         0 0* 0.41921% (51.552% 0.040% 48.408%)  '                                                                                                                             -----------cdeeeefkkmmnnooprsttuuuw',!
         1 0* 0.43598% (72.240% 0.056% 27.704%)  'm                                                                                                                            -----------cdeeeefkkmnnooprsttuuuw',!
         2 0* 0.08542% (83.903% 0.062% 16.035%)  'm not                                                                                                                        -----------cdeeeefkkmnoprstuuuw',!
         3 0* 0.04479% (85.825% 0.063% 14.112%)  'm not sure                                                                                                                   -----------cdeeefkkmnoptuuw',!
         4 0* 0.02958% (86.140% 0.063% 13.797%)  'd                                                                                                                            -----------ceeeefkkmmnnooprsttuuuw',!
         5 0* 0.03545% (89.705% 0.065% 10.230%)  'd count                                                                                                                      -----------eeeefkkmmnoprstuuw',!
         6 0* 0.02304% (89.947% 0.065% 9.988%)  'm sure                                                                                                                       -----------cdeeefkkmnnoopttuuw',!
         7 0* 0.00967% (90.099% 0.065% 9.836%)   know                                                                                                                         -----------cdeeeefkmmnoprsttuuu'',!
         8 0* 0.00926% (90.886% 0.066% 9.048%)  'm not k                                                                                                                      -----------cdeeeefkmnoprstuuuw',!
         9 0* 0.00925% (90.993% 0.066% 8.941%)  'm sure of                                                                                                                    -----------cdeeekkmnnopttuuw',!
        10 0* 0.00871% (91.019% 0.066% 8.915%)  'm k                                                                                                                          -----------cdeeeefkmnnooprsttuuuw',!
        11 0* 0.00764% (91.151% 0.066% 8.784%)   know,                                                                                                                        -----------cdeeeefkmmnoprsttuuu''!
        12 0* 0.00572% (91.419% 0.066% 8.516%)  'm so                                                                                                                         -----------cdeeeefkkmnnoprttuuuw',!
        13 0* 0.00452% (91.626% 0.066% 8.308%)  'm super                                                                                                                      -----------cdeeefkkmnnoottuuw',!
        14 0* 0.00399% (91.639% 0.066% 8.296%)   know!                                                                                                                        -----------cdeeeefkmmnoprsttuuu'',
        15 0* 0.00369% (91.894% 0.066% 8.040%)  'm from                                                                                                                       -----------cdeeeekknnopsttuuuw',!
        16 0* 0.00365% (91.907% 0.066% 8.027%)  'm more                                                                                                                       -----------cdeeefkknnopsttuuuw',!
        17 0* 0.00346% (91.928% 0.066% 8.006%)  ,                                                                                                                             -----------cdeeeefkkmmnnooprsttuuuw''!
        18 0* 0.00704% (92.127% 0.066% 7.807%)  , um                                                                                                                          -----------cdeeeefkkmnnooprsttuuw''!
        19 0* 0.00322% (92.256% 0.066% 7.677%)  'm proud                                                                                                                      -----------ceeeefkkmnnosttuuw',!
        20 0* 0.00353% (92.257% 0.066% 7.677%)  'm proud of                                                                                                                   -----------ceeeekkmnnsttuuw',!
        21 0* 0.00319% (92.264% 0.066% 7.670%)  'm count                                                                                                                      -----------deeeefkkmnoprstuuw',!
        22 0* 0.00313% (92.275% 0.066% 7.659%)  'm done                                                                                                                       -----------ceeefkkmnoprsttuuuw',!
        23 0* 0.00268% (92.327% 0.066% 7.607%)   don                                                                                                                          -----------ceeeefkkmmnoprsttuuuw'',!
        24 0* 0.02486% (92.329% 0.067% 7.604%)   don'                                                                                                                         -----------ceeeefkkmmnoprsttuuuw',!
        25 0* 0.04332% (92.329% 0.067% 7.603%)   don't                                                                                                                        -----------ceeeefkkmmnoprstuuuw',!
        26 0* 0.00262% (94.938% 0.069% 4.993%)  'm on                                                                                                                         -----------cdeeeefkkmnoprsttuuuw',!
        27 0* 0.00254% (95.004% 0.069% 4.928%)  'm not perfect                                                                                                                -----------deekkmnosuuuw',!
        28 0* 0.00596% (95.004% 0.069% 4.927%)  'm not perfect,                                                                                                               -----------deekkmnosuuuw'!
        29 0* 0.00245% (95.005% 0.069% 4.926%)  'm out                                                                                                                        -----------cdeeeefkkmnnoprstuuw',!
        30 0* 0.00240% (95.017% 0.069% 4.914%)  , for                                                                                                                         -----------cdeeeekkmmnnopsttuuuw''!
        31 0* 0.00240% (95.023% 0.069% 4.908%)  , for one                                                                                                                     -----------cdeeekkmmnpsttuuuw''!
        32 0* 0.00223% (95.164% 0.069% 4.767%)  'm not super                                                                                                                  -----------cdeeefkkmnotuuw',!
        33 0* 0.00194% (95.169% 0.069% 4.762%)   count                                                                                                                        -----------deeeefkkmmnoprstuuw'',!
        34 0* 0.00193% (95.351% 0.069% 4.581%)  'm out!                                                                                                                       -----------cdeeeefkkmnnoprstuuw',
        35 0* 0.00193% (95.363% 0.069% 4.568%)   won                                                                                                                          -----------cdeeeefkkmmnoprsttuuu'',!
        36 0* 0.01552% (95.369% 0.069% 4.562%)   won'                                                                                                                         -----------cdeeeefkkmmnoprsttuuu',!
        37 0* 0.01646% (95.369% 0.069% 4.562%)   won't                                                                                                                        -----------cdeeeefkkmmnoprstuuu',!
        38 0* 0.00196% (96.098% 0.070% 3.832%)   won't,                                                                                                                       -----------cdeeeefkkmmnoprstuuu'!
        39 0* 0.00175% (96.121% 0.070% 3.809%)  'm done!                                                                                                                      -----------ceeefkkmnoprsttuuuw',
        40 0* 0.00174% (96.140% 0.070% 3.790%)  'm not sure,                                                                                                                  -----------cdeeefkkmnoptuuw'!
        41 0* 0.00173% (96.144% 0.070% 3.787%)  'm open                                                                                                                       -----------cdeeefkkmnorsttuuuw',!
        42 0* 0.00170% (96.144% 0.070% 3.786%)  'm one                                                                                                                        -----------cdeeefkkmnoprsttuuuw',!
        43 0* 0.00153% (96.172% 0.070% 3.759%)  'm not proud                                                                                                                  -----------ceeeefkkmnstuuw',!
        44 0* 0.00144% (96.175% 0.070% 3.756%)  'm po                                                                                                                         -----------cdeeeefkkmnnorsttuuuw',!
        45 0* 0.00142% (96.191% 0.070% 3.739%)  'm not proud,                                                                                                                 -----------ceeeefkkmnstuuw'!
        46 0* 0.00137% (96.193% 0.070% 3.738%)  'm out,                                                                                                                       -----------cdeeeefkkmnnoprstuuw'!
        47 0* 0.00133% (96.198% 0.070% 3.732%)   don't see                                                                                                                    -----------ceefkkmmnoprtuuuw',!
        48 0* 0.00132% (96.285% 0.070% 3.645%)  , u                                                                                                                           -----------cdeeeefkkmmnnooprsttuuw''!
        49 0* 0.00131% (96.359% 0.070% 3.572%)  'm not,                                                                                                                       -----------cdeeeefkkmnoprstuuuw'!
        50 0* 0.00131% (96.371% 0.070% 3.560%)  'd put                                                                                                                        -----------ceeeefkkmmnnoorstuuw',!
        51 0* 0.00120% (96.388% 0.070% 3.542%)  'm sure!                                                                                                                      -----------cdeeefkkmnnoopttuuw',
        52 0* 0.00118% (96.392% 0.070% 3.539%)  'm up                                                                                                                         -----------cdeeeefkkmnnoorsttuuw',!
        53 0* 0.00146% (96.393% 0.070% 3.537%)  'm up for                                                                                                                     -----------cdeeeekkmnnosttuuw',!
        54 0* 0.00116% (96.395% 0.070% 3.535%)   recommend                                                                                                                    -----------eefkknopsttuuuw'',!
        55 0* 0.00116% (96.406% 0.070% 3.525%)  'm free                                                                                                                       -----------cdeekkmnnoopsttuuuw',!
        56 0* 0.00105% (96.409% 0.070% 3.521%)  'm com                                                                                                                        -----------deeeefkknnoprsttuuuw',!
        57 0* 0.00105% (96.414% 0.070% 3.516%)  'm,                                                                                                                           -----------cdeeeefkkmnnooprsttuuuw'!
        58 0* 0.00248% (96.422% 0.070% 3.508%)  'm, um                                                                                                                        -----------cdeeeefkknnooprsttuuw'!
        59 0* 0.00103% (96.425% 0.070% 3.505%)  'm keep                                                                                                                       -----------cdeefkmnnoorsttuuuw',!
        60 0* 0.00101% (96.428% 0.070% 3.502%)   wonder                                                                                                                       -----------ceeefkkmmnopsttuuu'',!
        61 0* 0.00100% (96.695% 0.070% 3.235%)  'm from generations                                                                                                           cdeeeekknnopsttuuuw',!
        62 0* 0.00099% (96.695% 0.070% 3.235%)   respect                                                                                                                      -----------deefkkmmnnootuuuw'',!
        63 0* 0.00096% (96.732% 0.070% 3.199%)  'm comfort                                                                                                                    -----------deeeekknnpstuuuw',!
        64 0* 0.00095% (96.732% 0.070% 3.198%)  'm comforted                                                                                                                  -----------eeekknnpstuuuw',!
        65 0* 0.00091% (96.734% 0.070% 3.197%)  'm, u                                                                                                                         -----------cdeeeefkkmnnooprsttuuw'!
        66 0* 0.00091% (96.737% 0.070% 3.193%)   keep                                                                                                                         -----------cdeefkmmnnoorsttuuuw'',!
        67 0* 0.00090% (96.767% 0.070% 3.163%)  'm sure we                                                                                                                    -----------cdeefkkmnnoopttuu',!
        68 0* 0.00115% (96.769% 0.070% 3.161%)  'm sure we'                                                                                                                   -----------cdeefkkmnnoopttuu,!
        69 0* 0.00090% (96.771% 0.070% 3.159%)  'm not, um                                                                                                                    -----------cdeeeefkknoprstuuw'!
        70 0* 0.00089% (96.772% 0.070% 3.159%)  'm open to                                                                                                                    -----------cdeeefkkmnrstuuuw',!
        71 0* 0.00088% (96.780% 0.070% 3.151%)  'm down                                                                                                                       -----------ceeeefkkmnoprsttuuu',!
        72 0* 0.00086% (96.795% 0.070% 3.135%)  'm done,                                                                                                                      -----------ceeefkkmnoprsttuuuw'!
        73 0* 0.00085% (96.802% 0.070% 3.128%)  'm perfect                                                                                                                    -----------deekkmnnoostuuuw',!
        74 0* 0.00084% (96.803% 0.070% 3.128%)  'm focused                                                                                                                    -----------eeekkmnnoprttuuw',!
        75 0* 0.00081% (96.803% 0.070% 3.127%)  'm sure,                                                                                                                      -----------cdeeefkkmnnoopttuuw'!
        76 0* 0.00072% (96.804% 0.070% 3.126%)  'm no                                                                                                                         -----------cdeeeefkkmnoprsttuuuw',!
        77 0* 0.00072% (96.823% 0.070% 3.107%)  'm not proud!                                                                                                                 -----------ceeeefkkmnstuuw',
        78 0* 0.00071% (96.826% 0.070% 3.105%)  'm                                                                                                                            -----------cdeeeefkkmnnooprsttuuuw',!
        79 0* 0.00071% (96.851% 0.070% 3.079%)   don't,                                                                                                                       -----------ceeeefkkmmnoprstuuuw'!
        80 0* 0.00068% (96.860% 0.070% 3.070%)  'm work                                                                                                                       -----------cdeeeefkmnnopsttuuu',!
        81 0* 0.00067% (96.865% 0.070% 3.065%)   must                                                                                                                         -----------cdeeeefkkmnnooprtuuw'',!
        82 0* 0.00063% (96.940% 0.070% 2.990%)   knew                                                                                                                         -----------cdeeefkmmnooprsttuuu'',!
        83 0* 0.00062% (96.986% 0.070% 2.944%)   sure                                                                                                                         -----------cdeeefkkmmnnoopttuuw'',!
        84 0* 0.00061% (97.078% 0.070% 2.851%)   need                                                                                                                         -----------ceefkkmmnooprsttuuuw'',!
        85 0* 0.00059% (97.101% 0.070% 2.829%)   won't, of                                                                                                                    -----------cdeeeekkmmnprstuuu'!
        86 0* 0.00059% (97.106% 0.070% 2.823%)  'm fr                                                                                                                         -----------cdeeeekkmnnoopsttuuuw',!
        87 0* 0.00056% (97.114% 0.070% 2.816%)   put                                                                                                                          -----------cdeeeefkkmmnnoorstuuw'',!
        88 0* 0.00055% (97.153% 0.070% 2.777%)  'm focused on                                                                                                                 -----------eeekkmnprttuuw',!
        89 0* 0.00053% (97.154% 0.070% 2.776%)  'm do                                                                                                                         -----------ceeeefkkmnnoprsttuuuw',!
        90 0* 0.00052% (97.182% 0.070% 2.748%)  'm set                                                                                                                        -----------cdeeefkkmnnooprtuuuw',!
        91 0* 0.00049% (97.186% 0.070% 2.744%)   refuse                                                                                                                       -----------cdeekkmmnnoopttuuw'',!
        92 0* 0.00049% (97.187% 0.070% 2.743%)  'm so proud                                                                                                                   -----------ceeeefkkmnnttuuw',!
        93 0* 0.00049% (97.189% 0.070% 2.741%)  'm not sure po                                                                                                                -----------cdeeefkkmntuuw',!
        94 0* 0.00047% (97.191% 0.070% 2.739%)  'm stuck                                                                                                                      -----------deeeefkmnnooprtuuw',!
        95 0* 0.00046% (97.191% 0.070% 2.739%)  'm free!                                                                                                                      -----------cdeekkmnnoopsttuuuw',
        96 0* 0.00046% (97.193% 0.070% 2.737%)  'm for                                                                                                                        -----------cdeeeekkmnnopsttuuuw',!
        97 0* 0.00045% (97.197% 0.070% 2.733%)  'm p                                                                                                                          -----------cdeeeefkkmnnoorsttuuuw',!
        98 0* 0.00044% (97.201% 0.070% 2.729%)  'm now                                                                                                                        -----------cdeeeefkkmnoprsttuuu',!
        99 0* 0.00043% (97.209% 0.070% 2.721%)  'm proud,                                                                                                                     -----------ceeeefkkmnnosttuuw'!
       100 0* 0.00041% (97.209% 0.070% 2.721%)  'm rock                                                                                                                       -----------deeeefkmnnopsttuuuw',!
       101 0* 0.00040% (97.211% 0.070% 2.719%)  'm secret                                                                                                                     -----------deefkkmnnooptuuuw',!
       102 0* 0.00038% (97.213% 0.070% 2.717%)  'm sure po                                                                                                                    -----------cdeeefkkmnnottuuw',!
       103 0* 0.00037% (97.214% 0.070% 2.716%)  'm set!                                                                                                                       -----------cdeeefkkmnnooprtuuuw',
       104 0* 0.00037% (97.219% 0.070% 2.711%)  'm un                                                                                                                         -----------cdeeeefkkmnooprsttuuw',!
       105 0* 0.00037% (97.222% 0.070% 2.708%)  'm fuck                                                                                                                       -----------deeeekmnnooprsttuuw',!
       106 0* 0.00037% (97.222% 0.070% 2.707%)  'm one step                                                                                                                   -----------cdeefkkmnortuuuw',!
       107 0* 0.00035% (97.225% 0.070% 2.705%)   see                                                                                                                          -----------cdeefkkmmnnooprttuuuw'',!
       108 0* 0.00035% (97.364% 0.070% 2.566%)  'm due                                                                                                                        -----------ceeefkkmnnooprsttuuw',!
       109 0* 0.00040% (97.365% 0.070% 2.565%)  'm due for                                                                                                                    -----------ceeekkmnnopsttuuw',!
       110 0* 0.00035% (97.366% 0.070% 2.564%)   counted                                                                                                                      -----------eeefkkmmnoprstuuw'',!
       111 0* 0.00034% (97.384% 0.070% 2.546%)   need to                                                                                                                      -----------ceefkkmmnoprstuuuw'',!
       112 0* 0.00034% (97.451% 0.070% 2.478%)  'm put                                                                                                                        -----------cdeeeefkkmnnoorstuuw',!
       113 0* 0.00033% (97.451% 0.070% 2.478%)  'm not!                                                                                                                       -----------cdeeeefkkmnoprstuuuw',
       114 0* 0.00033% (97.456% 0.070% 2.473%)  'm tempt                                                                                                                      -----------cdeeefkknnoorsuuuw',!
       115 0* 0.00036% (97.456% 0.070% 2.473%)  'm tempted                                                                                                                    -----------ceefkknnoorsuuuw',!
       116 0* 0.00033% (97.459% 0.070% 2.471%)  'm down for                                                                                                                   -----------ceeeekkmnpsttuuu',!
       117 0* 0.00033% (97.462% 0.070% 2.468%)  'm pre                                                                                                                        -----------cdeeefkkmnnoosttuuuw',!
       118 0* 0.00033% (97.464% 0.070% 2.466%)   need to po                                                                                                                   -----------ceefkkmmnrstuuuw'',!
       119 0* 0.00033% (97.572% 0.070% 2.357%)   don't po                                                                                                                     -----------ceeeefkkmmnrstuuuw',!
       120 0* 0.00032% (97.591% 0.070% 2.338%)   do                                                                                                                           -----------ceeeefkkmmnnoprsttuuuw'',!
       121 0* 0.00031% (97.874% 0.071% 2.055%)  'm to                                                                                                                         -----------cdeeeefkkmnnoprstuuuw',!
       122 0* 0.00031% (97.880% 0.071% 2.049%)  'm free,                                                                                                                      -----------cdeekkmnnoopsttuuuw'!
       123 0* 0.00031% (97.881% 0.071% 2.048%)  'm out of                                                                                                                     -----------cdeeeekkmnnprstuuw',!
       124 0* 0.00030% (97.884% 0.071% 2.045%)  'm perfect!                                                                                                                   -----------deekkmnnoostuuuw',
       125 0* 0.00030% (97.884% 0.071% 2.045%)  'm open for                                                                                                                   -----------cdeeekkmnsttuuuw',!
       126 0* 0.00030% (97.885% 0.071% 2.045%)  'm proud to                                                                                                                   -----------ceeeefkkmnnstuuw',!
       127 0* 0.00030% (97.887% 0.071% 2.042%)  'd po                                                                                                                         -----------ceeeefkkmmnnorsttuuuw',!
       128 0* 0.00030% (97.898% 0.071% 2.032%)   refuse to                                                                                                                    -----------cdeekkmmnnoptuuw'',!
       129 0* 0.00029% (97.926% 0.071% 2.004%)   recommend we                                                                                                                 -----------efkknopsttuuu'',!
       130 0* 0.00029% (97.927% 0.071% 2.003%)  'm profound                                                                                                                   -----------ceeeekkmnsttuuw',!
       131 0* 0.00028% (97.927% 0.071% 2.002%)   come                                                                                                                         -----------deeefkkmnnoprsttuuuw'',!
       132 0* 0.00098% (97.931% 0.071% 1.998%)   come from                                                                                                                    -----------deeekknnpsttuuuw'',!
       133 0* 0.00343% (97.940% 0.071% 1.989%)   come from generations                                                                                                        deeekknnpsttuuuw'',!
       134 0* 0.00046% (97.940% 0.071% 1.989%)   come up                                                                                                                      -----------deeefkkmnnorsttuuw'',!
       135 0* 0.00028% (97.943% 0.071% 1.987%)  'm not sure we                                                                                                                -----------cdeefkkmnoptuu',!
       136 0* 0.00110% (97.943% 0.071% 1.986%)  'm not sure we'                                                                                                               -----------cdeefkkmnoptuu,!
       137 0* 0.00028% (97.943% 0.071% 1.986%)  'm free to                                                                                                                    -----------cdeekkmnnopstuuuw',!
       138 0* 0.00028% (97.945% 0.071% 1.984%)   dun                                                                                                                          -----------ceeeefkkmmnooprsttuuw'',!
       139 0* 0.00028% (98.010% 0.071% 1.919%)  'm often                                                                                                                      -----------cdeeekkmnoprstuuuw',!
       140 0* 0.00027% (98.013% 0.071% 1.917%)  'm t                                                                                                                          -----------cdeeeefkkmnnooprstuuuw',!
       141 0* 0.00026% (98.023% 0.071% 1.906%)  'm re                                                                                                                         -----------cdeeefkkmnnoopsttuuuw',!
       142 0* 0.00026% (98.027% 0.071% 1.902%)  'm set for                                                                                                                    -----------cdeeekkmnnoptuuuw',!
       143 0* 0.00026% (98.030% 0.071% 1.899%)  'm not perfect!                                                                                                               -----------deekkmnosuuuw',
       144 0* 0.00026% (98.030% 0.071% 1.899%)   don't, um                                                                                                                    -----------ceeeefkkmnoprstuuw'!
       145 0* 0.00025% (98.030% 0.071% 1.899%)   for                                                                                                                          -----------cdeeeekkmmnnopsttuuuw'',!
       146 0* 0.00025% (98.054% 0.071% 1.875%)  'd keep                                                                                                                       -----------ceefkmmnnoorsttuuuw',!
       147 0* 0.00025% (98.056% 0.071% 1.873%)   wrote                                                                                                                        -----------cdeeefkkmmnnopstuuu'',!
       148 0* 0.00025% (98.112% 0.071% 1.817%)  'm sort                                                                                                                       -----------cdeeeefkkmnnoptuuuw',!
       149 0* 0.00042% (98.114% 0.071% 1.815%)  'm sort of                                                                                                                    -----------cdeeeekkmnnptuuuw',!
