somehow managed to say that like it's a bad thing!
         0 0* 59.92877% (78.2743%/0.0000%)   managed                                                                                                                      aaaabdeeghhhiiiklmnooossstttttwy'!
         1 0* 177.95527% (78.2944%/0.0000%)   managed to                                                                                                                   aaaabdeeghhhiiiklmnoosssttttwy'!
         2 0* 192.74653% (79.0578%/0.0575%)   managed to make                                                                                                              aaabdeghhhiiilnoosssttttwy'!
         3 0* 65.33940% (79.1906%/0.0591%)   managed to make that                                                                                                         aabdeghhiiilnoosssttwy'!
         4 0* 51.54387% (79.1940%/0.0591%)   made                                                                                                                         -------aaabeghhhiiiklnooossstttttwy'!
         5 0* 51.33044% (83.5932%/0.0591%)   managed to make the                                                                                                          aaabdghhiiilnoossstttwy'!
         6 0* 41.17298% (83.6009%/0.0591%)   managed to make this                                                                                                         aaabdeghhiilnoosstttwy'!
         7 0* 39.78836% (83.6028%/0.0591%)   managed to talk                                                                                                              aaabdeeghhhiiimnoossstttwy'!
         8 0* 73.59624% (83.6103%/0.0593%)   managed to talk me                                                                                                           aaabdeghhhiiinoossstttwy'!
         9 0* 130.58549% (83.6195%/0.0593%)   managed to talk me into                                                                                                      aaabdeghhhiiosssttwy'!
        10 0* 36.76471% (83.6252%/0.0593%)   somehow                                                                                                                      -------aaaabdeghhiiiklnossttttty'!
        11 0* 304.04672% (84.2030%/0.0593%)   somehow managed                                                                                                              aaaabdeghhiiiklnossttttty'!
        12 0* 849.46722% (84.2040%/0.0605%)   somehow managed to                                                                                                           aaaabdeghhiiiklnsstttty'!
        13 0* 280.88933% (84.3621%/0.0615%)   somehow managed to talk                                                                                                      aaabdeghhiiinssttty'!
        14 0* 187.43633% (84.3664%/0.0615%)   somehow managed to take                                                                                                      aaabdghhiiilnssttty'!
        15 0* 131.98673% (84.3696%/0.0615%)   somehow managed to be                                                                                                        aaaadghhiiiklnsstttty'!
        16 0* 96.51601% (84.3774%/0.0616%)   somehow managed to say                                                                                                       aaabdeghhiiiklnstttt'!
        17 0* 194.69441% (84.3797%/0.0616%)   somehow managed to say that                                                                                                  aabdeghiiiklnstt'!
        18 0* 95.01673% (84.3799%/0.0616%)   somehow managed to take that                                                                                                 aabdghiiilnssty'!
        19 0* 82.65473% (84.3800%/0.0616%)   somehow managed to take this                                                                                                 aaabdghiilnstty'!
        20 0* 69.53284% (84.3801%/0.0616%)   somehow managed to steal                                                                                                     aaabdghhiiiknsttty'!
        21 0* 43.47697% (84.3806%/0.0616%)   somehow managed to say that in                                                                                               aabdeghiiklstt'!
        22 0* 42.69950% (84.3806%/0.0616%)   somehow managed to say the                                                                                                   aaabdghiiiklnsttt'!
        23 0* 40.16682% (84.3808%/0.0616%)   somehow managed to say that the                                                                                              aabdgiiiklnst'!
        24 0* 37.59212% (84.3808%/0.0616%)   somehow managed to take a                                                                                                    aabdghhiiilnssttty'!
        25 0* 33.90968% (84.3813%/0.0616%)   somehow managed to best                                                                                                      aaaadghhiiiklnsttty'!
        26 0* 29.30327% (84.3817%/0.0616%)   somehow managed to steal this                                                                                                aaabdghiikntty'!
        27 0* 28.29248% (84.3817%/0.0616%)   managed to make both                                                                                                         aaadeghhiiilnossstttwy'!
        28 0* 25.44998% (84.3833%/0.0616%)   managed to take                                                                                                              aaabdeghhhiiilmnoossstttwy'!
        29 0* 29.50544% (84.3881%/0.0621%)   managed to take the                                                                                                          aaabdghhiiilmnoosssttwy'!
        30 0* 24.86685% (84.3915%/0.0621%)   managed to make this whole                                                                                                   aaabdghiinossttty'!
        31 0* 24.58782% (84.3916%/0.0621%)   somehow managed to say that in the                                                                                           aabdgiiklst'!
        32 0* 23.44275% (84.3916%/0.0621%)   managed to talk me down                                                                                                      aaabeghhhiiiosssttty'!
        33 0* 23.27512% (84.3921%/0.0621%)   somehow managed to say that in a                                                                                             abdeghiiklstt'!
        34 0* 22.94232% (84.3922%/0.0621%)   done                                                                                                                         -------aaaabeghhhiiiklmoossstttttwy'!
        35 0* 57.83932% (84.5181%/0.0621%)   done it                                                                                                                      -------aaaabeghhhiiklmoosssttttwy'!
        36 0* 22.58918% (86.5424%/0.0672%)   managed to say                                                                                                               aaabdeeghhhiiiklmnoossttttw'!
        37 0* 22.30887% (86.5614%/0.0674%)   managed to make a                                                                                                            aabdeghhhiiilnoosssttttwy'!
        38 0* 22.29936% (86.5717%/0.0675%)   managed to both                                                                                                              aaaadeeghhiiiklmnossstttwy'!
        39 0* 21.69086% (86.5837%/0.0681%)   somehow managed to take that as                                                                                              abdghiiilnsty'!
        40 0* 21.09725% (86.5837%/0.0681%)   somehow managed to dis                                                                                                       aaaabeghhiiklnstttty'!
        41 0* 20.15519% (86.5843%/0.0681%)   somehow managed to beat                                                                                                      aaadghhiiiklnssttty'!
        42 0* 19.32377% (86.5846%/0.0681%)   managed to take the wind                                                                                                     aaabghhiilmoossstty'!
        43 0* 18.33143% (86.5848%/0.0681%)   talked                                                                                                                       -------aaabeghhhiiimnooosssttttwy'!
        44 0* 46.27727% (86.6845%/0.0681%)   talked me                                                                                                                    -------aaabghhhiiinooosssttttwy'!
        45 0* 189.66102% (86.9571%/0.0717%)   talked me into                                                                                                               -------aaabghhhiioossstttwy'!
        46 0* 95.88438% (87.1319%/0.0731%)   talked me into it                                                                                                            -------aaabghhhioosssttwy'!
        47 0* 39.94829% (87.1692%/0.0731%)   talked me into this                                                                                                          -------aaabghhioossttwy'!
        48 0* 30.56615% (87.1731%/0.0731%)   talked me into that                                                                                                          -------aabghhiioossstwy'!
        49 0* 29.47486% (87.1756%/0.0732%)   talked me into it!                                                                                                           -------aaabghhhioosssttwy'
        50 0* 19.97772% (87.1828%/0.0732%)   talked me into both                                                                                                          -------aaaghhiiosssttwy'!
        51 0* 18.01251% (87.1840%/0.0732%)   somehow managed to take that last                                                                                            abdghiiinsy'!
        52 0* 17.93620% (87.1840%/0.0732%)   made the                                                                                                                     -------aaabghhiiiklnooosssttttwy'!
        53 0* 17.69710% (87.5103%/0.1079%)   managed to be                                                                                                                aaaadeghhhiiiklmnoosssttttwy'!
        54 0* 17.68540% (87.5386%/0.1088%)   managed to say that                                                                                                          aabdeeghhiiiklmnoossttw'!
        55 0* 17.50622% (87.5398%/0.1088%)   managed to take away                                                                                                         abdeghhhiiilmnoosssttt'!
        56 0* 17.48471% (87.5408%/0.1088%)   talked me into both!                                                                                                         -------aaaghhiiosssttwy'
        57 0* 16.82721% (87.5420%/0.1088%)   somehow managed to take this and                                                                                             aabghiilstty'!
        58 0* 16.74489% (87.5420%/0.1088%)   managed to talk me into this                                                                                                 aaabdeghhiosstwy'!
        59 0* 16.67263% (87.5420%/0.1088%)   talked me into that too                                                                                                      -------aabghhiissswy'!
        60 0* 18.44126% (87.5425%/0.1088%)   talked me into that too!                                                                                                     -------aabghhiissswy'
        61 0* 16.59576% (87.5428%/0.1088%)   talked me into a                                                                                                             -------aabghhhiioossstttwy'!
        62 0* 16.43565% (87.5536%/0.1088%)   somehow talked                                                                                                               -------aaabghhiiinosstttty'!
        63 0* 16.10247% (87.5643%/0.1093%)   managed to take away the                                                                                                     abdghhiiilmnoossstt'!
        64 0* 15.58790% (87.5645%/0.1093%)   managed to talk me into both                                                                                                 aaadeghhiissstwy'!
        65 0* 14.18570% (87.5646%/0.1093%)   managed to make this the                                                                                                     aaabdghiilnoossttwy'!
        66 0* 13.78042% (87.5647%/0.1093%)   managed to somehow                                                                                                           aaaabdeghhiiiklnsstttty'!
        67 0* 13.19060% (87.5671%/0.1096%)   managed to say that while                                                                                                    aabdeghiikmnoosstt'!
        68 0* 12.81587% (87.5671%/0.1096%)   been                                                                                                                         -------aaaadghhhiiiklmooossstttttwy'!
        69 0* 12.65856% (88.8455%/0.1096%)   managed to talk me into a                                                                                                    aabdeghhhiiosssttwy'!
        70 0* 12.12265% (88.8458%/0.1096%)   somehow managed to say that this                                                                                             aabdegiiklnt'!
        71 0* 12.05156% (88.8458%/0.1096%)   managed to make it                                                                                                           aaabdeghhhiilnoossstttwy'!
        72 0* 11.83809% (88.8483%/0.1096%)   managed to take away both                                                                                                    adeghhiiilmnossstt'!
        73 0* 17.09068% (88.8483%/0.1096%)   managed to take away both the                                                                                                adghiiilmnossst'!
        74 0* 11.60714% (88.8483%/0.1096%)   managed to talk me into that                                                                                                 aabdeghhiiossswy'!
        75 0* 11.55642% (88.8484%/0.1096%)   somehow managed to set                                                                                                       aaaabdghhiiiklnsttty'!
        76 0* 11.44299% (88.8487%/0.1097%)   managed to do                                                                                                                aaaabeeghhhiiiklmnosssttttwy'!
        77 0* 31.15051% (88.8531%/0.1098%)   managed to do both                                                                                                           aaaaeeghhiiiklmnssstttwy'!
        78 0* 16.79149% (88.8568%/0.1098%)   managed to do both!                                                                                                          aaaaeeghhiiiklmnssstttwy'
        79 0* 15.13082% (88.8591%/0.1098%)   managed to do both at                                                                                                        aaaeeghhiiiklmnsssttwy'!
        80 0* 35.12028% (88.8597%/0.1098%)   managed to do both at the                                                                                                    aaaeghiiiklmnssstwy'!
        81 0* 326.68133% (88.8597%/0.1098%)   managed to do both at the same                                                                                               aaghiiiklnsstwy'!
        82 0* 14.87747% (88.8601%/0.1098%)   managed to do the                                                                                                            aaaabeghhiiiklmnossstttwy'!
        83 0* 14.61866% (88.8655%/0.1098%)   managed to do what                                                                                                           aaabeeghhiiiklmnosssttty'!
        84 0* 11.39976% (88.8671%/0.1099%)   managed to take the most                                                                                                     aaabdghhiiilnosstwy'!
        85 0* 11.37204% (88.8673%/0.1099%)   somehow managed to steal that                                                                                                aabdghiiiknsty'!
        86 0* 11.29947% (88.8673%/0.1099%)   made this                                                                                                                    -------aaabeghhiiklnooossttttwy'!
        87 0* 11.17294% (88.9317%/0.1306%)   managed to both make                                                                                                         aaadeghhiiilnossstttwy'!
        88 0* 10.94159% (88.9322%/0.1306%)   managed to talk me into both!                                                                                                aaadeghhiissstwy'
        89 0* 10.57762% (88.9323%/0.1306%)   somehow managed to be a                                                                                                      aaadghhiiiklnsstttty'!
        90 0* 10.33957% (88.9327%/0.1306%)   managed to say the                                                                                                           aaabdeghhiiiklmnoosstttw'!
        91 0* 16.64261% (88.9340%/0.1306%)   managed to say the most                                                                                                      aaabdeghhiiiklnosttw'!
        92 0* 9.98914% (88.9343%/0.1306%)   somehow managed to think                                                                                                     aaaabdeghiilssttty'!
        93 0* 13.64289% (88.9344%/0.1306%)   somehow managed to think that                                                                                                aaabdegiilssty'!
        94 0* 9.85570% (88.9344%/0.1306%)   always                                                                                                                       -------aabdeeghhhiiikmnooossttttt'!
        95 0* 69.62075% (88.9811%/0.1306%)   always been                                                                                                                  -------aadghhhiiikmooossttttt'!
        96 0* 15.17755% (89.1717%/0.1428%)   always been a                                                                                                                -------adghhhiiikmooossttttt'!
        97 0* 13.58044% (89.2048%/0.1435%)   always been that                                                                                                             -------adghhiiikmooossttt'!
        98 0* 11.39375% (89.2095%/0.1436%)   always been so                                                                                                               -------aadghhhiiikmoosttttt'!
        99 0* 9.61766% (89.2218%/0.1441%)   managed to be the                                                                                                            aaaadghhiiiklmnoossstttwy'!
       100 0* 9.57866% (89.2251%/0.1442%)   somehow managed to let                                                                                                       aaaabdghhiiiknssttty'!
       101 0* 9.55209% (89.2255%/0.1442%)   managed to make both those                                                                                                   aaadghiiilnssttwy'!
       102 0* 9.22030% (89.2255%/0.1442%)   managed to say that with                                                                                                     aabdeeghiiklmnoosst'!
       103 0* 9.19330% (89.2255%/0.1442%)   somehow managed to talk this                                                                                                 aaabdeghiinstty'!
       104 0* 9.19267% (89.2255%/0.1442%)   managed to steal                                                                                                             aaabdeghhhiiikmnoosstttwy'!
       105 0* 12.75487% (89.2262%/0.1443%)   managed to steal my                                                                                                          aaabdeghhhiiiknoosstttw'!
       106 0* 9.09657% (89.2275%/0.1443%)   somehow managed to listen                                                                                                    aaaabdghhiiksttty'!
       107 0* 8.86106% (89.2276%/0.1443%)   somehow managed the                                                                                                          aaaabdghiiiklnosstttty'!
       108 0* 8.68584% (89.2285%/0.1444%)   managed to take my                                                                                                           aaabdeghhhiiilnoossstttw'!
       109 0* 8.57960% (89.2304%/0.1444%)   somehow managed to stand                                                                                                     aaabeghhiiiklsttty'!
       110 0* 8.34138% (89.2305%/0.1444%)   somehow managed to be that                                                                                                   aaadghiiiklnsstty'!
       111 0* 8.31356% (89.2305%/0.1444%)   said                                                                                                                         -------aaabeeghhhiiklmnooosstttttwy'!
       112 0* 10.66973% (89.6827%/0.1444%)   said the                                                                                                                     -------aaabeghhiiklmnooossttttwy'!
       113 0* 12.44423% (89.8163%/0.1540%)   said the same                                                                                                                -------aabghhiiklnooosttttwy'!
       114 0* 8.19163% (89.8401%/0.1543%)   somehow managed to state                                                                                                     aaabdghhiiiklnstty'!
       115 0* 8.05080% (89.8402%/0.1543%)   talked me into this too                                                                                                      -------aaabghhisstwy'!
       116 0* 7.96424% (89.8404%/0.1543%)   made this the                                                                                                                -------aaabghiiklnooosstttwy'!
       117 0* 7.92970% (89.8559%/0.1546%)   managed to make that the                                                                                                     aabdghiiilnoossstwy'!
       118 0* 7.84753% (89.8560%/0.1546%)   made it                                                                                                                      -------aaabeghhhiiklnooosssttttwy'!
       119 0* 7.75401% (90.0523%/0.1692%)   managed to make an                                                                                                           aabdeghhhiiiloosssttttwy'!
       120 0* 7.72142% (90.0550%/0.1693%)   somehow managed to hit                                                                                                       aaaabdeghiiklnssttty'!
       121 0* 7.68085% (90.0551%/0.1693%)   managed to say that with a                                                                                                   abdeeghiiklmnoosst'!
       122 0* 7.54327% (90.0552%/0.1693%)   managed to steal the                                                                                                         aaabdghhiiikmnoossttwy'!
       123 0* 7.54043% (90.0557%/0.1693%)   managed to make it so                                                                                                        aaabdeghhhiilnosstttwy'!
       124 0* 38.57278% (90.0560%/0.1693%)   managed to make it so that                                                                                                   aabdeghhiilnosstwy'!
       125 0* 9.72887% (90.0562%/0.1693%)   managed to make it so that the                                                                                               aabdghiilnosswy'!
       126 0* 7.41942% (90.0562%/0.1693%)   managed to make what                                                                                                         aabdeghhiiilnoosssttty'!
       127 0* 7.26166% (90.0566%/0.1693%)   somehow managed to take an                                                                                                   aabdghhiiilssttty'!
       128 0* 7.24050% (90.0567%/0.1693%)   made this whole                                                                                                              -------aaabghiiknoosstttty'!
       129 0* 7.23051% (90.0615%/0.1696%)   managed to talk me into the                                                                                                  aaabdghhiiossstwy'!
       130 0* 7.13649% (90.0616%/0.1696%)   somehow managed to state that                                                                                                aabdghiiiklnsy'!
       131 0* 7.01225% (90.0616%/0.1696%)   taken                                                                                                                        -------aaabdeghhhiiilmooosssttttwy'!
       132 0* 12.86265% (90.1784%/0.1696%)   taken the                                                                                                                    -------aaabdghhiiilmooossstttwy'!
       133 0* 6.90598% (90.3083%/0.1899%)   somehow managed to think that'                                                                                               aaabdegiilssty!
       134 0* 13.85826% (90.3083%/0.1899%)   somehow managed to think that's                                                                                              aaabdegiilsty!
       135 0* 7.89933% (90.3083%/0.1899%)   somehow managed to think that's a                                                                                            aabdegiilsty!
       136 0* 6.89815% (90.3083%/0.1899%)   managed to say both                                                                                                          aaadeeghhiiiklmnosstttw'!
       137 0* 6.82627% (90.3089%/0.1899%)   managed to take a                                                                                                            aabdeghhhiiilmnoossstttwy'!
       138 0* 6.74032% (90.3115%/0.1900%)   somehow managed to say that that                                                                                             abdegiiiklns'!
       139 0* 7.34649% (90.3115%/0.1900%)   somehow managed to say that that'                                                                                            abdegiiiklns!
       140 0* 8.66027% (90.3115%/0.1900%)   somehow managed to say that that's                                                                                           abdegiiikln!
       141 0* 6.71756% (90.3115%/0.1900%)   managed to make that a                                                                                                       abdeghhiiilnoosssttwy'!
       142 0* 6.63204% (90.3118%/0.1900%)   talked me into that!                                                                                                         -------aabghhiioossstwy'
       143 0* 6.45503% (90.3122%/0.1900%)   almost                                                                                                                       -------aaabdeeghhhiiiknoossttttwy'!
       144 0* 8.68674% (90.5237%/0.1900%)   almost managed                                                                                                               aaabdeeghhhiiiknoossttttwy'!
       145 0* 26.88857% (90.5237%/0.1902%)   almost managed to                                                                                                            aaabdeeghhhiiiknosstttwy'!
       146 0* 6.37421% (90.5282%/0.1905%)   somehow managed to say this                                                                                                  aaabdeghiiklnttt'!
       147 0* 6.23865% (90.5282%/0.1905%)   talked me into this!                                                                                                         -------aaabghhioossttwy'
       148 0* 6.23548% (90.5286%/0.1905%)   somehow managed to diss                                                                                                      aaaabeghhiiklntttty'!
       149 0* 6.19601% (90.5287%/0.1905%)   said the most                                                                                                                -------aaabeghhiiklnoostttwy'!
       150 0* 6.16447% (90.5400%/0.1910%)   managed to do what no                                                                                                        aaabeeghhiiiklmsssttty'!
       151 0* 6.16334% (90.5405%/0.1910%)   somehow managed not                                                                                                          aaaabdeghhiiiklsstttty'!
       152 0* 6.08248% (90.5414%/0.1910%)   managed the                                                                                                                  aaaabdeghhiiiklmnooosssttttwy'!
       153 0* 6.07526% (90.5640%/0.1939%)   managed to do that                                                                                                           aaabeeghhiiiklmnosssttwy'!
       154 0* 6.03954% (90.5649%/0.1939%)   managed to say that in                                                                                                       aabdeeghhiiklmoossttw'!
       155 0* 6.02848% (90.5649%/0.1939%)   won                                                                                                                          -------aaaabdeeghhhiiiklmoosssttttty'!
       156 0* 5.92035% (91.0551%/0.1939%)   managed to make it so that when                                                                                              aabdghiilossty'!
       157 0* 5.85741% (91.0551%/0.1939%)   made that                                                                                                                    -------aabeghhiiiklnooossstttwy'!
       158 0* 5.82013% (91.1015%/0.2043%)   managed to do what my                                                                                                        aaabeeghhiiiklnosssttt'!
       159 0* 5.78016% (91.1018%/0.2043%)   managed to take what                                                                                                         aabdeghhiiilmnoossstty'!
       160 0* 5.77705% (91.1022%/0.2043%)   somehow managed to say that and                                                                                              abeghiiiklstt'!
       161 0* 5.65372% (91.1022%/0.2043%)   won the                                                                                                                      -------aaaabdeghhiiiklmoossstttty'!
       162 0* 5.62629% (91.2551%/0.2324%)   managed to make it so that both                                                                                              aadeghiilnsswy'!
       163 0* 5.59892% (91.2551%/0.2324%)   somehow managed that                                                                                                         aaabdeghiiiklnossttty'!
       164 0* 5.48608% (91.2552%/0.2324%)   somehow taken                                                                                                                -------aaabdghhiiilosstttty'!
       165 0* 5.43722% (91.2601%/0.2336%)   somehow managed to say that it                                                                                               aabdeghiiklnst'!
       166 0* 6.52660% (91.2601%/0.2336%)   somehow managed to say that it'                                                                                              aabdeghiiklnst!
       167 0* 11.25537% (91.2601%/0.2336%)   somehow managed to say that it's                                                                                             aabdeghiiklnt!
       168 0* 5.36943% (91.2601%/0.2336%)   somehow managed to say that a                                                                                                abdeghiiiklnstt'!
       169 0* 5.36009% (91.2601%/0.2336%)   talked me into this too!                                                                                                     -------aaabghhisstwy'
       170 0* 5.32910% (91.2602%/0.2336%)   managed to be the only                                                                                                       aaaadghhiiikmossstttw'!
       171 0* 5.27746% (91.2610%/0.2336%)   somehow managed to take that and                                                                                             abghiiilssty'!
       172 0* 5.26472% (91.2610%/0.2336%)   managed to steal my own                                                                                                      aaabdeghhhiiikossttt'!
       173 0* 5.24780% (91.2611%/0.2336%)   managed to make that into                                                                                                    aabdeghhiilossstwy'!
       174 0* 5.23906% (91.2612%/0.2336%)   somehow managed to talk the                                                                                                  aaabdghiiinsstty'!
       175 0* 5.23222% (91.2612%/0.2336%)   managed to take this                                                                                                         aaabdeghhiilmnoossttwy'!
       176 0* 5.22590% (91.2614%/0.2336%)   managed to say the same                                                                                                      aabdghhiiiklnoostttw'!
       177 0* 5.15261% (91.2615%/0.2336%)   managed to talk me into it                                                                                                   aaabdeghhhiossstwy'!
       178 0* 5.13646% (91.2617%/0.2336%)   somehow managed to alien                                                                                                     aaabdghhiiksstttty'!
       179 0* 5.10015% (91.2618%/0.2336%)   done it!                                                                                                                     -------aaaabeghhhiiklmoosssttttwy'
       180 0* 5.04461% (91.3681%/0.2341%)   done both                                                                                                                    -------aaaaeghhiiiklmosssttttwy'!
       181 0* 5.04352% (91.4009%/0.2366%)   managed to say both that                                                                                                     aadeeghiiiklmnosstw'!
       182 0* 5.00765% (91.4010%/0.2366%)   somehow managed to stab                                                                                                      aaadeghhiiiklnsttty'!
       183 0* 5.00449% (91.4010%/0.2366%)   managed to not                                                                                                               aaaabdeeghhhiiiklmossstttwy'!
       184 0* 4.99718% (91.4074%/0.2369%)   managed to win                                                                                                               aaaabdeeghhhiiklmoossstttty'!
       185 0* 4.90875% (91.4102%/0.2371%)   managed to be the most                                                                                                       aaaadghhiiiklnossttwy'!
       186 0* 4.88734% (91.4105%/0.2371%)   managed to take that                                                                                                         aabdeghhiiilmnoossstwy'!
       187 0* 4.79050% (91.4107%/0.2371%)   always had                                                                                                                   -------abeeghhiiikmnooossttttt'!
       188 0* 5.82515% (91.4213%/0.2408%)   always had the                                                                                                               -------abeghiiikmnooosstttt'!
       189 0* 29.46358% (91.4243%/0.2411%)   always had the best                                                                                                          -------aghiiikmnooosttt'!
       190 0* 4.78645% (91.4275%/0.2411%)   always been this                                                                                                             -------aadghhiikmooostttt'!
       191 0* 4.78431% (91.4291%/0.2413%)   somehow managed to say that last                                                                                             abdeghiiiknt'!
       192 0* 4.78303% (91.4291%/0.2413%)   managed to win this                                                                                                          aaaabdeeghhiklmoossttty'!
       193 0* 6.34132% (91.4295%/0.2413%)   managed to win this debate                                                                                                   aaaghhiklmoosstty'!
       194 0* 4.70136% (91.4296%/0.2413%)   somehow managed to talk a                                                                                                    aabdeghhiiinssttty'!
       195 0* 4.65634% (91.4296%/0.2413%)   both                                                                                                                         -------aaaadeeghhiiiklmnoosssttttwy'!
       196 0* 4.61819% (91.8247%/0.2413%)   done the                                                                                                                     -------aaaabghhiiiklmoosssttttwy'!
       197 0* 4.46011% (91.9204%/0.2472%)   almost managed to take                                                                                                       aabdeghhhiiinossttwy'!
       198 0* 13.16455% (91.9205%/0.2472%)   almost managed to take the                                                                                                   aabdghhiiinosstwy'!
       199 0* 28.14587% (91.9205%/0.2472%)   almost managed to take the wind                                                                                              aabghhiiossty'!
       200 0* 4.43608% (91.9205%/0.2472%)   somehow managed to talk that                                                                                                 aabdeghiiinssty'!
       201 0* 4.41627% (91.9205%/0.2472%)   managed to make a best                                                                                                       aadghhhiiilnoosstttwy'!
       202 0* 4.38013% (91.9207%/0.2472%)   somehow managed to hate                                                                                                      aaabdghiiiklnssttty'!
       203 0* 4.36526% (91.9208%/0.2472%)   said the one                                                                                                                 -------aaabghhiiklmoossttttwy'!
       204 0* 4.34398% (91.9370%/0.2474%)   managed to make that last                                                                                                    abdeghhiiinoosstwy'!
       205 0* 4.25784% (91.9371%/0.2474%)   somehow managed to take that as an                                                                                           bdghiiilsty'!
       206 0* 4.19319% (91.9371%/0.2474%)   managed to talk me into what                                                                                                 aabdeghhiiosssty'!
       207 0* 4.18985% (91.9371%/0.2474%)   made a                                                                                                                       -------aabeghhhiiiklnooossstttttwy'!
       208 0* 4.18683% (92.1437%/0.2789%)   somehow managed to stay                                                                                                      aaabdeghhiiiklnsttt'!
