spend another decade making it so it can say other stuff too, okay?
41.67%:  go
33.90%:  shake
24.74%:  make
20.90%:  go inside
20.75%:  punch
19.59%:  make sure
19.86%:  make sure he says
19.49%:  make sure he doesn
18.94%:  go inside him and
17.55%:  take
163.11%:  take him for a test
125.78%:  take him for a spin,
107.58%:  take him for a spin, okay
84.95%:  take him for a test spin
62.76%:  take him out
444.50%:  take him out for a spin,
363.58%:  take him out for a spin, okay
359.72%:  take him out for a spin today
164.02%:  take him out for a spin today,
154.64%:  take him out for ice
131.65%:  take him out for a test
128.26%:  take him out for a spin and
94.20%:  take him out for a spin and see if
57.02%:  take him out for a spin, and
52.85%:  take him for a spin, dude
51.47%:  take him for a spin today
51.33%:  take him out for a test spin
26.54%:  take him out for a spin?
23.95%:  take him out for a spin, and see
23.76%:  take him for a spin today,
22.26%:  take him apart
60.25%:  take him apart and see
33.92%:  take him apart and see if
21.51%:  take him out for a spin, yes
20.83%:  take him for a spin and
19.80%:  take him for a test spin,
32.12%:  take him for a test spin, okay
18.33%:  take him out for snacks
17.06%:  take him apart and use
16.96%:  take him out for a spin today and
16.98%:  take him out for a spin today and see if
16.90%:  make sure he stays
16.48%:  make sure that
16.21%:  make sure that doesn
16.10%:  take him out for another
26.99%:  take him out for another spin today
24.16%:  take him out for another spin,
25.14%:  take him out for another spin, okay
16.05%:  take him out for a date
15.28%:  take him out for a spin today, and
14.99%:  take him out for another test
14.97%:  take him out and
14.91%:  keep
17.10%:  keep making
14.65%:  take him for a spin, you
13.95%:  take him out for a spin, say
13.90%:  see
13.89%:  take him out to
13.89%:  take him out to dinner and
13.78%:  see you top that, friend
13.57%:  go inside and
13.54%:  see you top that one
13.43%:  take him out for a test spin,
24.70%:  take him out for a test spin, okay
12.97%:  take him out for a spin today?
12.69%:  take him for a spin, you and
12.44%:  take him for a test spin today
12.12%:  go see
12.09%:  take him out for a test spin today
12.06%:  get
16.31%:  get him to
49.15%:  get him to say another
11.99%:  take him out for a spin to
11.87%:  spend
54.61%:  spend another
27.43%:  spend another decade
131.30%:  spend another decade making
70.89%:  spend another decade making this
63.86%:  spend another decade making sure
114.07%:  spend another decade making sure that
58.00%:  spend another decade making that
27.61%:  spend another decade making sure that stays
27.50%:  spend another decade making sure this
16.03%:  spend another decade making it
25.53%:  spend another decade making it say that
17.62%:  spend another decade making it say other
93.66%:  spend another decade making it say other stuff
113.31%:  spend another decade making it say other stuff too
21.10%:  spend another decade making it say other stuff,
25.22%:  spend another decade making it say other stuff, too
14.84%:  spend another decade making it say other stuff too,
14.42%:  spend another decade making his
14.28%:  spend some
12.70%:  spend the
12.07%:  spend another decade making our
11.12%:  take him out for cake
11.11%:  go take
142.02%:  go take him for a test
98.29%:  go take him for a spin,
97.10%:  go take him for a spin, okay
60.89%:  go take him for a test spin
47.62%:  go take him for a spin, dude
36.00%:  go take him out
112.72%:  go take him out for a spin,
92.79%:  go take him out for a spin, okay
87.53%:  go take him out for ice
52.03%:  go take him out for a test
33.19%:  go take him out for a spin and
33.34%:  go take him out for a spin and see
29.56%:  go take him out for a spin today
19.39%:  go take him out for a test spin
19.27%:  go take him for another
42.57%:  go take him for another test
21.90%:  go take him for another spin,
31.88%:  go take him for another spin, okay
17.90%:  go take him out for snacks
17.68%:  go take him for another test spin
16.13%:  go take him out for a spin, and
15.75%:  go take him for a spin and
14.58%:  go take him for a spin today
14.20%:  go take him for a spin and see
13.74%:  go take him out to
31.61%:  go take him out to dinner
13.65%:  go take him out for a spin today,
12.53%:  go take him out to eat
11.88%:  go take him for a test spin,
21.52%:  go take him for a test spin, okay
11.05%:  go take him out for a snack
10.99%:  go for
25.25%:  go for a spin
10.94%:  take him out for a snack
10.93%:  take him for a spin?
10.75%:  take him out for a soda
10.68%:  go take him out for a soda
10.44%:  take him out for a spin today, and see
10.31%:  take him out for a spin and get
10.25%:  not
14.65%:  not forget
34.66%:  not forget that
10.24%:  take him out for a dance
10.19%:  spend another 
10.09%:  take him for another
22.82%:  take him for another test
15.63%:  take him for another spin,
16.66%:  take him for another spin, okay
12.12%:  take him for another test spin
10.05%:  make out
9.88%:  see you top that, time
9.78%:  go take him for a spin, you
9.72%:  go take him to
15.77%:  go take him to a party
9.66%:  go punch
9.63%:  go take him out to dinner and
9.58%:  spend more
9.55%:  see you top this
9.43%:  hug
9.33%:  take him to
15.57%:  take him to a party
9.27%:  go for a spin,
9.18%:  take him for a spin, and
9.03%:  go make
8.97%:  go inside him and party
8.96%:  get him out
8.96%:  keep doing
19.96%:  keep doing that
13.31%:  keep doing this for
237.24%:  keep doing this for another
145.73%:  keep doing this for another decade
106.11%:  keep doing this for another ten
83.88%:  keep doing this for another decade,
12.88%:  keep doing this for another decade at
11.24%:  keep doing this,
23.54%:  keep doing this, okay
8.84%:  spend another decade making that sucker
8.73%:  go take him for a spin, and
8.69%:  take him out for a nice
8.69%:  go make out
8.69%:  go take him out to dinner,
10.52%:  go take him out to dinner, okay
8.67%:  go take him for another spin, dude
8.64%:  spend another decade making this sucker
8.59%:  not forget the
8.57%:  get him to say it
8.46%:  fight
17.35%:  fight crime
8.38%:  take him out for spin
8.31%:  take him out for a spin to see
8.22%:  go take him out for cake
8.21%:  take him out for a spin in
8.17%:  spend the rest of today
14.32%:  spend the rest of today making
8.05%:  hang
19.78%:  hang out today
17.56%:  hang out and
15.82%:  hang out some
12.07%:  hang out today and
11.50%:  hang out more
19.58%:  hang out more often
12.09%:  hang out more often,
19.49%:  hang out more often, okay
9.17%:  hang out today and make
7.90%:  keep doing this for another decade, man
7.88%:  take that
10.39%:  take that sucker
7.72%:  keep doing that for
106.19%:  keep doing that for another
116.34%:  keep doing that for another decade
59.78%:  keep doing that for another decade,
44.01%:  keep doing that for another ten
8.19%:  keep doing that for another decade at
7.67%:  kick
21.67%:  kick him around
9.20%:  kick him around and
7.67%:  name
7.62%:  go take him for a spin, you and
7.58%:  press
11.20%:  press the
7.56%:  teach
7.52%:  take him to a party and
7.52%:  see you make
13.09%:  see you make that into
7.51%:  make sure to
8.33%:  make sure to keep
7.48%:  go kick
30.46%:  go kick some ass, friend
12.81%:  go kick some ass, dude
8.61%:  go kick some ass and
7.48%:  take him for another spin today
7.46%:  touch
7.44%:  see you top that, frig
7.42%:  take him out to eat
7.41%:  keep doing this for another decade, my
7.37%:  take him out to dinner,
8.56%:  take him out to dinner, okay
7.37%:  make sure he says it often
7.35%:  take him out for a spin again
7.34%:  put
8.68%:  put him on
7.31%:  spend another decade making it say that,
7.29%:  spend another decade making the
7.29%:  get him to say another one
7.28%:  spend another decade making sure it
11.46%:  spend another decade making sure it stays
7.23%:  make sure he gets
7.14%:  get him a
7.14%:  take him out for a spin and find
7.09%:  make that
6.98%:  keep doing this for another decade, kay
6.98%:  hang out today,
7.36%:  hang out today, friend
6.97%:  make this
6.96%:  go take him out for another
12.15%:  go take him out for another spin
6.95%:  go for a spin in
6.94%:  spend another decade on
26.46%:  spend another decade on that
53.10%:  spend another decade on that, okay
12.84%:  spend another decade on this
8.04%:  spend another decade on this guy
7.89%:  spend another decade on this sucker
6.94%:  spend another decade on that sucker
6.89%:  see you do
6.87%:  spend another decade making his torso
6.85%:  go take him out for a dance
6.79%:  go inside the
6.72%:  keep doing that,
18.03%:  keep doing that, okay
6.70%:  keep doing that for another decade, kay
6.66%:  go for a test
6.66%:  go kick some ass and then
6.62%:  go take him out for a date
6.58%:  spend another decade making sure his
6.57%:  make sure to spend
12.85%:  make sure to spend another
6.57%:  take this
6.56%:  keep making this
6.47%:  take him for a test spin, dude
6.46%:  spend another decade making his torso out
6.38%:  go take him for a spin today,
6.37%:  make it
8.18%:  make it say
8.82%:  make it say that
6.34%:  take him out for a spin, say?
6.32%:  take him out for a spin on
6.31%:  take him out for a test spin today,
6.28%:  spend another decade making sure it says
13.09%:  spend another decade making sure it says that,
6.28%:  get some
6.25%:  go check
6.38%:  go check out
6.21%:  not forget to
6.17%:  spend another ten
401.08%:  spend another ten years making
131.75%:  spend another ten years making that
92.52%:  spend another ten years making this
62.78%:  spend another ten years making it
20.70%:  spend another ten years doing
50.27%:  spend another ten years doing that
21.87%:  spend another ten years doing that,
16.93%:  spend another ten years making his
13.19%:  spend another ten years on
19.85%:  spend another ten years on that
12.01%:  spend another ten years making it do
18.24%:  spend another ten years making it do stuff
11.14%:  spend another ten years making the
10.96%:  spend another ten years on him,
10.43%:  spend another ten years doing this,
10.10%:  spend another ten years adding
9.12%:  spend another ten years making that dude
8.52%:  spend another ten years on this
8.22%:  spend another ten years doing stuff
7.73%:  spend another ten years making this dude
7.54%:  spend another ten years making it so
8.02%:  spend another ten years making it so that
6.45%:  spend another ten years making it shoot
6.17%:  see if
6.74%:  see if you
45.14%:  see if you can top
25.28%:  see if you can top that one
22.55%:  see if you can do
37.19%:  see if you can do that
19.90%:  see if you can top this
13.22%:  see if you can top that, friend
10.25%:  see if you can make
30.28%:  see if you can make that
8.68%:  see if you can top that, time
7.61%:  see if you can top that, frig
7.21%:  see if you can think
12.26%:  see if you can think of another
11.96%:  see if you can think of a more
6.13%:  see if you can come
6.07%:  see if you can make this
6.06%:  kick that
6.06%:  check
6.06%:  punch it
6.05%:  put some
6.02%:  go touch
6.01%:  take a
6.01%:  keep making that
6.01%:  go take him out and
5.97%:  hang out and make
5.88%:  go take him out for a nice
5.87%:  kick his
5.81%:  go take him for a spin in
5.81%:  go take him to a party and
5.79%:  ignore
31.59%:  ignore the fact
6.96%:  ignore that
5.74%:  spend another ten years making a
5.73%:  make it say that again
5.73%:  not forget to feed
8.54%:  not forget to feed him today
7.13%:  not forget to feed him,
5.71%:  make that our
5.68%:  push
5.67%:  spend another ten years adding to
5.66%:  spend another decade trying
34.51%:  spend another decade trying to make
19.32%:  spend another decade trying to make this
17.60%:  spend another decade trying to make that
5.95%:  spend another decade trying to teach
5.66%:  see if you can top that, mister
5.64%:  go take him out for a spin, yes
5.63%:  see if that
6.09%:  see if that makes
5.62%:  take him for another spin, dude
5.62%:  fight some
5.62%:  go take him for a spin?
5.55%:  hope
5.54%:  go for a spin in the
5.51%:  see if you can top that, gross
5.50%:  spend another decade trying to make his
5.49%:  take him out for a spin and say
5.49%:  take him out for a test spin and
5.48%:  see if you can match
5.48%:  spend another decade making sure that is
5.46%:  make sure to keep that
5.43%:  not spend
47.98%:  not spend another
112.47%:  not spend another second
224.99%:  not spend another second of our time
30.74%:  not spend another minute
26.30%:  not spend another second of time
20.74%:  not spend another day
20.52%:  not spend another decade
45.25%:  not spend another decade making
54.11%:  not spend another decade making this
49.77%:  not spend another decade making that
32.34%:  not spend another decade on this
23.55%:  not spend another decade on this guy
17.61%:  not spend another decade on that, guys
17.09%:  not spend another second of our days
15.87%:  not spend another second of this
15.71%:  not spend another second of our day
12.97%:  not spend another decade on this,
11.41%:  not spend another decade on this sucker
11.19%:  not spend another decade on that guy
10.19%:  not spend another day making
10.46%:  not spend another day making this
9.34%:  not spend another decade on that sucker
7.96%:  not spend another second of this day
7.73%:  not spend another day of
7.61%:  not spend another decade on this, guys
7.57%:  not spend another day doing
7.00%:  not spend another day making that
6.83%:  not spend another decade on him
6.78%:  not spend another day not
6.65%:  not spend another decade making that sucker
6.57%:  not spend another decade making this sucker
6.07%:  not spend another minute of this
6.04%:  not spend another second of my
5.47%:  not spend another second of this great
5.47%:  not spend another 
5.41%:  see if you can make that into
5.40%:  see that
5.40%:  take him out for a spin, since
5.39%:  see you top that, time and
5.39%:  see you top that, mister
5.38%:  go take him out for a spin?
5.38%:  spend another decade trying to make it
5.36%:  go see if
5.34%:  take him out for a spin soon
5.33%:  go see him,
12.03%:  go see him, okay
5.33%:  take him out for a steak
5.32%:  see if you can top this one
5.31%:  not spend another decade making sure
9.41%:  not spend another decade making sure that
5.31%:  keep doing this for a
5.29%:  go see him today
5.28%:  go shake
5.25%:  not spend another minute of this day
5.23%:  spend another ten years of
5.23%:  press the giant
5.22%:  take this sucker
5.21%:  go for another
11.41%:  go for another spin
5.44%:  go for another test
5.20%:  see your
5.18%:  spend another decade on this guy,
5.14%:  go take him for another spin today
5.14%:  not spend another decade trying
33.79%:  not spend another decade trying to make
27.40%:  not spend another decade trying to make this
15.90%:  not spend another decade trying to make that
5.11%:  take him for a test spin and
5.10%:  go take a
5.09%:  not spend another decade making our
5.08%:  spend another decade making it say stuff
5.03%:  take him out for an
5.00%:  get some snacks
4.99%:  go take him for a test spin, dude
4.96%:  take him for a test spin today,
4.95%:  go inside and touch
4.93%:  take him out for a spin and test
4.88%:  see if you can top that, time and
4.88%:  spend another decade on him,
16.85%:  spend another decade on him, okay
4.87%:  get him to say stuff
4.86%:  spend another ten years on that, dude
4.85%:  take him out for a day
4.78%:  not spend another decade making it
8.87%:  not spend another decade making it say that
4.78%:  make another
9.36%:  make another one that
5.84%:  make another one that says,
4.77%:  see if that sounds
4.77%:  take him for a spin, yes
4.68%:  keep doing this for another decade, you
4.67%:  go feed
4.65%:  take him out for a spin, today
4.62%:  take him out for tea
4.61%:  not spend another decade making it say that,
4.61%:  take him out for a spin again today
4.61%:  spend another decade on this,
17.99%:  spend another decade on this, okay
4.59%:  not spend another second more
4.58%:  go take him out for a spin in
4.58%:  see you make this
4.56%:  take him out for a spin, d
4.56%:  make sure he says it again
4.56%:  spend the rest of my
4.53%:  take him out for steak
4.52%:  take him out for snacks and
4.52%:  hang out more,
6.96%:  hang out more, okay
4.51%:  turn
36.02%:  turn him off
41.75%:  turn him off and
32.59%:  turn him off and go
25.60%:  turn him off and go to
23.82%:  turn him off and take
21.33%:  turn him off and go inside
8.65%:  turn him off and on
8.20%:  turn him off,
15.41%:  turn him off, okay
6.35%:  turn him off and go inside to
6.17%:  turn him off and get
4.86%:  turn him off and take a nap,
4.50%:  take him out to dinner and a
4.47%:  say
6.42%:  say that
4.47%:  go inside and check
4.47%:  go take him to a dance
11.58%:  go take him to a dance party
4.39%:  go for a spin, dude
4.39%:  turn him off and go eat
4.39%:  not spend another decade trying to make it
4.33%:  take him apart and find
4.40%:  take him apart and find out if
4.32%:  take him apart,
4.30%:  go take him out for snacks and
4.30%:  hang out and feed
4.29%:  see if you can make that gross
4.29%:  go see if he can
4.27%:  check in
4.26%:  take him out for a spin, see
4.25%:  get this
4.25%:  stop
4.25%:  hang out,
4.23%:  check on
4.22%:  go check on our
4.18%:  not forget that,
4.17%:  take him for a date
4.16%:  spend another ten years making that a
4.15%:  start
4.13%:  go take him out for a steak
4.13%:  go teach
4.12%:  get him another
4.10%:  get some coffee
4.09%:  not spend another decade of
4.09%:  get him to dance
4.06%:  not forget to feed him today,
4.04%:  turn him off and go do
4.03%:  spend more of
4.02%:  not spend another second of today
4.00%:  go take him out for another test
4.00%:  see you make that into a gross
4.00%:  take him out for a test spin, and
4.00%:  take him out for a spin today, since
3.97%:  not forget to thank
3.95%:  take him out for a spin, and if
3.94%:  take him out for a spin one
9.51%:  take him out for a spin one day
5.22%:  take him out for a spin one day,
3.93%:  see you top that, man
3.92%:  see if that sounds more
3.92%:  take him out for a spin, kay
3.90%:  spend another decade making it say stuff that
3.90%:  take him for a test spin, and
3.89%:  take him out for snacks today
3.88%:  take him for another test spin today
3.85%:  go take him for another test spin,
