because stories like this make me worry I'm living my life wrong
      0 100.00%: 
      1 31.88%: because
      2 1.22%: I
      3 0.29%: I'
      4 0.10%: this
      5 0.05%: my
      6 0.03%:  
      7 0.01%: '
      8 0.01%: like
      9 0.01%: because 
     10 0.01%: w
     11 0.00%: life
     12 0.00%:  because
     13 0.00%: l
     14 0.00%: because'
     15 0.00%: me
     16 0.00%: m
     17 0.00%: life'
     18 0.00%: st
     19 0.00%: stories
     20 0.00%: this'
     21 0.00%: living
     22 0.00%: 'because
     23 0.00%: 'm
     24 0.00%: I'm 
     25 0.00%: I 
     26 0.00%: 'I
     27 0.00%: like 
     28 0.00%: my 
     29 0.00%: this 
     30 0.00%: 'my
     31 0.00%: 'this
     32 0.00%: worry
     33 0.00%: 'st
     34 0.00%: me'
     35 0.00%: 'like
     36 0.00%: my'
     37 0.00%: m'
     38 0.00%: 'make
     39 0.00%: like'
     40 0.00%:  this
     41 0.00%: 'me
     42 0.00%:  I
     43 0.00%: 'w
     44 0.00%: me 
     45 0.00%:  '
     46 0.00%: life 
     47 0.00%:  my
     48 0.00%:  life
     49 0.00%: 'l
     50 0.00%:  like
     51 0.00%: 'life
     52 0.00%: m 
     53 0.00%:   
     54 0.00%: ' 
     55 0.00%: 'wr
     56 0.00%:  st
     57 0.00%:  w
     58 0.00%:  wr
