still believe me when I'm talking to you, yes?
         0 0* 56.30022%  know                                                                                                                         -------aeeeghiilllmmnosstttuyyI',?
         1 0* 53.00604%  want                                                                                                                         -------eeeghiiklllmmnoossttuyyI',?
         2 0* 46.56049%  want to                                                                                                                      -------eeeghiiklllmmnosstuyyI',?
         3 0* 40.45368%  win                                                                                                                          -------aeeeghiklllmmnoosstttuyyI',?
         4 0* 45.29354%  win some                                                                                                                     -------aeeghiklllmnostttuyyI',?
         5 0* 67.46991%  win some,                                                                                                                    -------aeeghiklllmnostttuyyI'?
         6 0* 294.37430%  win some, you                                                                                                                -------aeeghiklllmnstttyI'?
         7 0* 27.27894%  want some                                                                                                                    -------eeghiiklllmnosttuyyI',?
         8 0* 20.05130%  guys                                                                                                                         -------aeeehiiklllmmnnoostttwyI',?
         9 0* 30.75025%  guys want                                                                                                                    -------eeehiiklllmmnoosttyI',?
        10 0* 27.75404%  guys want to                                                                                                                 -------eeehiiklllmmnostyI',?
        11 0* 16.77193%  still                                                                                                                        -------aeeeghiklmmnnoosttuwyyI',?
        12 0* 25.97434%  still believe                                                                                                                aeeeghiklmmnnoosttuwyyI',?
        13 0* 52.32572%  still believe me                                                                                                             aeeghiklmnnoosttuwyyI',?
        14 0* 65.71195%  still believe me?                                                                                                            aeeghiklmnnoosttuwyyI',
        15 0* 23.13030%  still believe me,                                                                                                            aeeghiklmnnoosttuwyyI'?
        16 0* 16.52953%  know the                                                                                                                     -------aeegiilllmmnossttuyyI',?
        17 0* 16.45879%  win this                                                                                                                     -------aeeegklllmmnoosttuyyI',?
        18 0* 20.68676%  win this one                                                                                                                 -------aeegklllmmosttuyyI',?
        19 0* 43.14267%  win this one,                                                                                                                -------aeegklllmmosttuyyI'?
        20 0* 16.19306%  lost                                                                                                                         -------aeeeghiikllmmnnosttuwyyI',?
        21 0* 15.83245%  win this game                                                                                                                -------eeklllmnoosttuyyI',?
        22 0* 15.42365%  lose                                                                                                                         -------aeeghiikllmmnnostttuwyyI',?
        23 0* 14.78224% '                                                                                                                             -------aeeeghiiklllmmnnoosstttuwyyI,?
        24 0* 14.07396%  like                                                                                                                         -------aeeghillmmnnoosstttuwyyI',?
        25 0* 13.05961%  gonna                                                                                                                        -------eeehiiklllmmosstttuwyyI',?
        26 0* 12.60082%  lost the                                                                                                                     -------aeegiikllmmnnostuwyyI',?
        27 0* 13.85597%  lost the game                                                                                                                -------eiikllmnnostuwyyI',?
        28 0* 10.73822%  see                                                                                                                          -------aeghiiklllmmnnoostttuwyyI',?
        29 0* 10.64991%  win the                                                                                                                      -------aeegiklllmmnoossttuyyI',?
        30 0* 22.19973%  win the game                                                                                                                 -------eiklllmnoossttuyyI',?
        31 0* 10.34399%  win this game,                                                                                                               -------eeklllmnoosttuyyI'?
        32 0* 10.49768%  win this game, you                                                                                                           -------eeklllmnosttyI'?
        33 0* 9.94024%  win?                                                                                                                         -------aeeeghiklllmmnoosstttuyyI',
        34 0* 9.33103%  win the game?                                                                                                                -------eiklllmnoossttuyyI',
        35 0* 9.04753%  want me                                                                                                                      -------eeghiiklllmnoossttuyyI',?
        36 0* 11.65363%  want me to                                                                                                                   -------eeghiiklllmnosstuyyI',?
        37 0* 8.52340%  win this one, my                                                                                                             -------aeegklllmosttuyI'?
        38 0* 8.52232%  lost the game?                                                                                                               -------eiikllmnnostuwyyI',
        39 0* 8.24927%  talking                                                                                                                      -------eeehillmmnoossttuwyyI',?
        40 0* 8.16987%  see?                                                                                                                         -------aeghiiklllmmnnoostttuwyyI',
        41 0* 8.11528%  lost the game,                                                                                                               -------eiikllmnnostuwyyI'?
        42 0* 7.81848%  must                                                                                                                         -------aeeeghiiklllmnnoosttwyyI',?
        43 0* 7.42179%  still want                                                                                                                   -------eeeghiklmmnoostuyyI',?
        44 0* 6.85890%  know,                                                                                                                        -------aeeeghiilllmmnosstttuyyI'?
        45 0* 6.81123%  win the game,                                                                                                                -------eiklllmnoossttuyyI'?
        46 0* 6.34544%  believe                                                                                                                      aeeeghiiklllmmnnoosstttuwyyI',?
        47 0* 10.41225%  believe me                                                                                                                   aeeghiiklllmnnoosstttuwyyI',?
        48 0* 10.83086%  believe me?                                                                                                                  aeeghiiklllmnnoosstttuwyyI',
        49 0* 6.13933%  want to go                                                                                                                   -------eeehiiklllmmnsstuyyI',?
        50 0* 6.02164%  win this one?                                                                                                                -------aeegklllmmosttuyyI',
        51 0* 5.74884%  won                                                                                                                          -------aeeeghiiklllmmnosstttuyyI',?
        52 0* 6.68602%  won'                                                                                                                         -------aeeeghiiklllmmnosstttuyyI,?
        53 0* 11.28300%  won't                                                                                                                        -------aeeeghiiklllmmnossttuyyI,?
        54 0* 15.28806%  won't believe                                                                                                                aeeeghiiklllmmnossttuyyI,?
        55 0* 24.83625%  won't believe this                                                                                                           aeeegiklllmmnostuyyI,?
        56 0* 10.37095%  won't believe this,                                                                                                          aeeegiklllmmnostuyyI?
        57 0* 9.53019%  won't believe the                                                                                                            aeegiiklllmmnosstuyyI,?
        58 0* 5.71118%  still like                                                                                                                   -------aeeghmmnnoosttuwyyI',?
        59 0* 5.49404%  think                                                                                                                        -------aeeegilllmmnoossttuwyyI',?
        60 0* 13.20559%  think you                                                                                                                    -------aeeegilllmmnossttwyI',?
        61 0* 5.43700%  win this game?                                                                                                               -------eeklllmnoosttuyyI',
        62 0* 5.30008%  still believe you                                                                                                            aeeeghiklmmnnosttwyI',?
        63 0* 5.17741%  think you'                                                                                                                   -------aeeegilllmmnossttwyI,?
        64 0* 5.14042% 'll                                                                                                                           -------aeeeghiiklmmnnoosstttuwyyI,?
        65 0* 5.13247%  guys know                                                                                                                    -------aeeehiilllmmnostttyI',?
        66 0* 5.03995%  know as                                                                                                                      -------eeeghiilllmmnostttuyyI',?
        67 0* 4.96584%  win this one, I                                                                                                              -------aeegklllmmosttuyy'?
        68 0* 4.86324%  lose?                                                                                                                        -------aeeghiikllmmnnostttuwyyI',
        69 0* 4.85413%  win,                                                                                                                         -------aeeeghiklllmmnoosstttuyyI'?
        70 0* 4.75914%  win some you                                                                                                                 -------aeeghiklllmnstttyI',?
        71 0* 4.73367%  win the game, you                                                                                                            -------eiklllmnossttyI'?
        72 0* 4.41428%  know you                                                                                                                     -------aeeeghiilllmmnsstttyI',?
        73 0* 4.11450%  lost?                                                                                                                        -------aeeeghiikllmmnnosttuwyyI',
        74 0* 4.11401%  know all                                                                                                                     -------eeeghiilmmnosstttuyyI',?
        75 0* 3.95169%  got                                                                                                                          -------aeeehiiklllmmnnossttuwyyI',?
        76 0* 3.94866%  see what                                                                                                                     -------egiiklllmmnnoosttuyyI',?
        77 0* 4.92219%  see what you                                                                                                                 -------egiiklllmmnnosttyI',?
        78 0* 4.06155%  see what I                                                                                                                   -------egiiklllmmnnoosttuyy',?
        79 0* 3.92364%  still want to                                                                                                                -------eeeghiklmmnosuyyI',?
        80 0* 3.82807%  still believe you know                                                                                                       aeeeghilmmnsttyI',?
        81 0* 3.81501%  guys like                                                                                                                    -------aeehillmmnnoostttwyI',?
        82 0* 3.79080%  believe me now                                                                                                               aeeghiiklllmnosstttuyyI',?
        83 0* 5.34734%  believe me now?                                                                                                              aeeghiiklllmnosstttuyyI',
        84 0* 3.75675%  still gonna                                                                                                                  -------eeehiklmmosttuwyyI',?
        85 0* 3.69468%  believe me,                                                                                                                  aeeghiiklllmnnoosstttuwyyI'?
        86 0* 3.58441%  lose,                                                                                                                        -------aeeghiikllmmnnostttuwyyI'?
        87 0* 3.52354%  must know                                                                                                                    -------aeeeghiilllmnosttyyI',?
        88 0* 3.51670%  still believe me, yeah                                                                                                       egiklmnnoosttuwyI'?
        89 0* 7.06471%  still believe me, yeah?                                                                                                      egiklmnnoosttuwyI'
        90 0* 3.49615%  guys want me                                                                                                                 -------eehiiklllmnoosttyI',?
        91 0* 6.22513%  guys want me to                                                                                                              -------eehiiklllmnostyI',?
        92 0* 3.31977%  won't talk                                                                                                                   -------eeeghiillmmnosstuyyI,?
        93 0* 3.25889%  still think                                                                                                                  -------aeeeglmmnoostuwyyI',?
        94 0* 10.00234%  still think you                                                                                                              -------aeeeglmmnostwyI',?
        95 0* 10.26212%  still think you'                                                                                                             -------aeeeglmmnostwyI,?
        96 0* 3.18047%  know, you                                                                                                                    -------aeeeghiilllmmnsstttyI'?
        97 0* 3.14032%  want some milk                                                                                                               -------eeghillnosttuyyI',?
        98 0* 3.32885%  want some milk?                                                                                                              -------eeghillnosttuyyI',
        99 0* 3.13549%  know the game                                                                                                                -------eiilllmnossttuyyI',?
       100 0* 3.12529%  gonna tell                                                                                                                   -------eehiiklmmossttuwyyI',?
       101 0* 6.71366%  gonna tell me                                                                                                                -------ehiiklmossttuwyyI',?
       102 0* 5.12309%  gonna tell me you                                                                                                            -------ehiiklmssttwyI',?
       103 0* 3.07358%  still believe you'                                                                                                           aeeeghiklmmnnosttwyI,?
       104 0* 2.98295%  still believe I                                                                                                              aeeeghiklmmnnoosttuwyy',?
       105 0* 4.17783%  still believe I know                                                                                                         aeeeghilmmnosttuyy',?
       106 0* 2.96359%  know?                                                                                                                        -------aeeeghiilllmmnosstttuyyI',
       107 0* 2.95849%  know all the                                                                                                                 -------eegiilmmnossttuyyI',?
       108 0* 2.95804%  still believe my                                                                                                             aeeeghiklmnnoosttuwyI',?
       109 0* 2.95470%  see how                                                                                                                      -------aegiiklllmmnnostttuyyI',?
       110 0* 2.84343%  won't believe this guy                                                                                                       aeeeiklllmmnostyI,?
       111 0* 2.80885%  still believe in                                                                                                             aeeeghklmmnoosttuwyyI',?
       112 0* 2.73941%  see my                                                                                                                       -------aeghiiklllmnnoostttuwyI',?
       113 0* 2.72252%  won the                                                                                                                      -------aeegiiklllmmnossttuyyI',?
       114 0* 3.84034%  won the game                                                                                                                 -------eiiklllmnossttuyyI',?
       115 0* 2.71980%  still know                                                                                                                   -------aeeeghilmmnosttuyyI',?
       116 0* 2.69859%  still believe in me                                                                                                          aeeghklmnoosttuwyyI',?
       117 0* 3.03772%  still believe in me?                                                                                                         aeeghklmnoosttuwyyI',
       118 0* 2.67079%  see,                                                                                                                         -------aeghiiklllmmnnoostttuwyyI'?
       119 0* 2.64802%  must believe                                                                                                                 aeeeghiiklllmnnoosttwyyI',?
       120 0* 3.83846%  must believe me                                                                                                              aeeghiiklllnnoosttwyyI',?
       121 0* 2.60993%  like the                                                                                                                     -------aegillmmnnoossttuwyyI',?
       122 0* 2.55325%  know that                                                                                                                    -------eeegiilllmmnosstuyyI',?
       123 0* 2.53208%  know me                                                                                                                      -------aeeghiilllmnosstttuyyI',?
       124 0* 2.52113%  want to see                                                                                                                  -------eghiiklllmmnostuyyI',?
       125 0* 2.51673%  tell                                                                                                                         -------aeeghiiklmmnnoossttuwyyI',?
       126 0* 5.85556%  tell me                                                                                                                      -------aeghiiklmnnoossttuwyyI',?
       127 0* 2.51089%  gonna let                                                                                                                    -------eehiikllmmossttuwyyI',?
       128 0* 4.76289%  gonna let him                                                                                                                -------eeikllmossttuwyyI',?
