got like a thousand REALLY GOOD REASONS for doing that
3.81%:  got a REALLY
8.96%:  got a REALLY GOOD
62.69%:  got a REALLY GOOD REASON
336.88%:  got a REALLY GOOD REASON for doing
50.30%:  got a REALLY GOOD REASON for doing it
34.28%:  got a REALLY GOOD REASON for it
8.53%:  got a REALLY GOOD REASON to
7.25%:  got a REALLY GOOD REASON for taking
5.09%:  got a REALLY GOOD REASON to do
4.65%:  got a REALLY GOOD REASON for not
4.62%:  got a REALLY GOOD REASON for naked
4.10%:  got a REALLY GOOD REASON for the
2.93%:  got the
2.89%:  got a REALLY good
2.95%:  got a REALLY good REASON
2.65%:  got a REALLY GOOD REASON for it and
2.09%:  got a REALLY GOOD REASON for doing the
1.80%:  got other
2.07%:  got other REASONS
1.48%:  got a REASON
1.34%:  got a REALLY GOOD REASON and
1.26%:  got a REALLY GOOD REASON not
0.96%:  got a REALLY great
0.90%:  got a REALLY GOOD REASON for liking
0.90%:  got a REASON for doing
0.87%:  got REALLY
0.89%:  got REALLY GOOD
1.38%:  got REALLY GOOD REASONS
11.28%:  got REALLY GOOD REASONS for doing
1.49%:  got REALLY GOOD REASONS for doing it
0.78%:  got it
0.73%:  got REASONS
0.72%:  got a great
0.71%:  got a REALLY GOOD REASON for talking
0.67%:  got a REALLY GOOD looking
0.64%:  got another
0.63%:  got like
0.59%:  got REASONS for doing
0.58%:  got REASON
0.53%:  got a REALLY GOOD REASON for liking the
0.52%:  got REALLY GOOD REASON
1.69%:  got REALLY GOOD REASON for doing
0.51%:  got REALLY GOOD REASONS for it
0.50%:  got a REALLY GOOD REASON to go
0.50%:  got REALLY GOOD REASON to
0.49%:  gotten
1.18%:  gotten REALLY
5.39%:  gotten REALLY GOOD
0.46%:  got a REASON for it
0.45%:  got REASON for
0.44%:  got REALLY GOOD REASONS to
0.43%:  got a lot
0.57%:  got a lot of REALLY
1.02%:  got a lot of REALLY GOOD
3.16%:  got a lot of REALLY GOOD REASONS
0.83%:  got a lot of REALLY GOOD naked
0.42%:  got REALLY GOOD REASONS for taking
0.38%:  got a thing
0.38%:  got naked
0.36%:  got to
0.35%:  got great
0.34%:  got no
0.33%:  got a lot of REASONS
0.31%:  got a lot of naked
0.28%:  got REALLY good
0.28%:  got a REALLY GOOD REASON for doing tha
0.27%:  got a REALLY GOOD REASON for holding
0.27%:  got a REALLY hot
0.26%:  got a REALLY great REASON
0.25%:  got REALLY GOOD REASONS for naked
0.24%:  got REALLY GOOD REASONS for not
0.23%:  got a REALLY GOOD REASON right
0.23%:  got NO
0.22%:  got to find
0.22%:  got REALLY GOOD REASON to do
0.20%:  got a REALLY GOOD REASON and if
0.20%:  REALLY
0.46%:  REALLY got to find
0.20%:  REALLY got it
0.20%:  got a REALLY REASON
0.19%:  got REASONS for it
0.18%:  got a REALLY GOOD REASON for hiding
0.18%:  got a REALLY GOOD naked
0.17%:  got a REALLY GOOD REASON for eating
0.17%:  got REALLY GOOD naked
0.17%:  got REALLY great
0.17%:  got another REALLY
2.22%:  got another REALLY GOOD
25.51%:  got another REALLY GOOD REASON
0.16%:  gotta
0.16%:  got an
0.15%:  got REALLY GOOD REASON for doing it
0.15%:  REALLY got the
0.15%:  got a REASON for doing it
0.15%:  got REALLY GOOD REASONS to do
0.14%:  got a REASON to
0.13%:  got a great REASON
0.13%:  got a lot of REALLY GOOD REASON
0.13%:  got a REALLY GOOD REASON for doin
0.13%:  got REASONS for taking
0.13%:  got ALL
0.13%:  got another REASON
0.13%:  got SO
0.13%:  got a REASON for taking
0.13%:  got REALLY GOOD REASONS for the
0.12%:  got a REASON for the
0.12%:  got good
0.12%:  got REASON to
0.12%:  got a REALLY GOOD thing
0.11%:  got REALLY GOOD REASONS for doing the
0.11%:  got a REAL
0.34%:  got a REAL GOOD
5.48%:  got a REAL GOOD REASON
19.43%:  got a REAL GOOD REASON for doing
3.53%:  got a REAL GOOD REASON for doing it
3.19%:  got a REAL GOOD REASON for it
0.73%:  got a REAL GOOD REASON to
0.48%:  got a REAL GOOD REASON for taking
0.44%:  got a REAL GOOD REASON to do
0.32%:  got a REAL REASON
0.49%:  got a REAL REASON for doing
0.29%:  got a REAL GOOD REASON for the
0.29%:  got a REAL GOOD REASON for not
0.19%:  got a REAL GOOD REASON for naked
0.14%:  got a REAL REASON for it
0.14%:  got a REAL GOOD REASON for doing the
0.13%:  got a REAL GOOD REASON for it and
0.10%:  got a REALLY GOOD REASON if
0.10%:  got a REALLY GOOD REASONS
0.59%:  got a REALLY GOOD REASONS for doing
0.10%:  got ALL the
0.10%:  got good REASONS
0.09%:  got REAL
0.15%:  got REAL GOOD
0.87%:  got REAL GOOD REASONS
6.50%:  got REAL GOOD REASONS for doing
0.83%:  got REAL GOOD REASONS for doing it
0.30%:  got REAL GOOD REASONS for it
0.27%:  got REAL GOOD REASONS to
0.26%:  got REAL GOOD REASONS for taking
0.18%:  got REAL GOOD REASON
0.56%:  got REAL GOOD REASON for doing
0.15%:  got REAL GOOD REASON to
0.11%:  got REAL GOOD REASONS for not
0.11%:  got REAL GOOD REASONS for naked
0.10%:  got REAL GOOD REASONS to do
0.09%:  tried
0.09%:  got a REAL good REASON
0.09%:  got a REALLY GOOD REASON for doing a
0.09%:  got REASON for doing
0.08%:  got REASONS for doing it
0.08%:  got REALLY GOOD REASON for it
0.08%:  got a REALLY GOOD ASS
0.08%:  got a REALLY long
0.08%:  got a REALLY GOOD REASON for doing th
0.08%:  got a REALLY RAD
0.08%:  got a REALLY hot friend
0.08%:  gotta go
0.08%:  got REAL GOOD REASONS for the
0.08%:  got to go
0.07%:  got a REALLY GOOD REASONS for doing it
0.07%:  got on
0.07%:  got a REALLY GOOD REASON for dating
0.07%:  talked
0.07%:  got GOOD
1.27%:  got GOOD REASONS
6.13%:  got GOOD REASONS for doing
1.01%:  got GOOD REASONS for doing it
0.45%:  got GOOD REASONS to
0.43%:  got GOOD REASONS for it
0.39%:  got GOOD REASONS for taking
0.12%:  got GOOD REASONS for not
0.12%:  got GOOD REASONS to do
0.10%:  got GOOD REASONS for the
0.10%:  got GOOD REASONS for naked
0.09%:  got GOOD REASONS for doing the
0.07%:  got REAL GOOD REASON to do
0.07%:  got to go find
0.07%:  got it ALL
0.07%:  got a REALLY GOOD REASON for hiking
0.07%:  got REAL GOOD REASONS for doing the
0.07%:  got a REAL GOOD REASON for liking
0.07%:  got a REAL REASON for doing it
0.07%:  got a friend
0.06%:  got a REALLY GOOD REASON for hating
0.06%:  REALLY gotta
0.06%:  got REASON for it
0.06%:  got a REAL GOOD REASON not
0.06%:  got REALLY GOOD REASON for taking
0.06%:  got REAL GOOD REASON for doing it
0.06%:  ALSO
0.30%:  ALSO got the
0.06%:  got REASONS for the
0.06%:  got a REALLY GOOD REASON for a
0.06%:  got a REALLY GOOD REASON to hide
0.06%:  got REASONS to
0.06%:  got a REALLY GOOD REASON in
0.06%:  got a REASON for ALL
0.06%:  got GOOD REASONS for doing ALL
0.06%:  got GOOD REASONS for doing ALL the
0.06%:  tried to
0.06%:  got a REAL GOOD REASON and
0.06%:  got good REASON
0.06%:  got a REALLY GOOD talking
0.06%:  REALLY got a
0.28%:  REALLY got a thing
0.06%:  gotta find
0.06%:  talked to
0.06%:  got a thousand
0.12%:  got a thousand REASONS
0.07%:  got a thousand REASONS for
0.06%:  got REALLY GOOD REASON not
0.06%:  got REAL good
0.06%:  got a REALLY GOOD REASON it
0.05%:  got a REAL GOOD REASON for liking the
0.05%:  gotten good
0.05%:  got REALLY GOOD REASONS not
0.05%:  got a great look
0.05%:  gotten SO
0.23%:  gotten SO GOOD
0.06%:  gotten SO good
0.05%:  left
0.05%:  got a REALLY GOOD REASON for it in
0.05%:  got a REAL REASON to
0.05%:  got another REALLY GOOD REASON if
0.05%:  got a REALLY GOOD look
0.05%:  got a REALLY GOOD REASON alright
0.05%:  got a REALLY GOOD idea
0.05%:  got a REAL GOOD REASON for talking
0.05%:  gotta go find
0.05%:  REALLY got no
0.05%:  ALREADY
0.05%:  ALREADY talked
0.05%:  got too
0.05%:  got a thousand REASONS to
0.05%:  got like a
0.11%:  got like a thousand
0.06%:  got like a REALLY
0.05%:  got like a REALLY GOOD
0.18%:  got like a REALLY GOOD REASON
1.15%:  got like a REALLY GOOD REASON for doing
0.10%:  got like a REALLY GOOD REASON for it
0.05%:  REALLY gotten
0.04%:  got REALLY GOOD REASON for naked
0.04%:  got REALLY GOOD REASONS to go
0.04%:  got a good
0.04%:  got a REALLY GOOD REASON to go naked 
0.04%:  ALREADY got
0.04%:  got GOOD REASONS to go
