Thanksgiving is similar, but distinct, from regular Thanksgiving.
Step          0 (remaining mass 100.000%): Next token is ' Thanksgiving', score is 940.96094% (94.008%, 3.556%, 12)
Step          0 (remaining mass 2.322%): Next token is ' is', score is 2.67011% (0.094%, 4.187%, 14)
Step          7 (remaining mass 0.888%): Next token is ' similar', score is 0.07941% (0.035%, 13.045%, 21)
Step        120 (remaining mass 0.211%): Next token is ',', score is 0.00086% (0.315%, 27.713%, 22)
Non-answer:  Thanksgiving is similar from regular Thanksgiving, but distinct (4333214.40%) != Thanksgiving is similar, but distinct, from regular Thanksgiving.
Non-answer:  Thanksgiving is, similar, but distinct Thanksgiving from regular (320899.05%) != Thanksgiving is similar, but distinct, from regular Thanksgiving.
' Thanksgiving is, similar, but distinct from regular Thanksgiving' (3972986369.31%)
Search successful after 781 steps. Deepest node accessed: 0
Search time: 30s.  (Non-ML: 2s)  Per-step times: Score: 8ms  Advance: 0ms  Predict: 29ms  Truncate: 0ms.

         0 0* 940.96094% (5.537% -0.000% 94.463%)   Thanksgiving                                                                                                                 aaabcdefggghiiiiiiikllmmnnnorrrrsssstttuuvT,,.
         1 0* 9.49632% (98.952% 0.038% 1.010%)   Thanksgiving Thanksgiving                                                                                                    aabcdefgiiiiillmmnorrrrssstttuu,,.
         2 0* 3.48699% (98.953% 0.038% 1.009%)   Thanksgiving for                                                                                                             aaabcdeggghiiiiiiikllmmnnnrrrsssstttuuvT,,.
         3 0* 14.63288% (98.997% 0.038% 0.966%)   Thanksgiving for Thanksgiving                                                                                                aabcdegiiiiillmmnrrrssstttuu,,.
         4 0* 3.34792% (98.997% 0.038% 0.965%)   Thanksgiving brings                                                                                                          aaacdefgghiiiiiikllmmnnorrrssstttuuvT,,.
         5 0* 6.15330% (99.000% 0.038% 0.962%)   Thanksgiving brings Thanksgiving                                                                                             aacdefiiiillmmorrrsstttuu,,.
         6 0* 3.14433% (99.000% 0.038% 0.962%)   Thanksgiving brilliance                                                                                                      aadfggghiiiiikmmnnorrrsssstttuuvT,,.
         7 0* 2.67011% (99.002% 0.038% 0.960%)   Thanksgiving is                                                                                                              aaabcdefggghiiiiiikllmmnnnorrrrssstttuuvT,,.
         8 0* 2.18171% (99.077% 0.038% 0.885%)   Thanksgiving.                                                                                                                aaabcdefggghiiiiiiikllmmnnnorrrrsssstttuuvT,,
         9 0* 1.85240% (99.165% 0.038% 0.797%)   Thanksgiving consists                                                                                                        aaabdefggghiiiiiikllmmnnrrrrsttuuvT,,.
        10 0* 1.11796% (99.176% 0.038% 0.786%)   Thanksgiving is Thanksgiving                                                                                                 aabcdefgiiiillmmnorrrrsstttuu,,.
        11 0* 1.81681% (99.176% 0.038% 0.786%)   Thanksgiving is Thanksgiving is                                                                                              aabcdefgiiillmmnorrrrstttuu,,.
        12 0* 1.01944% (99.176% 0.038% 0.786%)   Thanksgiving for the                                                                                                         aaabcdgggiiiiiiikllmmnnnrrrssssttuuvT,,.
        13 0* 0.92983% (99.219% 0.038% 0.744%)   Thanksgiving,                                                                                                                aaabcdefggghiiiiiiikllmmnnnorrrrsssstttuuvT,.
        14 0* 4.09584% (99.242% 0.038% 0.720%)   Thanksgiving, Thanksgiving                                                                                                   aabcdefgiiiiillmmnorrrrssstttuu,.
        15 0* 6.12845% (99.242% 0.038% 0.720%)   Thanksgiving, Thanksgiving,                                                                                                  aabcdefgiiiiillmmnorrrrssstttuu.
        16 0* 3.51194% (99.242% 0.038% 0.720%)   Thanksgiving, Thanksgiving last                                                                                              abcdefgiiiiilmmnorrrrssttuu,.
        17 0* 3.07198% (99.242% 0.038% 0.720%)   Thanksgiving, Thanksgiving, from                                                                                             aabcdegiiiiillmnrrrssstttuu.
        18 0* 66.15649% (99.242% 0.038% 0.720%)   Thanksgiving, Thanksgiving, from regular                                                                                     abcdiiiiilmnrssstttu.
        19 0* 1.00328% (99.242% 0.038% 0.720%)   Thanksgiving, Thanksgiving, last                                                                                             abcdefgiiiiilmmnorrrrssttuu.
        20 0* 0.86681% (99.242% 0.038% 0.720%)   Thanksgiving brilliant                                                                                                       aacdefggghiiiiikmmnnorrrssssttuuvT,,.
        21 0* 1.29683% (99.243% 0.038% 0.720%)   Thanksgiving brilliant Thanksgiving                                                                                          acdefgiiimmorrrsssttuu,,.
        22 0* 0.82642% (99.243% 0.038% 0.720%)   Thanksgiving. Thanksgiving                                                                                                   aabcdefgiiiiillmmnorrrrssstttuu,,
        23 0* 0.74042% (99.243% 0.038% 0.720%)   Thanksgiving brings Thanksgiving to                                                                                          aacdefiiiillmmrrrssttuu,,.
        24 0* 0.71061% (99.243% 0.038% 0.720%)   Thanksgiving giving                                                                                                          aaabcdefghiiiiikllmmnnorrrrsssstttuuT,,.
        25 0* 0.54592% (99.244% 0.038% 0.719%)   Thanksgiving gives                                                                                                           aaabcdfgghiiiiiikllmmnnnorrrrssstttuuT,,.
        26 0* 0.54029% (99.246% 0.038% 0.716%)   thanks                                                                                                                       ------------aabcdefgggiiiiiiillmmnnorrrrsssttuuvT,,.
        27 0* 2.77332% (99.385% 0.038% 0.577%)   thanks giving                                                                                                                ------------aabcdefgiiiiillmmnorrrrsssttuuT,,.
        28 0* 0.90783% (99.424% 0.038% 0.538%)   thanks giving com                                                                                                            ------------aabdefgiiiiillmnrrrrsssttuuT,,.
