FOR WHAT I CAN ONLY DESCRIBE AS "AWESOME REASONS"
236.19%:  REASONS
80.72%:  HORSE
179.69%:  HORSE REASONS
36.65%:  SOME
30.77%:  SOME HORSE
36.56%:  SOME HORSE REASONS
26.96%:  SCIENCE
25.09%:  SOME REASONS
24.25%:  HORSE RELATED
22.21%:  CH
500.28%:  CHESS REASONS
21.05%:  SOME HORSE RELATED
354.07%:  SOME HORSE RELATED REASONS
17.10%:  SCIENCE REASONS
16.13%:  FOR
37.83%:  FOR REASONS
19.83%:  FOR SOME
18.85%:  FOR HORSE
97.90%:  FOR HORSE REASONS
18.31%:  FOR SOME REASONS
15.90%:  CHESS RELATED
15.55%:  FOR SOME HORSE
20.85%:  FOR SOME HORSE REASONS
12.52%:  OTHER
10.79%:  ANOTHER
57.91%:  ANOTHER REASON
8.48%:  FOR SCIENCE
8.00%:  A
22.56%:  A HORSE
10.55%:  A SECRET
43.75%:  A SECRET REASON
13.12%:  A SECRET HORSE
10.53%:  A HORSE RACE
9.63%:  A REASON
8.00%:  REASON
7.02%:  FOR SCIENCE REASONS
6.56%:  CHE
6.38%:  FOR SOME REASON I
7.44%:  FOR SOME REASON I CAN
6.60%:  FOR SOME REASON I NEED
6.35%:  A HORSE FRIEND
6.16%:  A FRIEND
5.39%: REASONS
5.17%:  SECRET
15.72%:  SECRET HORSE
26.76%:  SECRET HORSE REASONS
5.12%:  SOME REASON I
5.71%:  SOME REASON I CAN
4.96%:  AN
4.64%:  FOR A
14.09%:  FOR A HORSE
9.73%:  FOR A SECRET
4.12%:  FOR MY
4.05%:  A HORSE NAM
3.93%:  FOR CH
104.39%:  FOR CHESS REASONS
3.86%:  FOR A REASON
3.79%:  SOME SECRET
35.94%:  SOME SECRET REASONS
3.78%:  A HORSE NAMED "
3.67%:  CERTAIN
3.66%:  SOME REASON I NEED
3.50%:  SOME HORSE RELATED REASONS I
3.96%:  SOME HORSE RELATED REASONS I CAN
3.25%:  ANOTHER LESSON
3.23%:  FOR SOME SECRET
32.58%:  FOR SOME SECRET REASONS
3.17%:  HORSE REASON
3.08%:  A RIDE
3.07%:  CHESS RELATED REASONS I
3.03%:  A HORSE AND
3.01%:  SOME REASON THERE
3.00%:  A HORSE RELATED
2.99%:  OTHER REASONS ALSO
2.95%:  MY
9.24%:  MY HORSE FRIEND
2.90%:  HORSE SCIENCE
2.89%:  OTHER REASONS NOW
2.76%:  SECRET REASON
2.74%:  CERTAIN HORSE
8.09%:  CERTAIN HORSE REASONS
2.71%:  HORSE FRIENDS
2.69%:  RID
2.69%:  FOR CHESS RELATED
2.65%:  REASONS REASONS
2.64%:  HORSE AND
2.63%:  MEDICAL
2.60%:  CHEES
2.54%:  OTHER REASON
2.47%:  FOR ANOTHER
2.42%:  SOME HORSE ACTION
2.41%:  A HORSE TO
2.40%:  FOR A RIDE
2.38%:  FOR A HORSE NAM
2.61%:  FOR A HORSE NAMED "
2.30%:  SOME RID
2.23%:  FOR AN
2.22%:  THE
2.20%:  SOME CH
2.11%:  MY HORSE FRIENDS
2.06%:  H
29.96%:  HORSES REASONS
11.91%:  HORSES AND
2.05%:  HORSE FRIEND
15.68%:  HORSE FRIEND REASONS
2.03%:  HORSE NEWS
2.03%:  HORSE RELATED REASONS I
1.94%:  A LESSON
1.94%:  HORSES ARE
1.86%:  SOME SCIENCE
1.83%:  AWESOME
3.00%:  AWESOME HORSE
10.11%:  AWESOME HORSE REASONS
1.81%:  FOR MY HORSE TO
1.74%:  SOME REASON I DON
1.69%:  HOR
1.98%:  HORSEY
31.48%:  HORSEY REASONS
1.69%:  CHESS TIME
1.66%:  CERTAIN REASON
1.65%:  SECRET CH
1.55%:  RANDOM
1.71%:  RANDOM HORSE
16.36%:  RANDOM HORSE REASONS
1.54%:  FOR A HORSE AND
1.52%:  HORSES ONLY
2.89%:  HORSES ONLY REASONS
1.51%:  FOR MY HORSE AND
1.47%:  SOME HORSE RID
1.47%:  OTHER REASONS MAY
1.45%:  A CERTAIN
5.44%:  A CERTAIN HORSE
3.25%:  A CERTAIN REASON
1.44%:  HORSE RELATED REASONS I CAN
1.43%:  "
3.93%:  "REASONS
1.43%:  FOR SOME REASON I NEED A
1.42%:  A LESSON IN
1.40%:  MY HORSE TO
1.39%:  FOR HORSE SCIENCE
1.36%:  OTHER SCIENCE
1.35%:  FOR MEDICAL
1.32%:  FOR REASON
1.32%:  ST
3.80%:  STABLE REASON
3.36%:  STABLE HORSE
22.82%:  STABLE HORSE REASONS
1.82%:  STABLE CH
1.32%:  FOR SOME CH
1.29%:  OTHER REASONS I
1.31%:  OTHER REASONS I CAN
1.26%:  RIDES
1.25%:  CHESS RELATED REASONS OF
1.25%:  ANOTHER RIDE
1.25%:  FOR ANOTHER LESSON
1.24%:  MORE
2.27%:  MORE HORSE
2.02%:  MORE CHESS REASONS
1.23%:  SOME SECRET REASONS OF
1.22%:  FOR SECRET
1.21%:  CHESS RID
1.20%:  SOME HORSE RELATED REASONS OF
1.19%:  FOR SOME RID
1.18%:  CHESS RELATED REASONS I CAN
1.17%:  SOME CHE
1.17%:  HORSE RELATED REASONS OF
1.42%:  HORSE RELATED REASONS OF SOME
1.17%:  CHESS TRAIN
1.15%:  STABLE SCIENCE
1.15%:  FOR CHE
1.15%:  CHESS RELATED REASONS MAY
1.11%:  MY FRIEND
1.10%:  CHESS MEET
1.10%:  FOR THE
1.08%:  A HORSE REASON
1.08%:  STABLE SCIENCE REASONS
1.07%:  SOME OTHER
5.55%:  SOME OTHER REASONS
1.06%:  MORE REASONS
1.05%:  AN AFTER
1.05%:  FOR HORSE SCIENCE REASONS
1.05%:  SOME REASON TODAY
1.04%: CH
24.01%: CHESS REASONS
1.04%:  A HORSE STORY
1.03%:  FRIENDS
1.03%:  FOR MY SECRET
1.03%:  CHESS LE
1.02%:  ANOTHER RACE
1.02%:  FOR A SECRET REASONS
1.01%:  SOME CHEES
1.01%:  FRIEND
1.00%:  A RACE
1.00%:  FOR MY LESSON
0.99%:  REASONS RELATED
0.98%:  FOR A HORSE TO
0.98%:  SCHOOL
0.98%:  HORSE MAN
0.97%:  SOME REASON I FEEL
0.97%:  FOR CERTAIN
0.95%:  HORSE BOARD
