FACT // I WAS ALSO PROGRAMMED FOR JOKES
      0 100.00%: 
      1 39.78%:  FACTS
      2 39.58%:  FACT // I AM
      3 38.12%:  FACT // I W
      4 37.49%:  FACTS //
      5 36.22%:  FACT // I D
      6 35.47%:  FACT // I DO
      7 35.18%:  FACTS // I AM
      8 34.93%:  FACT A
      9 34.62%:  FACT // I AM A
     10 34.59%:  FACT // I LO
     11 34.58%:  FACTO
     12 34.41%:  FACT // I RE
     13 34.32%:  FACT // I AL
     14 34.29%:  FACT // I G
     15 34.27%:  FACT // I WAS MA
     16 34.18%:  FACT // I P
     17 34.16%:  FACT // I S
     18 34.12%:  FACT // I L
     19 34.12%:  FACT // I MA
     20 35.28%:  FACT // I MAKE
     21 34.11%:  FACT // I E
     22 34.07%:  FACT // I M
     23 34.06%:  FACT // I K
     24 34.02%:  FACT // I J
     25 33.89%:  FACT // I A
     26 33.85%:  FACT // I F
     27 33.80%:  FACT // I R
     28 33.73%:  FACT // I PRO
     29 33.71%:  FACT // I FE
     30 33.70%:  FACT // I SP
     31 33.70%:  FACT // I FOR
     32 33.70%:  FACT // I O
     33 33.70%:  FACT // I DE
     34 33.68%:  FACT // I WE
     35 33.67%:  FACT // I SE
     36 33.66%:  FACT // I GO
     37 33.62%:  FACT // I ME
     38 33.61%:  FACT // I REG
     39 33.61%:  FACT // I LE
     40 33.61%:  FACT // I PO
     41 33.60%:  FACT // I SO
     42 33.60%:  FACT // I DR
     43 33.41%:  FACTS // I W
     44 33.40%:  FACT // I WAS MADE FROM
     45 33.32%:  FACT // I AM MA
     46 36.31%:  FACT // I AM MADE OF R
     47 33.97%:  FACT // I AM MADE OF P
     48 33.38%:  FACT // I AM MADE OF S
     49 33.33%:  FACT // I AM MADE OF 
     50 33.21%:  FACTOR
     51 33.18%:  FACT // IF
     52 33.16%:  FACT // I AM PRO
     53 33.12%:  FACT // I AM MADE OF AL
     54 32.97%:  FACT // I AM MADE OF A
     55 32.94%:  FACT // I AM MADE OF RO
     56 32.85%:  FACT // I WAS DES
     57 32.84%:  FACT // I AM MADE OF PL
     58 32.80%:  FACT // R
     59 32.79%:  FACT // I AM MADE OF L
     60 32.78%:  FACT // I AM MADE OF W
     61 32.76%:  FACT // I AM MADE OF RE
     62 32.75%:  FACT // I AM MADE OF O
     63 32.75%:  FACT // I AM MADE OF G
     64 32.75%:  FACT // I AM MADE OF E
     65 32.73%:  FACT // I AM MADE OF PRO
     66 32.70%:  FACT // I AM MADE OF LE
     67 32.68%:  FACT // I AM MADE OF SE
     68 32.65%:  FACT // I AM MADE OF J
     69 32.65%:  FACT // I AM MADE OF SO
     70 32.65%:  FACT // I AM MADE OF PO
     71 32.72%:  FACT // I AM MADE OF POW
     72 32.65%:  FACT // I AM MADE OF SK
     73 32.64%:  FACT // I AM MADE OF K
     74 32.62%:  FACT // I WAS MADE OF
     75 32.60%:  FACT // IR
     76 32.51%:  FACT // I AM AL
     77 32.51%:  FACT // I WAS PRO
     78 35.59%:  FACT // I WAS PROGRAMMED FOR
     79 35.45%:  FACT // I WAS PROGRAMMED AS
     80 35.43%:  FACT // I WAS PROGRAMMED SO
     81 35.26%:  FACT // I WAS PROGRAMMED 
     82 35.19%:  FACT // I WAS PROGRAMMED L
     83 35.16%:  FACT // I WAS PROGRAMMED A
     84 35.09%:  FACT // I WAS PROGRAMMED S
     85 35.08%:  FACT // I WAS PROGRAMMED R
     86 35.06%:  FACT // I WAS PROGRAMMED F
     87 32.51%:  FACT I
     88 32.50%:  FACT // D
     89 32.49%:  FACT // M
     90 32.45%:  FACT /
     91 32.43%:  FACT//
     92 32.35%:  FACT // I WAS PROGRAMME
     93 32.25%:  FACT // I FEEL S
     94 32.25%:  FACT FOR
     95 32.20%:  FACT // I AM P
     96 32.20%:  FACT // I MADE A
     97 32.14%:  FACT // A
     98 32.12%:  FACT // RO
     99 32.11%:  FACT // I WAS PROGRAMM
    100 32.11%:  FACT // I WAS MADE FOR
    101 32.08%:  FACT // S
    102 32.06%:  FACT // ME
    103 32.05%:  FACT OR
    104 32.04%:  FACT // E
    105 32.04%:  FACTS // I D
    106 32.00%:  FACT 
    107 31.98%:  FACT // MO
    108 31.98%:  FACT // I AM S
    109 31.98%:  FACT D
    110 31.97%:  FACT // L
    111 31.97%:  FACTORS
    112 31.96%:  FACT O
    113 31.94%:  FACT // 
    114 31.88%:  FACT // I AM F
    115 31.87%:  FACT // WE
    116 31.85%:  FACT // I AM 
    117 31.84%:  FACT // G
    118 31.81%:  FACT // W
    119 31.81%:  FACT // P
    120 31.80%:  FACT // PE
    121 31.79%:  FACT // F
    122 31.76%:  FACT // O
    123 31.76%:  FACT // SO
    124 32.67%:  FACT // SOME PE
    125 32.58%:  FACT // SOME R
    126 31.74%:  FACT // FOR
    127 31.74%:  FACT // J
    128 31.74%:  FACT // AS
    129 31.73%:  FACT // DO
    130 31.70%:  FACT // AL
    131 31.69%:  FACT // IS
    132 31.67%:  FACT // I AM R
    133 31.66%:  FACT // I WAS A
    134 31.66%:  FACT // MA
    135 31.66%:  FACTOID // R
    136 31.65%:  FACTOID // M
    137 31.64%:  FACT // I LEAR
    138 31.64%:  FACT // I AM E
    139 31.63%:  FACTS // I DO
    140 31.61%:  FACT // I WAS P
    141 31.58%:  FACT // SOME S
    142 31.58%:  FACT // I PREFER S
    143 31.56%:  FACTS // I AM A
    144 31.56%:  FACTOID // A
    145 31.53%:  FACT // I POWER
    146 31.52%:  FACT // I WAS AL
    147 31.93%:  FACT // I WAS ALSO DES
    148 31.50%:  FACT // I FEEL P
    149 31.47%:  FACT // I WAS MADE A
    150 31.47%:  FACT // I ALSO AM
    151 31.45%:  FACT // I WAS MO
    152 31.44%:  FACT // I AM MADE OF REAL R
    153 31.43%:  FACTOID // S
    154 31.43%:  FACT // I AM PO
    155 31.41%:  FACT // I WAS MADE AS
    156 31.41%:  FACT // I AM L
    157 31.40%:  FACT // I AM O
    158 31.40%:  FACT // I AM M
    159 31.37%:  FACT // I WAS MADE SO
    160 31.37%:  FACT // I WAS F
    161 31.36%:  FACT // I WAS S
    162 31.35%:  FACT // I WAS MADE P
    163 31.35%:  FACTS // I LO
    164 31.33%:  FACT // I AM MADE OF RAW
    165 31.33%:  FACT // I WAS MADE 
    166 31.32%:  FACTOID // L
    167 31.32%:  FACT // I WAS D
    168 31.31%:  FACT // I WAS G
    169 31.30%:  FACT // I WAS FOR
    170 31.30%:  FACTOID // RO
    171 31.29%:  FACT // I WAS RE
    172 31.27%:  FACT // I WAS DE
    173 31.27%:  FACT // I WAS MADE L
    174 31.27%:  FACT // I WAS MADE R
    175 31.26%:  FACT // I WAS E
    176 31.25%:  FACT // I WAS MADE S
    177 31.25%:  FACT // I WAS R
    178 31.24%:  FACT // I WAS MADE O
    179 31.24%:  FACT // I WAS MADE AF
    180 31.24%:  FACT // I WAS MADE SPE
    181 31.24%:  FACT // I AM POWERF
    182 31.23%:  FACT // I WAS MADE F
    183 31.23%:  FACT // I WAS MADE J
    184 31.23%:  FACTOID // ME
    185 31.22%:  FACT // I WAS OR
    186 31.22%:  FACT // I WAS J
    187 31.22%:  FACT // I AM MO
    188 31.22%:  FACT // I AM W
    189 31.22%:  FACT // I WAS GO
    190 31.22%:  FACTOID // MO
    191 31.22%:  FACT // I WAS M
    192 31.21%:  FACTOID // G
    193 31.21%:  FACT // I WAS MADE E
    194 31.21%:  FACT // I AM J
    195 31.20%:  FACTOID // O
    196 31.20%:  FACT // I WAS MADE MO
    197 31.20%:  FACTOID // F
    198 31.20%:  FACTOID // W
    199 31.19%:  FACTOID // E
    200 31.19%:  FACT // I AM DES
    201 31.19%:  FACT // I LOOK
    202 31.19%:  FACTOID // FOR
    203 31.18%:  FACT // I AM D
    204 31.18%:  FACT // I AM K
    205 31.18%:  FACTOID // 
    206 31.17%:  FACT // I AM GO
    207 31.17%:  FACT // I WAS K
    208 31.16%:  FACT // I AM RE
    209 31.15%:  FACT // I WAS LO
    210 31.15%:  FACT // I AM G
    211 31.15%:  FACT // I WAS O
    212 31.15%:  FACT // I AM LO
    213 31.15%:  FACT // I MAKE A
    214 31.14%:  FACT // I WAS AS
    215 31.14%:  FACT // I PREFER R
    216 31.14%:  FACTOID // WE
    217 31.14%:  FACT // I FEEL A
    218 31.14%:  FACT // I WAS L
    219 31.14%:  FACTOID // P
    220 31.13%:  FACT // I WAS ME
    221 31.13%:  FACT // I WAS SE
    222 31.12%:  FACT // ALSO I AM
    223 31.12%:  FACT // I AM SO
    224 31.12%:  FACTOID // J
    225 31.11%:  FACTOID // SO
    226 31.09%:  FACTOID // AS
    227 31.08%:  FACTOID // AL
    228 31.08%:  FACTS // I WAS MA
    229 31.07%:  FACT // I AM FOR
    230 31.07%:  FACT // I ALSO RE
    231 31.04%:  FACTOID // PE
    232 31.03%:  FACT // I AM SE
    233 31.03%:  FACTOID // GO
    234 31.03%:  FACTOID // MA
    235 31.03%:  FACTOID // LO
    236 31.03%:  FACT // I ALSO DO
    237 31.02%:  FACT // I AM WE
    238 31.11%:  FACT // I AM WEAR
    239 31.02%:  FACTOID // RE
