it looks like I'M never reading again
      0 100.00%: 
      1 224.43%:  I
      2 73.87%:  at
      3 53.25%:  it
      4 53.06%:  it's gonna
      5 51.60%:  looks
      6 69.41%:  looks like it
      7 46.22%:  looks like I need
      8 42.61%:  looks like I've earned
      9 30.96%:  I'
     10 30.39%:  it's a
     11 19.44%:  it's going
     12 18.62%:  it looks
     13 120.53%:  it looks like I've earned
     14 55.92%:  it looks like dinner
     15 31.46%:  it looks like I never
     16 19.61%:  it looks like I've earned a
     17 17.57%:  I never
     18 15.70%:  it looks like I've gained
     19 15.37%:  listen
     20 15.35%:  it looks like I never read
     21 25.47%:  it looks like I never read again
     22 14.20%:  looks like I've earned it
     23 14.01%:  it looks like I need
     24 25.24%:  it looks like I need a
     25 12.97%:  I still
     26 12.94%:  never
     27 11.24%:  in
     28 11.03%:  looks like I never
     29 10.38%:  looks like I've read
     30 10.31%:  looks like I never get
     31 9.44%:  looks like I've eaten
     32 9.43%:  looks like I get
     33 9.42%:  to
     34 8.84%:  it's never
     35 8.63%:  it looks like I'd
     36 8.59%:  it looks like reading
     37 8.34%:  as
     38 18.00%:  as long
     39 7.88%:  it'll
     40 7.80%:  looks like I invented
     41 7.77%:  looks like I've earned an
     42 7.69%:  looks like dinner
     43 7.34%:  looks like I've triggered
     44 7.33%:  let
     45 7.19%:  all
     46 7.02%:  it's kinda
     47 7.01%:  no
     48 6.92%:  good
     49 6.92%:  I love
     50 6.91%:  looks like I never read
     51 12.70%:  looks like I never read again
     52 6.84%:  I need
     53 6.83%:  looks like I need a
     54 6.70%:  not
     55 6.53%:  listening
     56 5.96%:  it's good
     57 7.77%:  it's good I
     58 5.90%:  on
     59 5.87%:  never again
     60 5.85%:  looks like I've earned a
     61 5.83%:  looks like I've tried
     62 5.77%:  it looks like I'M
     63 5.63%:  looks like I've arranged
     64 5.40%:  I need to go
     65 5.18%:  I still don
     66 4.92%:  it's kinda like
     67 4.68%:  I don
     68 58.23%:  I don't see
     69 5.10%:  I don't even
     70 4.62%:  looks like I ate
     71 4.44%:  let's read
     72 4.20%:  I've
     73 9.54%:  I've got no
     74 6.95%:  I've still
     75 5.72%:  I've got one
     76 4.18%:  looks like I'd
     77 4.18%:  I'll
     78 26.34%:  I'll never
     79 26.55%:  I'll never read
     80 22.21%:  I'll never read again
     81 5.36%:  I'll never read a
     82 4.94%:  I'll never read a non
     83 4.13%:  I don't like
     84 4.13%:  it looks like I've read
     85 3.91%:  it looks like I've gained a
     86 3.74%:  so
     87 6.83%:  so long
     88 3.46%:  I'd
     89 3.38%:  it's looking
     90 4.28%:  it's looking like
     91 3.36%:  good evening
     92 3.30%:  I take
     93 3.28%:  I've tried
     94 3.20%:  it looks like I've arranged
     95 3.18%:  not all
     96 3.18%:  I like
     97 3.16%:  I love dogs
     98 3.12%:  one
     99 3.60%:  one advantage
    100 3.11%:  not all readers
    101 3.09%:  I tried
    102 2.98%:  it looks like I never read a
    103 2.97%:  ladies
    104 2.97%:  it's all
    105 3.24%:  it's all over
    106 2.87%:  readers
    107 2.81%:  it's a good learning
    108 2.79%:  it doesn
    109 2.79%:  I still read
    110 2.72%:  it's all good
    111 2.71%:  looks like I've gained
    112 2.64%:  I've done
    113 2.60%:  it looks like I've engine
    114 2.51%:  it's a learning
    115 2.42%:  I don't even like
    116 2.35%:  I never said
    117 2.32%:  all I'
    118 2.32%:  I've learned
    119 2.32%:  I still need
    120 2.30%:  I've got a
    121 2.28%:  it's kinda like real
    122 2.20%:  looks like I've tied
    123 2.19%:  given
    124 2.17%:  it looks like I've earned an
    125 2.16%:  it's no
    126 2.15%:  I don't see a
    127 2.13%:  no one
    128 2.08%:  it looks like I never again
    129 2.08%:  in all
    130 2.08%:  let's look
    131 2.08%:  one advantage is I
    132 2.06%:  M
    133 2.04%:  looks like I've trained
    134 2.02%:  it does
    135 1.96%:  one advantage I
    136 1.93%:  it looks like I've re
    137 1.92%:  kinda
    138 1.92%:  I don't love
    139 1.87%:  looks like I never eat
    140 1.87%:  looks like a
    141 1.86%:  let's go
    142 2.31%:  let's go on
    143 1.83%:  it is
    144 9.56%:  it is a good
    145 2.17%:  it is kinda
    146 1.81%:  I listened
    147 1.81%:  looks like I've trained a
    148 1.80%:  looks like I tried
    149 1.77%:  I'll never again
    150 2.04%:  I'll never again read
    151 1.76%:  reader
    152 1.75%:  looks like I'M
    153 1.73%:  it all
    154 3.56%:  it all goes
    155 1.72%:  in general
    156 1.71%:  too
    157 1.68%:  it's like
    158 3.58%:  it's like I
    159 1.66%:  great
    160 1.66%:  it looks like I earned
    161 1.60%:  I'M
    162 2.25%:  I'M looking
    163 1.75%:  I'M not
    164 7.58%:  I'M not reading
    165 1.72%:  I'M not going
    166 1.59%:  I never learned
    167 1.54%:  looks like I gave
    168 1.50%:  it's never going
    169 1.48%:  let's give
    170 1.48%:  seeing
    171 1.47%:  I look
    172 1.46%:  looks like I've triggered a
    173 1.44%:  I stand
    174 1.43%:  I've got a long
    175 1.42%:  it's a real
    176 1.62%:  it's a real good
    177 1.41%:  in ret
    178 1.41%:  a
    179 1.40%:  looks like it'd
    180 1.40%:  listen and
    181 1.39%:  least
    182 1.39%:  I've got like
    183 1.38%:  doesn
    184 1.38%:  still
    185 1.37%:  Minnesota
    186 1.36%:  in its
    187 1.35%:  it looks like I'M reading
    188 1.34%:  I'M going
    189 6.97%:  I'M going to read
    190 1.42%:  I'M going to read all
    191 1.34%:  I've learned a great
    192 1.33%:  I've done it all
    193 1.33%:  it's a dog
    194 1.33%:  it looks like I've agreed
    195 1.33%:  don
    196 1.33%:  it looks like in
    197 1.30%:  it's no longer
    198 3.29%:  it's no longer a
    199 1.29%:  it's good I never
    200 1.29%:  look
    201 1.27%:  to all
    202 1.27%:  I've got no idea
    203 1.27%:  I've learned one
    204 1.26%:  looks like I never read a
    205 1.26%:  looking
    206 1.25%:  it goes
    207 1.23%:  I don't env
    208 1.22%:  al
    209 1.22%:  it looks like I've earned 
    210 1.21%:  no one ever
    211 1.21%:  it is going
    212 1.21%:  gonna
    213 1.21%:  regarding
    214 1.21%:  I'M telling
    215 1.20%:  again
    216 1.19%:  it's looking like an
    217 1.19%:  it looks like dinner again
    218 1.18%:  looks like I've rated
    219 1.18%:  looks like I'M never
    220 2.86%:  looks like I'M never reading
    221 97.54%:  looks like I'M never reading again
    222 6.43%:  looks like I'M never reading a
    223 1.18%:  it's never gonna
    224 1.17%:  I read
    225 1.17%:  I've got an
    226 3.39%:  I've got an idea
    227 1.16%:  like
    228 1.74%:  like I said earlier
    229 1.15%:  looks like I've rein
    230 1.14%:  I need a
    231 1.14%:  kinda sort
    232 1.13%:  let's never
    233 1.13%:  I'M glad
    234 1.12%:  I kinda
    235 1.12%:  all is
    236 1.11%:  looks like I ain
    237 8.44%:  looks like I ain't reading
    238 1.10%:  looks like I've earned a giant
    239 1.09%:  I've learned a lot in
    240 1.08%:  I still give
    241 1.08%:  a good
    242 1.07%:  it's an
    243 1.07%:  looks like I invited
    244 1.06%:  no one said
    245 1.05%:  I'd like
    246 1.05%:  I'll never get
    247 1.05%:  it's looking like a
    248 1.05%:  I've learned to
    249 1.04%:  looks like I read
    250 1.03%:  let's go read
    251 1.02%:  not in
    252 1.02%:  aside
    253 1.02%:  it looks like I've reg
    254 1.00%:  it looks like reader
    255 1.00%:  I'll never get a
    256 0.99%:  it looks like I need an
    257 0.98%:  let's agree
    258 0.98%:  I've got all
    259 0.97%:  it looks like reading'
    260 0.97%:  I'll never get a good
    261 0.96%:  no need
    262 0.95%:  I do
    263 0.95%:  going
    264 0.95%:  I'M going to need
    265 0.95%:  advantage
    266 0.95%:  not all dogs
    267 0.94%:  it's all in
    268 0.94%:  looks like I'M in
    269 0.94%:  d
    270 6.56%:  darn it all
    271 0.94%:  I tell
    272 0.93%:  it's like living
    273 0.93%:  I like dogs
    274 0.92%:  looks like I entered
    275 0.90%:  as I
    276 0.90%:  no one ever said I
    277 0.90%:  I'll never take
    278 0.88%:  I've got a solid
    279 0.88%:  I give
    280 0.88%:  it is kinda like
    281 0.87%:  looks like I've a
    282 0.87%:  it looks like I'M driving
    283 0.87%:  looks like I've gained an
    284 0.87%:  one silver
    285 1.10%:  one silver lining to
    286 0.87%:  let's do
    287 0.86%:  I invented
    288 0.86%:  it looks like I've engaged
    289 1.21%:  it looks like I've engaged in a
    290 0.85%:  looks like I never read an
    291 0.84%:  looks like I arrived
    292 0.84%:  it'll give
    293 0.83%:  I'll get
    294 1.43%:  I'll get over
    295 0.82%:  looks like I've gained a great
    296 0.82%:  it's looking like I
    297 0.82%:  looks like I earned
    298 0.97%:  looks like I earned a
    299 0.82%:  it's in
    300 0.82%:  it's a living
    301 0.82%:  it's a long
    302 0.81%:  looks like I never reading
    303 0.91%:  looks like I never reading again
    304 0.80%:  I'll never need
    305 0.78%:  I'M going to die
    306 0.78%:  it's like reading
    307 0.77%:  I like to
    308 0.76%:  it's on
    309 0.76%:  it looks like I've in
    310 0.76%:  looks like I've retained
    311 0.75%:  it isn
    312 0.75%:  it's one
    313 0.75%:  no one tell
    314 0.75%:  I never asked
    315 1.45%:  I never asked to
    316 0.75%:  all it
    317 0.75%:  all I've got is
    318 1.08%:  all I've got is a
    319 0.74%:  let's never read
    320 1.64%:  let's never read again
    321 0.74%:  I've still read
    322 0.74%:  no one else
    323 0.74%:  I need to re
    324 0.73%:  no one asked
    325 0.73%:  lives
    326 0.72%:  looks like I triggered
