the blood keeps coming out, can you call my mom real quick??
22.37%: , you
7.18%:  you
3.20%: , your
9.14%: , your mouth
1.98%: , my
4.70%: , my mouth
1.80%: , you could
1.54%: , that
1.46%: , could
4.45%: , could you check
7.85%: , could you check my pulse
5.26%: , could you check my pulse real
2.58%: , could you maybe
2.23%: , could you help
6.80%: , could you help me out
1.69%: , could you help me out real
1.50%: , could you help me look
1.33%: , could you tell
1.59%: , could you tell me about
1.33%: , could you lick
8.31%: , could you lick my mouth
13.20%: , could you lick my mouth real
1.97%: , could you lick my mouth clean
1.31%: , could you take
1.31%: , could you check my lips
1.30%: , could you use
1.30%: , could you help me lick
1.28%: , could you make
1.45%: , could you make sure
1.27%: , could you make sure that
1.25%: , check
1.93%: , check out my lips
1.30%: , check your
1.20%: , could you maybe check
0.99%: , your mouth looks
0.97%: , could you help me take
0.95%: , come
1.36%: , come back
8.80%: , come back to my place and you
6.15%: , come back to my house
4.32%: , come back to my place later
2.74%: , come back to my place so
2.71%: , come back to my house later
2.34%: , come back to my place and let
1.97%: , come back to my place real
1.32%: , come back to my mouth
0.94%: , could you take me
1.39%: , could you take me home
0.94%: , you sure
0.93%: , come back to my place so you
0.93%: , your lips
0.93%: , could you check your
0.92%: , you look
0.89%: , come back to my mouth real
0.86%: , come back to my house and let
0.86%: , come back to my house and you
0.85%: , could you put
1.11%: , could you put some
0.89%: , could you put some more
0.84%:  your
3.40%:  your mouth
0.83%: , could you help me clean
0.82%: , you can
0.91%: , you can lick
3.07%: , you can lick my mouth
1.08%: , you can lick my mouth too
0.81%: , could you help me take out
0.80%: , could you pull
0.80%: , could you make that
0.79%: , look
2.64%: , look at my mouth
0.78%:  you could
0.78%: , could you check my oral
0.76%: , could you come
0.75%: , could you check my lips real
0.74%: , could you help me look at
0.73%: , could you help me make
0.70%: , can
2.41%: , can you check
3.65%: , can you check my pulse
2.45%: , can you check my blood
1.22%: , can you lick
6.51%: , can you lick my mouth
2.82%: , can you lick my mouth real
0.99%: , can you tell
0.97%: , can you help
2.45%: , can you help me out
1.72%: , can you help me look
0.88%: , can you check my pulse real
0.82%: , can you come
1.04%: , can you come back
1.62%: , can you come back later
0.93%: , can you come lick
7.99%: , can you come lick my mouth
5.33%: , can you come lick my mouth real
0.75%: , can you help me lick
0.76%: , can you help me lick my blood
0.72%: , can you check your
0.72%: , can you come pick
0.67%: , can you come lick my mouth so
0.67%: , use
8.73%: , use your mouth
4.15%: , use your mouth to make
2.30%: , use your mouth to lick
2.15%: , use your thumb
1.94%: , use your thumb to poke
1.71%: , use your mouth to place
1.67%: , use your mouth to clean
1.59%: , use your mouth to place my
1.49%: , use your mouth to pick
0.77%: , use your thumb to clean
0.75%: , use your mouth to pick my
0.67%: , can you lick my mouth to
0.66%: , could you help me clean out
0.66%: , could you lick the
0.66%: , your mouth makes
0.65%: , could you touch
0.65%: , could you maybe lick
0.65%: , could you lick me
0.64%: , could you come back
2.17%: , could you come back later
0.64%: , could you help me out by
0.64%: , could you help me suck
0.64%: , you look real
0.81%: , you look real cute
0.63%: , check out my oral
0.63%: , could you make sure my
0.62%: , can you lick me
0.62%: , come back here
0.62%: , can you come lick my mouth too
0.62%: , check out your
0.61%: , could you help me make sure
0.61%: , use your thumb to make
0.61%: , come back to my place and use
58.08%: , come back to my place and use your mouth
0.61%: , could you make out
0.59%: , you can lick me
0.59%: , but
0.58%: , could you maybe stop
0.58%: , could you help me clean my
0.58%: , you think
0.55%: , could you maybe not
0.56%: , could you maybe not lick
0.55%: , my lips
0.55%: , could you maybe help
2.62%: , could you maybe help me out
0.54%: , check my
0.54%: , you could use
0.54%: , use your thumb and
0.54%: , can you help me lick blood
0.71%: , can you help me lick blood out
0.54%: , could you check out
0.53%: , could you check to
0.53%: , can you help me look at
0.53%: , come back to my house real
0.53%: , check out my blood
0.52%: , come back later
0.52%: , could you pull my
0.52%: , could you suck
0.52%: , could you suck my
0.51%: , there
0.51%: , can you come lick me
0.51%: , are
0.52%: , are you coming
1.85%: , are you coming back
5.81%: , are you coming back to my house
2.71%: , are you coming back to my place to
1.97%: , are you coming back to my place??
1.38%: , are you coming back to my mouth
0.67%: , are you coming back to my place so
0.51%: , can you help me lick my blood out
0.51%: , you could be
0.50%: , could you lick my mouth clean real
0.50%: , could you lick my mouth open
0.50%: , my mouth looks
0.50%: , could you lick me real
0.50%: , can you come lick my mouth to
0.50%: , it
0.59%: , it hurts
0.50%: , could you call
0.49%:  your mouth looks
0.49%: , could you tell me more
0.49%: , check your pulse
0.49%: , could you help me to
0.49%: , look at my mouth real
0.49%: , can you make
0.49%: , you are
0.49%:  you sure
0.49%: , let
0.49%: , can you check to
0.49%: , let me lick
9.71%: , let me lick your mouth
2.40%: , let me lick your mouth and
1.63%: , let me lick your mouth clean
0.78%: , let me lick you
0.75%: , let me lick your mouth all
0.72%: , let me lick your mouth and you
0.70%: , let me lick your mouth so
0.51%: , let me lick your mouth all up
0.49%:  you look
0.49%: , use your mouth to call
0.48%: , come back to mine
0.48%: , could you help me close
0.48%: , could you make sure to
0.47%: , use your mouth to clean my blood
0.47%: , could you take my
1.31%: , could you take my pulse
0.58%: , could you take my pulse real
0.47%: , could you make me
0.47%: , can you help me suck
0.47%: , is
0.52%: , is your
3.02%: , is your mouth
0.73%: , is your mouth made
0.46%: , could you make sure that my
0.46%: , look at me
0.46%: , could you help me take my
0.46%: , use your mouth to pick me
0.46%: , are you okay
0.45%: , come back to my mouth and
0.45%: , is there blood
2.35%: , is there blood coming out my
0.45%: , can you check my lips
0.45%: , let me suck
9.65%: , let me suck on your mouth
1.99%: , let me suck your
6.77%: , let me suck your mouth
1.46%: , let me suck your blood
1.08%: , let me suck your blood out
0.63%: , let me suck your mouth clean
0.59%: , let me suck your mouth and
0.45%: , could you lick my mouth to
1.85%: , could you lick my mouth to clean
0.45%: , check my pulse
0.44%: , can you suck
0.77%: , can you suck my mouth
0.44%: , could you call me back
1.02%: , could you call me back later
0.44%: , use your thumb to pick
0.43%: , could you help me clean out my ears
0.43%: , use your hand
0.98%: , use your hand to pull
0.55%: , use your hand to pick
0.43%: , let me suck your mouth all
0.43%:  that
0.42%: , could you make your
0.42%: , come lick
2.48%: , come lick my mouth
1.83%: , come lick my mouth real
0.60%: , come lick my mouth and
0.42%: , you can lick my mouth real
0.42%: , can you look
2.83%: , can you look at my mouth
0.97%: , can you look at my mouth real
0.42%: , could you keep
0.42%: , come lick my mouth clean
0.41%: , are you coming back home
0.41%: , use your thumb to poke me
0.41%: , can you help me suck out
0.41%: , maybe
0.85%: , maybe you
6.45%: , maybe you could
4.27%: , maybe you could lick
3.60%: , maybe you could help
14.43%: , maybe you could help me out
4.71%: , maybe you could help me lick
2.48%: , maybe you could help me suck
2.14%: , maybe you could check
1.99%: , maybe you could help me look
1.94%: , maybe you could use
1.71%: , maybe you could lick me
1.31%: , maybe you could suck
1.20%: , maybe you could help me clean
1.76%: , maybe you could help me clean out
1.08%: , maybe you could lick the
1.07%: , maybe you could come
0.99%: , maybe you could help me lick some
0.98%: , maybe you could check out
0.96%: , maybe you could put
1.64%: , maybe you could put some
0.86%: , maybe you could help me make
0.85%: , maybe you could lick some
0.82%: , maybe you could help me talk
0.80%: , maybe you could help me look at
0.77%: , maybe you could help me out real
0.73%: , maybe you could touch
0.71%: , maybe you could help me take
0.82%: , maybe you could help me take out
0.65%: , maybe you could take
0.64%: , maybe you could tell
0.64%: , maybe you could help me out a
0.58%: , maybe you could lick me too
0.57%: , maybe you could stick
0.52%: , maybe you could make
0.50%: , maybe you could lick that
0.50%: , maybe you could help me suck it
0.50%: , maybe you could put some more
0.48%: , maybe you could come lick
0.46%: , maybe you could use that
0.46%: , maybe you could help me suck on
0.42%: , maybe you could help me lick out
0.41%: , are you coming back to my place this
0.41%: , could you help me count
0.41%: , could you check my tons
0.40%: , use your hand to pick my
0.40%: , could you help me turn
0.40%: , can you tell me about
1.36%: , can you tell me about your
0.40%: , could you make that more
0.40%: , could you help me clean out my ear
0.40%: , you make
0.40%: , can you check out
0.40%: , come back to my house later and you
0.39%: , can you touch
0.39%: , could you maybe put
0.61%: , could you maybe put some
0.39%: , maybe you could lick me real
0.39%: , you can check
0.66%: , you can check my pulse
0.51%: , you can check out
0.39%: , could you make your lips
0.38%: , come back to my place and your
1.19%: , come back to my place and your mouth
0.38%: , maybe you could check to
0.38%: , can you come back to
1.65%: , can you come back to my house later
0.66%: , can you come back to my mouth
0.38%: , are you coming back to my house??
0.38%: , you sure you
0.38%: , check out all
0.38%:  your lips
0.38%: , you think you
2.63%: , you think you could
0.59%: , you think you could come
0.38%: , could you make me some
0.38%: , can you pick
0.38%: , maybe you could pull
0.37%: , maybe you could help me stick
0.37%: , can you smell
0.37%: , maybe you could call
0.37%: , could you maybe help me lick
0.37%: , do
2.71%: , do you think
1.65%: , do you think you
0.75%: , do you like
