dang!! Dude, I just remembered how life is sad
Step          0 (remaining mass 68.761%): Next token is ' dang', score is 62.70016% (10.038%, 47.490%, 4)
Step          0 (remaining mass 41.795%): Next token is '!!', score is 1.47748% (0.807%, 54.678%, 6)
Step        143 (remaining mass 7.196%): Next token is ' Dude', score is 0.00211% (0.027%, 42.539%, 10)
Non-answer:  dang, I just remembered how sad life is!! Dude (0.16%) != dang!! Dude, I just remembered how life is sad
Non-answer:  dang I just remembered how sad life is!! Dude (0.01%) != dang!! Dude, I just remembered how life is sad
Non-answer:  dang, I just remembered how life is sad!! Dude (0.00%) != dang!! Dude, I just remembered how life is sad
Step     10,610 (remaining mass 0.213%): Next token is ',', score is 0.00250% (57.779%, 56.324%, 11)
Step     10,611 (remaining mass 0.213%): Next token is ' I', score is 0.00114% (36.899%, 39.837%, 12)
Search time: 580s.  (Non-ML: 36s)  Per-step times: Score: 8ms  Advance: 0ms  Predict: 33ms  Truncate: 0ms.

         0 0* 62.70016% (54.727%) ( 47%)  dang                                                                                                                         ----------addeefhiijlossstuuw!!D,I
         1 0* 50.54325% (58.745%) ( 65%) ,                                                                                                                             ----------aadddeefghiijlnossstuuw!!DI
         2 0* 44.08596% (75.703%) ( 54%)  dang,                                                                                                                        ----------addeefhiijlossstuuw!!DI
         3 0* 18.20920% (77.665%) ( 42%)  dang, I                                                                                                                      ----------addeefhiijlossstuuw!!D
         4 0* 29.92163% (78.505%) ( 56%)  dang, I just                                                                                                                 ----------addeefhiilossuw!!D
         5 0* 384.52578% (78.708%) ( 56%)  dang, I just remembered                                                                                                      addeefhiilossuw!!D
         6 0* 271.78071% (78.722%) ( 70%)  dang, I just remembered how                                                                                                  addeefiilssu!!D
         7 0* 59.34229% (78.723%) ( 55%)  dang, I just remembered we                                                                                                   addefhiilossu!!D
         8 0* 58.73485% (78.724%) ( 38%)  dang, I just remembered we also                                                                                              ddefhiisu!!D
         9 0* 563.18674% (78.724%) ( 36%)  dang, I just remembered we also died                                                                                         fhisu!!D
        10 0* 41.68673% (78.724%) ( 19%)  dang, I just remembered we also die                                                                                          dfhisu!!D
