the hell kind of question is that anyway
      0 100.00%: 
      1 23.49%:  a
      2 22.75%:  was
      3 22.31%:  was it
      4 21.86%:  was that
      5 21.52%:  the
      6 25.17%:  the hell was
      7 24.51%:  the he
      8 24.40%:  the hell is
      9 22.70%:  the hell was the
     10 22.11%:  the hell was that
     11 21.97%:  the hell is a
     12 21.48%:  else
     13 21.15%:  the hell is the
     14 20.74%:  the hell was it
     15 20.65%:  was the deal on
     16 21.44%:  was the deal on that one
     17 20.34%:  the hell is that
     18 20.32%:  was the dealio
     19 20.30%:  was the deal in
     20 20.95%:  was the deal in the 
     21 20.19%:  was the deal this
     22 20.17%:  was the deal like
     23 20.17%:  was the deal at
     24 20.17%:  was the deal that
     25 20.15%:  was the deal if
     26 20.14%:  the hell do
     27 22.48%:  the hell do you want
     28 20.13%:  do
     29 25.93%:  do you think
     30 22.74%:  do you want
     31 21.70%:  do you wanna
     32 21.61%:  do you say
     33 21.34%:  do you think the
     34 21.16%:  do you see
     35 20.98%:  do you eat
     36 20.96%:  do you take
     37 20.95%:  do you think that
     38 20.39%:  do you think that feels
     39 20.25%:  do you think it
     40 20.12%:  do you think we
     41 19.90%:  was the deal on the
     42 19.88%:  the hell does
     43 19.74%:  the hell kind
