T-Rex (punchline): These guys are on the BALL!
      0 100.00%: 
      1 9.32%:  These
      2 15.75%:  These guys are the
      3 8.06%:  These theories
      4 3.59%:  These guys are on
      5 3.40%:  These guys are not
      6 2.99%:  These guys are one
      7 2.59%:  These are
      8 4.93%:  These are the
      9 4.81%:  These are the guys
     10 2.44%:  These guys are out
     11 2.03%:  These genius
     12 2.02%:  These guys can
     13 1.99%:  These guys are A
     14 1.88%:  These guys aren
     15 1.86%:  These guys are tele
     16 1.42%:  These things
     17 1.14%:  These guys are in
     18 1.11%:  These guys are in the
     19 0.94%:  These cats
     20 0.91%:  These guys are in touch
     21 0.86%:  These guys are ALL
     22 0.82%:  These guys are in tune
     23 0.79%:  These guys are un
     24 0.76%:  they
     25 0.69%:  These guys are B
     26 0.69%:  they are
     27 0.65%:  A
     28 0.56%:  These guys are che
     29 0.51%:  These are not
     30 0.48%:  These guys are on it
     31 0.48%:  These guys are the B
     32 0.46%:  These guys rule
     33 0.46%:  A couple
     34 0.49%:  A couple years
     35 0.45%:  These are the ones
     36 0.40%:  there
     37 0.39%:  These guys are on the B
     38 0.85%:  These guys are on the BALL!
     39 0.39%:  These are the genius
     40 0.38%:  These guys are next
     41 0.37%:  These are the only
     42 0.34%:  (
     43 0.34%:  These aren
     44 0.31%:  These guys are ten
     45 0.31%:  These guys are AL
     46 0.29%:  These guys are the ep
     47 0.25%:  These guys are T
     48 0.24%:  These guys are next-
     49 0.24%:  These guys are pl
     50 0.24%:  These guys are hop
     51 0.24%:  they are so
     52 0.23%:  These guys are one up
     53 0.23%:  -
     54 0.23%:  the
     55 0.23%:  These guys are unc
     56 0.22%:  it
     57 0.22%:  These guys are to
     58 0.21%:  These guys are tun
     59 0.20%:  These guys put
     60 0.20%:  These guys are into
     61 0.19%:  These guys are no
     62 0.19%:  this
     63 0.19%:  These guys are hot
     64 0.19%:  These guys are R
     65 0.19%:  These guys are BRA
     66 0.19%:  A person
     67 0.19%:  These guys!
     68 0.18%:  (T-Rex laugh
     69 0.17%:  These guys are cl
     70 0.17%:  These guys are c
     71 0.17%:  these
     72 0.16%:  These guys are t
     73 0.16%:  These guys are TR
     74 0.16%:  These guys are nut
     75 0.15%:  the only
     76 0.15%:  These phys
     77 0.14%:  A single
     78 0.14%:  These are ALL
     79 0.14%:  These guys -
     80 0.13%:  These guys are top
     81 0.13%:  A theory
     82 0.12%:  These guys are -
     83 0.12%:  These super
     84 0.12%:  These guys can put
     85 0.12%:  These guys are out in
     86 0.12%:  These guys are h
     87 0.12%:  These guys are 
     88 0.12%:  These guys are u
     89 0.11%:  These guys are nin
     90 0.11%:  (T-Rex):
     91 0.11%:  These guys are TAL
     92 0.11%:  These guys are e
     93 0.10%:  there is
     94 0.10%:  These guys are pione
     95 0.10%:  ALL
     96 0.10%:  These last
     97 0.10%:  you
     98 0.09%:  These guys are touch
     99 0.09%:  These strange
    100 0.09%:  These guys can either
    101 0.09%:  These are the guys in
    102 0.09%:  they can
    103 0.09%:  These guys (
    104 0.09%:  A singular
    105 0.09%:  L
    106 0.08%:  These guys are ch
    107 0.08%:  These other
    108 0.08%:  These highly
    109 0.08%:  These are B
    110 0.08%:  These guys are on the up
    111 0.08%:  (T-Rex is
    112 0.08%:  These guys are inc
    113 0.07%:  These guys are le
    114 0.07%:  These guys are the one
    115 0.07%:  These guys are cut
    116 0.07%:  
    117 0.07%:  These guys are epic
    118 0.07%:  These guys are up
    119 0.07%:  These guys are put
    120 0.07%:  B
    121 0.07%:  A lot
    122 0.07%:  (T-Rex is the
    123 0.07%:  These guys are the un
    124 0.07%:  These guys are non
    125 0.07%:  these guys are on
    126 0.06%:  A genius
    127 0.06%:  These guys are not in
    128 0.06%:  T
    129 0.23%:  T-Rex is
    130 0.08%:  T-Rex is gonna
    131 0.06%:  T-Rex has
    132 0.08%:  T-Rex has nothing
    133 0.06%:  These guys are BR
    134 0.06%:  this one
    135 0.06%:  These are the B
    136 0.06%:  These guys are te
    137 0.06%:  - they
    138 0.06%:  A guy
    139 0.06%:  A person can
    140 0.06%:  ALL the
    141 0.06%:  These articles
    142 0.06%:  These guys are unt
    143 0.06%:  These are the guys on
    144 0.06%:  These guys are int
    145 0.06%:  their
    146 0.06%:  These things are only
    147 0.06%:  these guys are one
    148 0.06%:  These ner
    149 0.06%:  R
    150 0.05%:  there is no
    151 0.05%:  These guys are one-
    152 0.05%:  These guys are on the c
    153 0.05%:  A recent
    154 0.05%:  These guys can not
    155 0.05%:  These guys are up to
    156 0.05%:  These guys are un-
    157 0.05%:  (T-Rex has
    158 0.05%:  These guys are ALL the
    159 0.05%:  These guys - the
    160 0.05%:  These guys are the pione
    161 0.05%:  (T-Rex is the only
    162 0.05%:  T-Rex has got
    163 0.05%:  These guys are n
    164 0.05%:  T-Rex!
    165 0.05%:  These guys are nice
    166 0.05%:  These annoying
    167 0.05%:  These guys are in on
    168 0.05%:  These guys are L
    169 0.05%:  These are so
    170 0.05%:  These guys are the pl
    171 0.05%:  These guys are con
    172 0.05%:  These guys are on the line
    173 0.05%:  These super-int
    174 0.05%:  (T-Rex is a
    175 0.05%:  those
    176 0.05%:  These theory
    177 0.05%:  These guys are in one
    178 0.05%:  (T-Rex says
    179 0.05%:  These guys are pe
    180 0.04%:  These guys are one he
    181 0.04%:  These guys are plot
    182 0.04%:  These guys - their
    183 0.04%:  These young
    184 0.04%:  These guys are nice!
    185 0.04%:  These guys are the 
    186 0.04%:  These guys are on ALL
    187 0.04%:  These guys can out
    188 0.04%:  These guys are hun
    189 0.04%:  These guys are not nice
    190 0.04%:  These ones
    191 0.04%:  These guys are no help
    192 0.04%:  These guys are on it ALL
    193 0.04%:  These guys are l
    194 0.04%:  These guys can turn
    195 0.04%:  These are A
    196 0.04%:  A phys
    197 0.04%:  A theory is
    198 0.04%:  These ancient
    199 0.04%:  These so
    200 0.04%:  These pe
    201 0.04%:  These guys are on the BAL
    202 0.04%:  These sc
    203 0.04%:  these are
    204 0.04%:  These guys are out-
    205 0.04%:  These guys can run
    206 0.04%:  These high
    207 0.04%:  T-Rex is the
    208 0.05%:  T-Rex is the only
    209 0.04%:  These guys are tech
    210 0.04%:  these guys are A
    211 0.04%:  These ge
    212 0.04%:  These guys are up on
    213 0.04%:  These guys are up on the
    214 0.03%:  These genetic
    215 0.03%:  this has
    216 0.03%:  (T-Rex turns
    217 0.03%:  These guys are hot!
    218 0.03%:  A real
    219 0.03%:  These pictures
    220 0.03%:  These great
    221 0.03%:  These guys are enc
    222 0.03%:  these genius
    223 0.03%:  (T-Rex plays
    224 0.03%:  another
    225 0.03%:  These super-gen
    226 0.03%:  (T-Rex is another
    227 0.03%:  These guys are ALL in
    228 0.03%:  ALL these
    229 0.03%:  These guys are put on
    230 0.03%:  this guy
    231 0.03%:  they sure
    232 0.03%:  one
    233 0.03%:  These things are B
    234 0.03%:  These guys are the police
    235 0.03%:  (T-Rex is not
    236 0.03%:  These guys are p
    237 0.03%:  These places
    238 0.03%:  These guys are cute
