I REALLY just don't think I'm as into snowboarding as I used to be.
11.81%:  just
11.44%:  but
11.31%:  but then
8.38%:  just then
7.70%:  and
6.14%:  just the
5.83%:  the
5.68%:  just that
4.94%:  it
4.48%:  I
4.21%:  but it
3.33%:  that
3.09%:  and then
3.04%:  just then it
2.65%:  then
2.43%:  just what
2.42%:  but then it
2.41%:  thank
2.12%:  just then to
2.09%:  it was
1.92%:  but that
1.91%:  just when
1.91%:  just the most
1.71%:  no
1.68%:  not
1.66%:  don
1.62%:  just that it
1.58%:  the two
1.50%:  but she
1.47%:  and the
1.44%:  but he
1.26%:  this
1.24%:  but it was
1.17%:  but it was not
1.13%:  just this
1.07%:  but the
1.01%:  just and
1.01%:  but now
0.99%:  but it is
0.96%:  and it
0.92%:  now
0.89%:  but it was just
0.89%:  not to
0.88%:  we
0.88%:  it was just
0.87%:  just the unknown
0.82%:  so
0.81%:  but not
0.81%:  she
0.78%:  and just
1.61%:  and just then
0.76%:  but it sounds
0.75%:  just this time
0.73%:  just and then
0.70%:  just it
0.69%:  but soon
0.67%:  what
0.67%:  just then and
0.66%:  when
0.64%:  but it is not
0.63%:  and she
0.62%:  then it
0.60%:  but he just
0.60%:  but that sounds
0.59%:  but she just
0.57%:  but then it sounds
0.57%:  and he
0.57%:  but no
0.56%:  but this
0.55%:  soon
0.55%:  but she wants
0.55%:  the sun
0.54%:  just as
0.53%:  and that
0.52%:  but when
0.52%:  but that'
0.52%:  just then about
0.50%:  about
0.49%:  that it
0.49%:  but he was
0.48%:  but just
1.11%:  but just then it
0.46%:  I just
2.56%:  I just wanted to do
0.78%:  I just wanted to think
0.79%:  I just wanted to think about
0.46%:  I just wanted to do that
0.46%:  it sounds
0.46%:  but he wants
0.46%:  but he was not
0.44%:  but then it was
0.44%:  and just then it
0.44%:  just then soon
0.43%:  just that it is
0.43%:  the unknown
0.43%:  just to
0.42%:  I just wanted to ask
0.42%:  we'
0.42%:  the most
0.42%:  and then it
0.42%:  but he was just
0.42%:  to
0.41%:  just but
0.40%:  just this time and
0.39%:  just that one
0.39%:  just that it was
0.38%:  just take
0.37%:  it just
0.37%:  but just when
0.37%:  it was just the
0.37%:  then and
0.37%:  but she was
0.37%:  and not
0.37%:  just soon
0.37%:  just then it was
0.36%:  just don
0.36%:  and soon
0.34%:  it is
0.34%:  but it wants
0.34%:  just what it
0.34%:  now it
0.33%:  just the situation
0.33%:  and now
0.33%:  and thank
0.33%:  but thank
0.33%:  and no
0.32%:  but no one wants
0.32%:  sounds
0.39%:  sounds about
0.32%:  but then soon
0.31%:  but it just
0.61%:  but it just wanted
0.31%:  was
0.31%:  just how
0.31%:  the kids
0.38%:  the kids and
0.30%:  but it is just
0.30%:  this was
0.30%:  just not
0.30%:  just thank
0.30%:  she wants
0.30%:  but it was just the
0.29%:  I was
0.28%:  but soon the
0.28%:  want
0.27%:  I want
0.27%:  but then it is
0.27%:  thanks
0.27%:  but then no
0.26%:  think
0.39%:  think about
0.26%:  I was just
0.26%:  I just wanted to do it
0.26%:  a
0.26%:  as
0.26%:  I wanted
0.26%:  noises
0.26%:  do
0.26%:  the m
0.25%:  just think
0.51%:  just think about
0.25%:  just one
0.25%:  but then not
0.24%:  I just wanted to sit
0.24%:  it was not
0.24%:  this sounds
0.24%:  but she was not
0.24%:  he
0.24%:  just about
0.23%:  and it was
0.23%:  do that
0.23%:  but he didn
0.23%:  and soon it
0.23%:  when it
0.23%:  I don
0.23%:  it wants
0.23%:  just and that
0.23%:  I just wanted to sit on
0.23%:  it sounds about
0.22%:  kindness
0.22%:  but and
0.22%:  just then no
0.22%:  just now
0.22%:  but then and
0.22%:  but she didn
0.22%:  and both
0.22%:  this is
0.22%:  want to be
0.22%:  but the two
0.22%:  and soon the
0.21%:  and I
0.21%:  just it was
0.21%:  just some
0.21%:  and just wanted
0.21%:  and and
0.21%:  and he just
0.21%:  I just wanted to do a
0.21%:  just that it sounds
0.21%:  but I
0.21%:  it was just the most
0.21%:  just too
0.21%:  but then a
0.21%:  but it doesn
0.21%:  then it was
0.21%:  just but then
0.21%:  but then it was just
0.20%:  some
0.20%:  she'
0.20%:  just the most unknown
0.20%:  the sounds
0.20%:  but it was not just
0.20%:  and she just
0.20%:  I just wanted to stand
0.20%:  just what to
0.20%:  I just wanted to don
0.19%:  but that just
0.19%:  she just
0.19%:  just but it
0.19%:  but when it
0.19%:  just know
0.31%:  just know that it
0.19%:  but don
0.19%:  then soon
0.19%:  the buttons
0.18%:  I just wanted that
0.18%:  just then now
0.18%:  but that was
0.29%:  but that was not
0.18%:  and then it'
0.18%:  both
0.18%:  I think
0.18%:  and then just
0.18%:  just not to take
0.18%:  just then it is
0.18%:  but not to
0.18%:  but then it just
0.18%:  sound
0.17%:  just the sun
0.17%:  but then now
0.17%:  it won
0.17%:  just instead
0.17%:  just his
0.17%:  not to be
0.17%:  and it sounds
0.17%:  about the
0.17%:  sound and
0.17%:  and the two
0.17%:  and this
0.17%:  this just
0.16%:  but it was too
0.16%:  but then just
0.16%:  just the situation and
0.16%:  it was the
0.16%:  just then it won
0.16%:  but just then it is
0.16%:  I won
0.16%:  but just then to
0.16%:  but now it is
0.16%:  just then it sounds
0.16%:  and don
0.16%:  now I
0.16%:  it wasn
0.16%:  but then it is just
0.15%:  but then it wants
0.15%:  but it was time
0.15%:  but it was just the most
0.15%:  just no
0.15%:  but she was just
0.15%:  but it won
0.15%:  just the must
0.15%:  it is just
0.15%:  but soon it was
0.15%:  but soon that
0.15%:  we must
0.15%:  and but
0.15%:  students
0.15%:  but not when
0.14%:  one
0.14%:  I must
0.14%:  he wants
0.14%:  just out
0.14%:  it was the most
0.14%:  I want to be
0.14%:  but it makes
0.14%:  but now that
0.14%:  just that no
0.14%:  but just then it was
0.14%:  now thank
0.14%:  but one
0.14%:  but it wasn
0.14%:  too
0.14%:  take
0.14%:  but it was just a
0.14%:  now that
0.13%:  I know
0.24%:  I know that it
0.13%:  just soon to
0.13%:  just take out
0.13%:  then just
0.13%:  that one
0.13%:  sounds about the
0.13%:  know
0.25%:  know that it
0.13%:  but it knew
0.13%:  just not to be
0.13%:  but it was not not
0.13%:  she was
0.13%:  went
0.13%:  but he just wants
0.13%:  and about
0.13%:  must
0.13%:  but just then and
0.13%:  just and then it
0.13%:  but he did
0.27%:  but he did not want
0.18%:  but he did not know
0.13%:  just it'
0.12%:  but she wants to do
0.12%:  just that a
0.12%:  I just wanted to mind
0.12%:  just want
0.17%:  just want to be
0.12%:  just then but
0.12%:  but now she
0.12%:  not to take
0.12%:  but she just wants
0.12%:  but then it won
0.12%:  but she knows
0.12%:  just out and
0.12%:  just what and
0.12%:  just make
0.12%:  and then soon
0.12%:  just and the
0.12%:  just and he
0.12%:  I just wanted to think it
0.12%:  just that some
0.12%:  but she did
0.43%:  but she did not
0.12%:  I knew
0.25%:  I knew that
0.12%:  and then it was
0.12%:  w
0.12%:  but it was just not
0.12%:  just the kids
0.12%:  but no one wants to do
0.12%:  but it didn
0.12%:  the two nations
0.12%:  but now it sounds
0.11%:  just the two
0.11%:  now the
0.11%:  just it is
0.11%:  but it just wanted to do
0.11%:  but no one knows
0.11%:  we just
0.11%:  just now on
0.11%: '
0.11%:  just be
0.11%:  but it knows
0.11%:  it makes
0.11%:  just about the
0.11%:  but now the
0.11%:  and we
0.11%:  it sounds about the
0.11%:  just when it sounds
0.11%:  just so
0.11%:  but she did not want
0.11%:  but it means
0.11%:  and to
0.11%:  I didn
0.11%:  just no one
0.11%:  but he wants to do
0.11%:  she won
0.11%:  just that it was not
0.10%:  just this one
0.10%:  but and then
0.10%:  just the kids and
0.10%:  it sounds just
0.10%:  the twin
0.10%:  just that we
0.10%:  it doesn
0.10%:  just that about
0.10%:  but it was just one
0.10%:  but it thinks
0.10%:  noises and
0.10%:  just when it is
0.10%:  and so
0.10%:  that it sounds
0.10%:  just then a
0.10%:  just know that it is
0.10%:  just that not
0.10%:  L
0.10%:  just to be
0.10%:  shut
0.10%:  set
0.10%:  just then not
0.10%:  that sounds
0.10%:  but then to
0.10%:  just that it is not
0.10%:  just but he
0.10%:  then to
0.10%:  just behind
0.10%:  sn
0.10%:  just it sounds
0.10%:  soon and
0.10%:  it means
0.10%:  but what
0.10%:  but it is not just
0.10%:  but it has
0.10%:  but he was too
0.10%:  we don
0.10%:  it was kindness
0.10%:  the twins
0.10%:  I am
0.10%:  it wanted
0.10%:  but he is
0.12%:  but he is not
0.10%:  but he is just
0.09%:  I just wanted to shoot
0.09%:  just she
0.09%:  but now he
0.09%:  that it was
0.09%:  just but it was
0.09%:  It
0.09%:  the must
0.09%:  I just wanted to do this
0.09%:  and she took
0.09%:  it and
0.09%:  make
0.09%:  and just then to
0.09%:  not the
0.09%:  I want to do
0.09%:  two
0.09%:  kind
0.09%:  do the
0.09%:  just he
0.09%:  just the sound
0.09%:  was so
0.09%:  but that was just
0.09%:  just on
0.09%:  be
0.09%:  and took
0.09%:  just both
0.09%:  but he was just so
0.09%:  but then it must
0.09%:  just down
0.10%:  just down and
0.09%:  just that soon
0.09%:  and it just
0.11%:  and it just wanted
0.09%:  but he knows
0.09%:  but it is just the
0.09%:  I just wanted to shout
0.09%:  and just the
0.09%:  it just and
0.09%:  just then too
0.09%:  just think and
0.09%:  the two kids
0.09%:  just but she
0.09%:  I just wanted to thank
0.08%:  the sun is
0.08%:  I just didn
0.08%:  but just that
0.08%:  it knew
0.08%:  but she wants to join
0.08%:  and then it just
0.08%:  soon that
