I DON'T KNOW WHO I AM ANYMORE.
      0 100.00%: 
      1 27.10%:  I
      2 22.45%:  I'M
      3 19.88%:  I'D
      4 19.63%:  H
      5 19.54%:  A
      6 19.51%:  I'M NOT
      7 19.31%:  D
      8 19.15%:  O
      9 19.37%:  OH M
     10 23.12%:  OH MAN I
     11 23.28%:  OH MAN I'M T
     12 23.09%:  OH MAN I'M NOT
     13 23.07%:  OH MAN I'M A
     14 22.95%:  OH MAN I'M IN
     15 21.97%:  OH MAN I'M D
     16 22.67%:  OH MAN I'M DAT
     17 21.95%:  OH MAN I'M RE
     18 21.85%:  OH MAN I'M R
     19 21.74%:  OH MAN I'M DO
     20 21.74%:  OH MAN I'M NE
     21 21.71%:  OH MAN I'M ON
     22 21.69%:  OH MAN I'M K
     23 24.39%:  OH MAN I'M KINDA WE
     24 23.34%:  OH MAN I'M KINDA W
     25 22.95%:  OH MAN I'M KINDA N
     26 22.82%:  OH MAN I'M KINDA T
     27 22.63%:  OH MAN I'M KINDA WORN
     28 21.67%:  OH MAN I'M W
     29 23.77%:  OH MAN I'M WAY TOO E
     30 23.69%:  OH MAN I'M WAY TOO IN
     31 22.25%:  OH MAN I'M WAY TOO WE
     32 22.22%:  OH MAN I'M WAY O
     33 22.17%:  OH MAN I'M WAY TOO WEIRD.
     34 21.77%:  OH MAN I'M WAY TOO D
     35 21.75%:  OH MAN I'M WAY TOO WEIRD ON
     36 21.75%:  OH MAN I'M WAY TOO WEIRD NO
     37 21.74%:  OH MAN I'M WAY TOO WEIRD O
     38 21.65%:  OH MAN I'M TR
     39 21.64%:  OH MAN I'M WAY TOO N
     40 21.62%:  OH MAN I'M N
     41 23.18%:  OH MAN I'M NAKED IN
     42 21.62%:  OH MAN I'M E
     43 21.60%:  OH MAN I'M IN T
     44 21.59%:  OH MAN I'M O
     45 21.58%:  OH MAN I'M AT
     46 21.57%:  OH MAN I'M TO
     47 21.57%:  OH MAN I'M NO
     48 22.40%:  OH MAN I'M NOW A
     49 21.54%:  OH MAN I'M AN
     50 21.53%:  OH MAN I'M WR
     51 21.53%:  OH MAN I'M KINDA RE
     52 21.53%:  OH MAN I'M ONE
     53 21.53%:  OH MAN I'M DE
     54 21.52%:  OH MAN I'M WE
     55 23.18%:  OH MAN I'M WEIRD NO
     56 22.52%:  OH MAN I'M WEIRD A
     57 22.01%:  OH MAN I'M WEIRD.
     58 21.84%:  OH MAN I'M WEIRD NOW.
     59 21.28%:  OH MAN I'M WAY TOO O
     60 21.28%:  OH MAN I'M WAY IN
     61 21.43%:  OH MAN I'M WAY INTO
     62 21.13%:  OH MAN I'M WAY TOO NER
     63 21.12%:  OH MAN I'M KINDA R
     64 21.12%:  OH MAN I'M A D
     65 21.08%:  OH MAN I'M NAKED R
     66 20.98%:  OH MAN I'M NOW IN
     67 20.92%:  OH MAN I'M WEIRD T
     68 20.92%:  OH MAN I'M TOO A
     69 20.91%:  OH MAN I'M WEIRD O
     70 20.91%:  OH MAN I'M WAY TOO NERD
     71 20.88%:  OH MAN I'M WAY TOO K
     72 21.22%:  OH MAN I'M WAY TOO KINO
     73 21.10%:  OH MAN I'M WAY TOO KINDO
     74 20.88%:  OH MAN I'M TOO E
     75 20.87%:  OH MAN I'M WEIRD ON
     76 20.85%:  OH MAN I'M WAY TOO RE
     77 20.85%:  OH MAN I'M WAY TOO R
     78 20.85%:  OH MAN I'M WAY TOO W
     79 20.81%:  OH MAN I'M WEIRD TO
     80 20.79%:  OH MAN I'M WEIRD NOT
     81 20.78%:  OH MAN I'M WEIRD Y
     82 20.78%:  OH MAN I'M ON A
     83 20.78%:  OH MAN I'M WAY TOO OR
     84 20.78%:  OH MAN I'M WAY TOO DR
     85 20.77%:  OH MAN I'M WAY TOO ON
     86 20.77%:  OH MAN I'M NAKED NO
     87 20.77%:  OH MAN I'M WAY TOO DE
     88 20.74%:  OH MAN I'M NOW T
     89 20.70%:  OH MAN I'M NOW A D
     90 20.70%:  OH MAN I'M NAKED ON
     91 20.68%:  OH MAN I'M KINDA O
     92 20.65%:  OH MAN I'M KINDA NOT
     93 20.65%:  OH MAN I'M KINDA E
     94 20.64%:  OH MAN I'M NOW D
     95 20.64%:  OH MAN I'M DOWN
     96 20.63%:  OH MAN I'M KINDA TR
     97 20.60%:  OH MAN I'M NAKED I
     98 20.58%:  OH MAN I'M KINDA RO
     99 20.57%:  OH MAN I'M KINDA TE
    100 20.57%:  OH MAN I'M KINDA TO
    101 20.94%:  OH MAN I'M KINDA TOO WE
    102 20.57%:  OH MAN I'M KINDA NE
    103 20.57%:  OH MAN I'M KINDA ON
    104 20.50%:  OH MAN I'M NOW IN A
    105 20.50%:  OH MAN I'M WAY TOO KE
    106 20.49%:  OH MAN I'M NAKED NOW I
    107 20.47%:  OH MAN I'M WAY TOO KINOE
    108 20.47%:  OH MAN I'M A RE
    109 20.39%:  OH MAN I'M ON A D
    110 20.34%:  OH MAN I'M WEIRD NOW A
    111 20.32%:  OH MAN I'M WAY TOO WORN
    112 20.27%:  OH MAN I'M TOO ERO
    113 20.27%:  OH MAN I'M WEIRD NOW O
    114 20.26%:  OH MAN I'M IN A
    115 20.25%:  OH MAN I'M WEIRD NOW T
    116 20.24%:  OH MAN I'M TOO WE
    117 20.59%:  OH MAN I'M TOO WEIRD A
    118 20.47%:  OH MAN I'M TOO WEIRD.
    119 20.14%:  OH MAN I'M NOT A
    120 20.14%:  OH MAN I'M KINDA ROOT
    121 20.06%:  OH MAN I'M KINDA ROY
    122 20.05%:  OH MAN I'M TAK
    123 20.05%:  OH MAN I'M KINDA TOR
    124 20.05%:  OH MAN I'M KINDA WET
    125 20.04%:  OH MAN I'M TOO WEIRD O
    126 20.04%:  OH MAN I'M TOO WEIRD ON
    127 20.02%:  OH MAN I'M TOO WEIRD NO
    128 20.00%:  OH MAN O
    129 19.99%:  OH MAN I'M TOO WEIRD Y
    130 19.96%:  OH MAN I'M KINDA TOO E
    131 19.95%:  OH MAN I'M WAY TOO DONE
    132 19.92%:  OH MAN I'M DRO
    133 19.90%:  OH MAN I'M NOW A RE
    134 19.87%:  OH MAN I'M NOW DY
    135 19.86%:  OH MAN I'M AW
    136 19.86%:  OH MAN.
    137 20.66%:  OH MAN. I'M NOT
    138 20.38%:  OH MAN. I'M IN
    139 20.15%:  OH MAN. I'M A
    140 20.02%:  OH MAN. I'M T
    141 19.83%:  OH MAN I'M WAY TOO WI
    142 19.77%:  OH MAN I'M NOT RE
    143 19.70%:  OH MAN I'M AN I
    144 19.70%:  OH MAN I'M ON A R
    145 19.67%:  OH MAN I'M WAY TOO DIR
    146 19.67%:  OH MAN I'M KINDA WRE
    147 19.64%:  OH MAN AM
    148 19.80%:  OH MAN AM I D
    149 19.79%:  OH MAN AM I R
    150 19.67%:  OH MAN AM I E
    151 19.63%:  OH MAN I'M NAKED T
    152 19.63%:  OH MAN I'M TRY
    153 19.62%:  OH MAN I'M NOW RE
    154 19.61%:  OH MAN I'M NAKED O
    155 19.60%:  OH MAN I'M NAKED.
    156 19.58%:  OH MAN I'M WAY TOO DORK
    157 19.55%:  OH MAN I'M NOW A T
    158 19.55%:  OH MAN I AM
    159 19.53%:  OH MAN I'M TI
    160 19.51%:  OH MAN I'M NOW IN A R
    161 19.50%:  OH MAN I'M A T
    162 19.49%:  OH MAN I'M NAKED TO
    163 19.49%:  OH MAN I'M NOT K
    164 21.33%:  OH MAN I'M NOT KINDA WE
    165 19.84%:  OH MAN I'M NOT KID
    166 19.49%:  OH MAN I'M A DO
    167 19.48%:  OH MAN I'M NAKED Y
    168 19.48%:  OH MAN I'M NAKED W
    169 20.25%:  OH MAN I'M NAKED WOW I
    170 19.48%:  OH MAN I'M NAKED IT
    171 19.46%:  OH MAN I NE
    172 19.44%:  OH MAN I W
    173 19.42%:  OH MAN I'M TOO AWKO
    174 19.41%:  OH MAN I'M TRE
    175 19.40%:  OH MAN I'M TRA
    176 19.39%:  OH MAN I'M NOW 
    177 19.39%:  OH MAN I'M TRAN
    178 19.38%:  OH MAN I'M TOR
    179 19.38%:  OH MAN I'M TRENDY IN
    180 19.38%:  OH MAN I'M KINDA NORT
    181 19.37%:  OH MAN I'M TW
    182 19.36%:  OH MAN I'M A R
    183 19.36%:  OH MAN I'M TRENDY A
    184 19.36%:  OH MAN I'M TOO D
    185 19.35%:  OH MAN I'M NER
    186 19.35%:  OH MAN I'M TWO
    187 19.35%:  OH MAN I'M WAY TOO DONE IN
    188 19.33%:  OH MAN I'M TRO
    189 19.33%:  OH MAN I'M TOD
