T-Rex (punchline): Oh man, a sunset! Boo hoo hoo!
100.00%: 
0.49%:  T
0.02%:  B
0.01%:  (
0.00%:  R
0.00%:  BOT
0.00%:  O
0.00%:  the
0.00%:  TO
0.00%:  BO
0.00%:  T-R
0.00%:  (T
0.00%:  TR
0.00%:  BR
0.00%:  
0.00%:  TRO
0.00%:  -
0.00%:  BRO
0.00%:  the plans
0.00%:  RO
0.00%:  ROB
0.00%:  the sun is
0.00%:  the sun has
0.00%:  (the
0.00%:  OR
0.00%:  (the sun
0.00%:  a
0.00%:  T-Rex is
0.00%:  T-Rex has
0.00%:  (B
0.00%:  (no
0.00%:  at
0.00%:  the T
0.00%:  the T-Rex house
0.00%:  the T-Rex house!
0.00%:  (note
0.00%:  at home
0.00%:  T-Rex,
0.00%:  the T-Rex house,
0.00%:  R-
0.00%:  the couple
0.00%:  TOR
0.00%:  at sun
0.00%:  BOR
0.00%:  a phone
0.00%:  a sun
0.00%:  (The
0.00%:  (a
0.00%:  (this
0.00%:  (sun
0.00%:  (p
0.00%:  T-Rex comes
0.00%:  the phone
0.00%:  (the sun has
0.00%:  the T-Rex house, sun
0.00%:  (on
0.00%:  (not
0.00%:  the couples
0.00%:  B-
0.00%:  the T-Rex is
0.00%:  T-Rex comes upon
0.00%:  (st
0.00%:  (in
0.00%:  the T-Rex has
0.00%:  T-Rex sp
0.00%:  (com
0.00%:  the T-Rex sun
0.00%:  (t
0.00%:  (s
0.00%:  T-Rex comes up
0.00%:  - T
0.00%:  (one
0.00%:  the moon
0.00%:  (also
0.00%:  (the sun is
0.00%:  the T-Rex home
0.00%:  (same
0.00%:  the cl
0.00%:  (OR
0.00%:  (at
0.00%:  (an
0.00%:  (th
0.00%:  the punch
0.00%:  a sunset!
0.00%:  (some
0.00%:  the T-Rex,
0.00%:  (con
0.00%:  T-Rex has a
0.00%:  OR,
0.00%:  T -
0.00%:  (complete
0.00%:  (l
0.00%:  the T-Rex house is on
0.00%:  (as
0.00%:  T-Rex meets
0.00%:  the same
0.00%:  (punchline):
