We get that ALL THE TIME!
      0 100.00%: 
      1 26.40%:  We
      2 21.54%:  It
      3 20.71%:  That
      4 19.61%:  What
      5 19.58%:  He
      6 19.53%:  WE
      7 19.40%:  I
      8 19.37%:  T
      9 19.29%:  We get
     10 19.22%:  The
     11 18.86%:  H
     12 20.32%:  Hah! We
     13 18.86%:  IT
     14 18.73%:  Let
     15 18.72%:  WH
     16 20.35%:  WHAT!
     17 19.11%:  WHAT the
     18 18.72%:  We T
     19 18.68%:  Hah! It
     20 18.65%:  A
     21 18.64%:  HE
     22 18.62%:  We ALL
     23 18.62%:  THAT
     24 18.62%:  W
     25 18.61%:  TH
     26 18.60%:  Hah! I
     27 18.60%:  L
     28 18.98%:  LET
     29 18.59%:  E
     30 19.35%:  Eat
     31 18.58%:  
     32 18.57%:  THE
     33 18.53%:  We AL
     34 18.46%:  Hah! T
     35 18.18%:  Hah! WE
     36 18.14%:  Hah! A
     37 18.08%:  Hah! L
     38 18.08%:  Hah! AW
     39 18.06%:  Hah! IT
     40 18.04%:  Hah! Let
     41 18.03%:  Hah! W
     42 18.01%:  Hah! E
     43 18.00%:  Hah! M
     44 17.66%:  EAT
     45 17.38%:  IT T
     46 17.17%:  TA
     47 16.91%:  WHATE
     48 16.84%:  Hah! LET
     49 16.81%:  Hah! EAT
     50 16.79%:  We get that
