is technically true, cannibals!
      0 100.00%: 
      1 23.94%:  is
      2 21.72%:  is a
      3 20.94%:  is the
      4 19.72%:  is true
      5 19.97%:  is true,
      6 19.45%:  is the best
      7 18.79%: ,
      8 18.66%:  sl
      9 18.63%:  can
     10 35.19%:  cannibal is
     11 32.15%:  cannibal says
     12 32.14%:  cannibal in
     13 32.07%:  cannibal!
     14 32.04%:  cannibal sure
     15 31.67%:  cannibal has
     16 31.41%:  cannibal really
     17 31.26%:  cannibal sl
     18 31.12%:  cannibal there
     19 31.11%:  cannibal,
     20 31.05%:  cannibal ate
     21 30.94%:  cannibal can
     22 30.91%:  cannibals
     23 30.85%:  cannibal that
     24 30.84%:  cannibal y
     25 30.75%:  cannibalic
     26 30.75%:  cannibal sh
     27 30.74%:  cannibal cycl
     28 31.46%:  cannibal cyclist is
     29 30.74%:  cannibal tastes
     30 30.73%:  cannibal isn
     31 30.72%:  cannibal h
     32 29.01%:  cannibal cyclist sure
     33 28.96%:  cannibal is a
     34 28.20%:  cannibal there,
     35 27.70%:  cannibal there is
     36 27.67%:  cannibal sure is a
     37 27.40%:  cannibal yells at
     38 27.30%:  cannibal is the
     39 27.24%:  cannibal yell
     40 27.13%:  cannibal is really
     41 26.88%:  cannibal cyclist is a
     42 26.84%:  cannibal cyclist has
     43 26.68%:  cannibals are
     44 26.59%:  cannibal, he
     45 26.54%:  cannibal is still
     46 26.51%:  cannibal is in
     47 26.47%:  cannibal is y
     48 26.34%:  cannibal is an
     49 26.21%:  cannibal is such
     50 26.19%:  cannibal is che
     51 26.19%:  cannibal in a
     52 26.18%:  cannibal yells the
     53 26.17%:  cannibal shri
     54 26.16%:  cannibal is t
     55 26.16%:  cannibal is clearly
     56 26.15%:  cannibal is 
     57 26.14%:  cannibal is sure
     58 26.12%:  cannibal is cute
     59 26.12%:  cannibal is tasty,
     60 26.11%:  cannibal is all
     61 26.10%:  cannibal is nice
     62 26.08%:  cannibal is ch
     63 26.08%:  cannibal is at
     64 26.07%:  cannibal is certainly
     65 25.98%:  cannibal sure has
     66 25.85%:  cannibal cyclist!
     67 25.76%:  cannibal yells a
     68 25.74%:  cannibalic sl
     69 25.73%:  cannibal really is
     70 25.67%:  cannibal there says
     71 25.64%:  cannibal sure is!
     72 25.60%:  cannibal is in the
     73 25.51%:  cannibal slur
     74 25.44%:  cannibal ate the
     75 25.43%:  cannibals!
     76 25.37%:  cannibals can
     77 25.24%:  cannibal says,
     78 25.11%:  cannibal cyclist is the
     79 25.00%:  cannibal yells in
     80 25.00%:  cannibal says it
     81 24.88%:  cannibal in the car
     82 24.86%:  cannibal in the last
     83 24.79%:  cannibal says the
     84 24.73%:  cannibal in the t
     85 24.61%:  cannibal in the stri
     86 24.61%:  cannibal in the suit
     87 24.60%:  cannibal in the l
     88 24.55%:  cannibal in the 
     89 24.54%:  cannibal in the c
     90 24.54%:  cannibal in the y
     91 24.41%:  cannibal there is a
     92 24.29%:  cannibal ate his
     93 24.19%:  cannibal sure can
     94 24.14%:  cannibal is such a nice
     95 23.86%:  cannibal sure is a nice
     96 23.83%:  cannibals,
     97 23.79%:  cannibal in the car is
     98 23.79%:  cannibal, that
     99 23.72%:  cannibal in the suitcase!
    100 23.63%:  cannibal yell!
    101 23.56%:  cannibal shirts
    102 23.49%:  cannibal yellin
    103 23.47%:  cannibal yells at the
    104 23.47%:  cannibals sure
    105 23.37%:  cannibal is cute,
    106 23.32%:  cannibal is a lie
    107 23.47%:  cannibal is a lie,
    108 23.31%:  cannibal is nice,
    109 23.28%:  cannibal can sure
    110 23.23%:  cannibal in a suit
    111 23.22%:  cannibals eat
    112 23.21%:  cannibal yells at us
    113 23.21%:  cannibal is still a
    114 23.19%:  cannibals is
    115 23.19%:  cannibal is a little
    116 23.19%:  cannibals say
    117 23.17%:  cannibal hats
    118 23.14%:  cannibal yells in the
    119 23.13%:  cannibals in
    120 23.10%:  cannibal is a nice
    121 23.07%:  cannibal hates us
    122 23.02%:  cannibal cyclists
    123 23.02%:  cannibal is a li
    124 23.02%:  cannibals really
    125 23.00%:  cannibals, e
    126 22.98%:  cannibal is taller
    127 22.97%:  cannibal there!
    128 22.86%:  cannibals use
    129 22.85%:  cannibal cyclist there
    130 22.83%:  cannibal yells,
    131 22.76%:  cannibal in the suitcase,
    132 22.73%:  cannibals aren
    133 22.72%:  cannibals all
    134 22.71%:  cannibals still
    135 22.71%:  cannibals that
    136 22.70%:  cannibal yells!
    137 22.68%:  cannibals ate
    138 22.64%:  cannibals rule
    139 22.64%:  cannibals there
    140 22.64%:  cannibals sl
    141 22.63%:  cannibals y
    142 22.90%:  cannibals yellin
    143 22.62%:  cannibal is such an
    144 22.60%:  cannibals th
    145 22.59%:  cannibal is a cycl
    146 25.16%:  cannibal is a cyclist!
    147 24.49%:  cannibal is a cyclist,
    148 22.58%:  cannibal is a he
    149 22.56%:  cannibal is a cute
    150 22.54%:  cannibal is a h
    151 22.53%:  cannibal is a true
    152 22.52%:  cannibal says hell
    153 22.51%:  cannibal is a cut
    154 23.05%:  cannibal is a cutie,
    155 22.51%:  cannibal is a hell
    156 22.51%:  cannibal is a t
    157 22.51%:  cannibal is a ch
    158 22.50%:  cannibal is a n
    159 22.50%:  cannibal is a tiny
    160 22.49%:  cannibal is a re
    161 22.46%:  cannibal cyclist,
    162 22.45%:  cannibal sure is in
    163 22.43%:  cannibal sure is t
    164 22.40%:  cannibal, sir
    165 22.37%:  cannibal there, is
    166 22.37%:  cannibal yr
    167 22.36%:  cannibal sure is nice
    168 22.34%:  cannibals are!
    169 22.29%:  cannibals in the
    170 22.25%:  cannibal sure is an
    171 22.23%:  cannibal says he e
    172 22.21%:  cannibal, he sure
    173 22.19%:  cannibal sure is in the
    174 22.18%:  cannibal sure is the
    175 22.16%:  cannibal hates it
    176 22.15%:  cannibal yell is a
    177 22.13%:  cannibal sure is,
    178 22.11%:  cannibal yells that
    179 22.10%:  cannibal says in
    180 22.07%:  cannibal sure is y
    181 22.03%:  cannibal sure is tall
    182 22.09%:  cannibal sure is tall,
    183 22.02%:  cannibal cyclist in
    184 22.02%:  cannibal sure is h
    185 22.01%:  cannibal in that
    186 22.00%:  cannibals are the
    187 22.00%:  cannibal sure is n
    188 22.00%:  cannibal sure is th
    189 21.99%:  cannibal says!
    190 21.98%:  cannibal says hi
    191 21.96%:  cannibal in there
    192 21.95%:  cannibal sure h
    193 21.93%:  cannibal says there
    194 21.88%:  cannibal is such a li
    195 21.88%:  cannibal in his
    196 21.86%:  cannibal is really cute
    197 21.85%:  cannibal cyclists are
    198 21.84%:  cannibal sure ate
    199 21.80%:  cannibal cyclist there is
    200 21.78%:  cannibal is nice, h
    201 21.78%:  cannibal yells at us,
    202 21.78%:  cannibal sure isn
    203 21.77%:  cannibal is a cutie, e
    204 21.75%:  cannibal sure as
    205 23.01%:  cannibal sure as hell
    206 21.71%:  cannibal, he sure is a
    207 21.68%:  cannibal sure sh
    208 21.68%:  cannibal sure e
    209 21.64%:  cannibal hates us,
    210 21.62%:  cannibal in the yurt
    211 21.59%:  cannibal yells at us!
    212 21.58%:  cannibal is sure a
    213 21.52%:  cannibal is cute, h
    214 21.52%:  cannibal that is
    215 21.51%:  cannibal sure is tall, e
    216 21.41%:  cannibal in a t
    217 21.36%:  cannibal is clearly the
    218 21.35%:  cannibal is tasty, h
    219 21.34%:  cannibal has nice
    220 21.31%:  cannibal has it
    221 21.30%:  cannibal yells is
    222 21.26%:  cannibal slash
    223 21.25%:  cannibal yell is the
    224 21.24%:  cannibals are,
    225 21.22%:  cannibal in there is
    226 21.19%:  cannibal is all the
    227 21.19%:  cannibals are such
    228 21.14%:  cannibals is a
    229 21.14%:  cannibal, is
