Wow! No wonder people like capitalism so much!!
         0 0* 0.27465% (91.1166%/0.0000%)   No                                                                                                                           ----------cdeeeehikllmnoooopprsuwwW!!!
         1 0* 0.22581% (92.4310%/0.0000%)   Now                                                                                                                          ----------cdeeeehikllmnoooopprsuwW!!!
         2 0* 0.12294% (93.0700%/0.0000%)   Wow                                                                                                                          ----------cdeeeehikllmnoooopprsuw!!!N
         3 0* 0.08605% (94.0729%/0.0000%)   Well                                                                                                                         ----------cdeeehikmnooooopprsuww!!!N
         4 0* 0.07271% (97.1048%/0.0000%)   No!                                                                                                                          ----------cdeeeehikllmnoooopprsuwwW!!
         5 0* 0.05910% (97.3640%/0.0118%)   Nope                                                                                                                         ----------cdeeehikllmnooooprsuwwW!!!
         6 0* 0.02865% (97.4220%/0.0126%)   No wonder                                                                                                                    ----------ceeehikllmoooppsuwW!!!
         7 0* 0.11363% (97.4263%/0.0139%)   No wonder people                                                                                                             ----------cehiklmoosuwW!!!
         8 0* 0.03206% (97.4264%/0.0140%)   No wonder people like                                                                                                        ----------chmoosuwW!!!
         9 0* 0.02793% (97.4264%/0.0140%)   Nooo                                                                                                                         ----------cdeeeehikllmnoopprsuwwW!!!
        10 0* 0.02423% (97.4321%/0.0152%)   Would                                                                                                                        ----------ceeeehiklmnoooopprsww!!!N
        11 0* 0.02248% (97.4574%/0.0152%)   Nope!                                                                                                                        ----------cdeeehikllmnooooprsuwwW!!
        12 0* 0.01945% (97.4751%/0.0155%)   No no                                                                                                                        ----------cdeeeehikllmooopprsuwwW!!!
        13 0* 0.01910% (97.4964%/0.0167%)   Wow!                                                                                                                         ----------cdeeeehikllmnoooopprsuw!!N
        14 0* 0.01813% (97.6590%/0.0265%)   Now wouldn                                                                                                                   ----------ceeeehiklmooopprsW!!!
        15 0* 0.01796% (97.6594%/0.0265%)   No more                                                                                                                      ----------cdeeehikllnoooppsuwwW!!!
        16 0* 0.01601% (97.6637%/0.0315%)   Well now                                                                                                                     ----------cdeeehikmoooopprsuw!!!N
