microseconds,tokens ahead,probability ahead,probability score
127552,20,0.8039988,0.0063707456
4611,0,0.0,0.9996055
334,0,0.0,0.51751333
327,0,0.0,0.36926985
286,48,0.7435756,0.0034126304
285,0,0.0,0.97253215
285,0,0.0,0.49922693
298,0,0.0,0.82720643
353,0,0.0,0.9708255
306,0,0.0,0.5500068
288,0,0.0,0.8403626
291,0,0.0,0.4124159
436,0,0.0,0.9998473
301,0,0.0,0.99991167
281,0,0.0,0.99999595
281,0,0.0,0.51287127
291,0,0.0,0.9999949
284,0,0.0,0.9999311
290,0,0.0,0.99997425
1671,0,0.0,0.99941695
288,1,0.085331984,0.05103868
286,0,0.0,0.4934102
284,0,0.0,0.78155214
285,33,0.8581646,0.003420804
299,0,0.0,0.6929526
317,0,0.0,0.43785977
27723,3,0.51706165,0.09457849
2092,0,0.0,0.20235834
302,0,0.0,0.9001101
315,0,0.0,0.99626535
303,0,0.0,0.47560233
309,1,0.4030779,0.25196704
357,1,0.4926428,0.23267646
319,0,0.0,0.9946392
288,0,0.0,0.36491698
291,1,0.55599564,0.13093665
285,0,0.0,0.9516719
296,0,0.0,0.994544
287,0,0.0,0.99858093
297,0,0.0,0.37474275
286,0,0.0,0.38532504
294,1,0.8909164,0.09152656
309,0,0.0,0.99990857
299,1,0.99404895,0.005446736
311,0,0.0,0.99998784
295,0,0.0,0.99998236
308,0,0.0,0.99995506
306,0,0.0,0.9998259
295,0,0.0,0.26629725
294,20,0.8882937,0.0062685213
287,0,0.0,0.99464536
291,0,0.0,0.4338712
288,0,0.0,0.9168014
292,0,0.0,0.7330062
286,5,0.4736369,0.06067715
1779,1,0.3729215,0.24565063
375,0,0.0,0.9983223
293,1,0.5545121,0.33365902
20705,73,0.9389047,0.00056473503
1759,0,0.0,0.94550425
305,0,0.0,0.4676882
330,2,0.310543,0.12299294
1341,6,0.7792125,0.018627211
309,0,0.0,0.6387717
291,0,0.0,0.27325025
285,0,0.0,0.3119472
293,3,0.2670927,0.06513818
347,0,0.0,0.5891593
407,0,0.0,0.9014546
324,0,0.0,0.25335625
298,11,0.83290595,0.0084628435
288,1,0.443337,0.24300139
298,0,0.0,0.7275872
290,0,0.0,0.9608529
294,0,0.0,0.6167256
286,0,0.0,0.9997757
290,1,0.9996339,0.0002440317
285,0,0.0,0.9990656
288,0,0.0,0.9998784
288,0,0.0,0.9999056
292,0,0.0,0.9996468
347,17,0.7471929,0.009121719
339,1,0.321028,0.1470149
292,0,0.0,0.26445344
282,0,0.0,0.9011658
302,1,0.6159559,0.26238182
284,5,0.9474269,0.0054172366
284,0,0.0,0.7636607
281,4,0.7844148,0.0764904
280,1,0.42063427,0.26060647
283,0,0.0,0.9540395
381,0,0.0,0.7827127
20733,12,0.43448785,0.013335934
1850,1,0.48947734,0.08098949
314,0,0.0,0.9989453
360,0,0.0,0.9997155
333,35,0.95101017,0.00059880666
281,0,0.0,0.99477506
287,1,0.3446922,0.0990837
347,39,0.708186,0.0035478044
355,0,0.0,0.8933499
289,0,0.0,0.75420195
1258,0,0.0,0.83537644
381,17,0.9455625,0.002277907
316,0,0.0,0.48234957
281,0,0.0,0.96903664
284,27,0.7072298,0.0060519
306,7,0.5520596,0.024600737
306,1,0.36864144,0.11112485
286,0,0.0,0.81646866
331,0,0.0,0.9680272
288,0,0.0,0.31547165
31037,0,0.0,0.8537474
1767,23,0.56242335,0.008069475
299,1,0.082663715,0.07014702
287,0,0.0,0.99768543
1134,0,0.0,0.9991304
291,0,0.0,0.8984268
296,12,0.40363148,0.01799179
292,0,0.0,0.7608632
296,0,0.0,0.28278372
300,1,0.3207207,0.2672229
302,0,0.0,0.99974066
379,0,0.0,0.9996698
318,10,0.88151675,0.015656704
294,0,0.0,0.3241816
294,150,0.7195368,0.0010623155
293,110,0.8832689,0.0006086348
301,0,0.0,0.9895545
337,0,0.0,0.99613863
327,1,0.8157465,0.05382741
293,6,0.28841576,0.011214343
288,0,0.0,0.7431394
304,2,0.32940853,0.14147067
31675,128,0.8997421,0.00064436125
1830,1,0.35299262,0.23593538
309,0,0.0,0.4391524
291,0,0.0,0.5590119
313,2,0.83667624,0.10424736
360,0,0.0,0.9971119
298,0,0.0,0.86676455
284,0,0.0,0.27911094
400,3,0.13143478,0.029478364
391,1,0.22051603,0.057823543
306,13,0.7488493,0.008766963
286,1,0.43035477,0.21655989
290,0,0.0,0.33858877
280,1,0.365187,0.27220094
280,1,0.39027926,0.16932736
285,0,0.0,0.44516414
284,0,0.0,0.46225178
285,0,0.0,0.87546694
282,1,0.4968965,0.42269465
287,0,0.0,0.99993885
279,0,0.0,0.99997497
280,0,0.0,0.9999999
281,0,0.0,0.7091723
1298,0,0.0,0.9999944
287,0,0.0,0.9999937
286,0,0.0,0.99999356
281,0,0.0,0.9998908
286,107,0.79381293,0.0014276574
286,0,0.0,0.9561338
37631,2,0.47272748,0.11140842
1853,8,0.84948707,0.0066494704
357,0,0.0,0.6089667
290,1,0.3653421,0.16356245
285,0,0.0,0.8778841
287,0,0.0,0.36743012
291,0,0.0,0.56584436
283,0,0.0,0.66265595
291,0,0.0,0.9779849
288,2,0.42854553,0.1893525
290,0,0.0,0.9220941
282,0,0.0,0.93328655
286,2,0.54707026,0.2046998
288,0,0.0,0.665468
288,2,0.7408897,0.15054102
28987,5,0.71446264,0.037584044
1883,0,0.0,0.9153712
315,0,0.0,0.40272033
402,2,0.764063,0.17327999
310,0,0.0,0.49439836
292,0,0.0,0.5163963
286,1,0.57919323,0.05886074
281,1,0.25250685,0.25000718
282,0,0.0,0.9997296
275,0,0.0,0.99993086
276,0,0.0,0.42354143
277,8,0.7954855,0.009604786
275,142,0.9692266,0.000101324484
288,0,0.0,0.83316886
276,0,0.0,0.86704713
278,10,0.9167767,0.007161477
280,0,0.0,0.82464004
276,0,0.0,0.9999502
283,0,0.0,0.9999788
277,0,0.0,0.99999964
280,0,0.0,0.7615657
1179,0,0.0,0.99999535
284,0,0.0,0.999997
278,0,0.0,0.99999547
278,0,0.0,0.99988925
288,18,0.5788387,0.0106532145
277,1,0.1853381,0.10021924
283,0,0.0,0.919941
278,0,0.0,0.99234563
27758,712,0.9881758,0.000021365995
1783,3,0.43748364,0.12732027
309,7,0.5866414,0.036349494
284,0,0.0,0.34867138
307,13,0.8143676,0.015722085
282,0,0.0,0.61692756
278,2,0.3325931,0.11510066
278,10,0.4706301,0.016631842
280,0,0.0,0.39032075
282,24,0.6639298,0.0070909485
281,0,0.0,0.3148787
282,0,0.0,0.19026113
284,1,0.17764257,0.1380582
294,30,0.78681195,0.0033850074
279,0,0.0,0.4030614
1154,0,0.0,0.32728824
31791,6230,0.9997218,1.10801516e-7
1834,0,0.0,0.9198733
309,18,0.85960287,0.0053451387
282,0,0.0,0.8254679
318,3,0.41335028,0.10407449
298,0,0.0,0.59527713
285,0,0.0,0.25816286
288,2,0.4807834,0.07421881
282,36,0.80066645,0.0021345478
277,1,0.65025014,0.2057803
294,1,0.12878089,0.12251405
314,0,0.0,0.7619526
298,2,0.23719859,0.107153945
293,2,0.49314228,0.070718095
286,1,0.24905139,0.12592287
280,6,0.8130744,0.03743682
302,0,0.0,0.43918425
285,0,0.0,0.2832377
28582,11,0.5822568,0.019161217
1929,1,0.18596074,0.12224552
308,0,0.0,0.50207084
282,6,0.45185262,0.019896148
286,4,0.39319813,0.05080843
279,264,0.90767145,0.00021460652
297,0,0.0,0.23603146
280,2,0.3322764,0.149428
285,7,0.68934286,0.027210843
277,2,0.3224094,0.12465116
283,3,0.61490726,0.054993723
286,0,0.0,0.23926565
276,1,0.124583386,0.10954068
324,3,0.8961058,0.041004594
330,3,0.666903,0.104707055
296,1,0.27999797,0.19671273
283,0,0.0,0.93652105
27946,121,0.92962265,0.0006256326
1944,13,0.90294576,0.0064242575
307,9,0.64369524,0.022611259
300,0,0.0,0.8627004
348,6,0.5159421,0.033384316
274,2,0.27693376,0.06478484
280,1,0.84769857,0.09205433
276,0,0.0,0.68395036
301,2,0.31453207,0.040711552
272,1,0.35362077,0.17376044
284,15,0.5291795,0.013989721
278,59,0.77724206,0.0021761928
1287,0,0.0,0.9945311
284,1,0.26018015,0.13358739
280,0,0.0,0.9996407
281,5,0.85102224,0.036231145
289,2,0.3720553,0.092453614
307,0,0.0,0.35194728
292,3,0.36735883,0.06347951
278,0,0.0,0.7340031
278,0,0.0,0.9995814
277,0,0.0,0.26503724
287,0,0.0,0.18574432
280,0,0.0,0.9408617
293,0,0.0,0.96820134
28941,5,0.5075961,0.026627723
1883,2,0.20482345,0.067525305
306,0,0.0,0.69639504
277,0,0.0,0.79030615
284,0,0.0,0.9874128
279,0,0.0,0.44276172
276,1,0.7870902,0.052115522
284,0,0.0,0.71084154
276,0,0.0,0.9861945
308,2,0.5572455,0.13683468
281,0,0.0,0.9386984
281,1,0.48627508,0.44894248
280,0,0.0,0.9999639
280,1,0.9998987,0.000074388256
279,0,0.0,0.9303683
279,0,0.0,0.9999659
286,0,0.0,0.9998752
1280,0,0.0,0.9997737
341,0,0.0,0.38549837
294,7,0.5670904,0.02410934
283,0,0.0,0.6442813
302,0,0.0,0.997529
432,0,0.0,0.3987476
321,0,0.0,0.6952384
286,1,0.7417079,0.20017016
364,0,0.0,0.9704836
345,0,0.0,0.5967935
290,0,0.0,0.9928358
283,0,0.0,0.9936279
309,0,0.0,0.9891672
282,5,0.87150574,0.03529978
292,0,0.0,0.4314923
285,0,0.0,0.9169773
291,0,0.0,0.58609885
283,0,0.0,0.98796266
285,0,0.0,0.9940509
280,0,0.0,0.99040437
30792,4,0.8691388,0.028619362
1827,2,0.43308967,0.05168657
301,0,0.0,0.99880505
291,0,0.0,0.99977404
282,7,0.79858184,0.028130325
284,3,0.5054293,0.02793943
283,3,0.31533247,0.046187535
295,1,0.40688047,0.27059168
326,0,0.0,0.80763954
315,0,0.0,0.619953
293,30,0.8152951,0.0035797707
287,1,0.7235179,0.21584634
293,7,0.7724787,0.016530747
286,5,0.8375702,0.03241391
1199,0,0.0,0.8543179
289,2,0.6640189,0.03668883
285,5,0.6161585,0.04559904
285,0,0.0,0.79343146
294,0,0.0,0.49702564
